evaluations raw_y
1 6.8000000000
2 8.4000000000
10 9.2000000000
45 10.0000000000
433 10.4000000000
714 11.0000000000
43253 11.4000000000
69241 11.8000000000
100000 8.2000000000
evaluations raw_y
1 8.8000000000
45 9.4000000000
137 9.8000000000
949 10.6000000000
13356 10.6000000000
16428 10.8000000000
21853 11.2000000000
28793 11.6000000000
94590 12.0000000000
100000 7.6000000000
evaluations raw_y
1 7.0000000000
5 7.4000000000
6 8.0000000000
34 9.2000000000
72 10.2000000000
2447 10.4000000000
3662 11.0000000000
11041 11.4000000000
33086 11.4000000000
35398 11.6000000000
100000 6.0000000000
evaluations raw_y
1 6.6000000000
3 7.2000000000
9 8.2000000000
10 8.6000000000
13 8.6000000000
20 9.0000000000
53 9.4000000000
67 9.8000000000
95 9.8000000000
177 10.2000000000
1391 11.0000000000
59398 11.2000000000
63465 11.4000000000
71629 11.6000000000
100000 5.0000000000
evaluations raw_y
1 7.0000000000
8 8.2000000000
31 8.6000000000
45 9.4000000000
97 9.4000000000
282 9.6000000000
491 9.6000000000
708 9.8000000000
738 9.8000000000
1312 11.2000000000
92814 11.4000000000
100000 6.2000000000
evaluations raw_y
1 6.2000000000
2 7.0000000000
4 7.4000000000
11 7.6000000000
13 8.0000000000
24 8.2000000000
34 8.8000000000
119 9.0000000000
254 9.2000000000
303 9.2000000000
387 10.4000000000
688 10.4000000000
2011 10.6000000000
5098 10.6000000000
6289 11.6000000000
66205 12.0000000000
100000 8.4000000000
evaluations raw_y
1 4.6000000000
2 7.8000000000
3 8.2000000000
8 8.8000000000
70 9.0000000000
90 9.2000000000
109 9.2000000000
144 9.4000000000
272 9.6000000000
396 9.8000000000
443 9.8000000000
752 10.8000000000
5000 10.8000000000
13991 11.2000000000
19072 11.6000000000
47310 11.8000000000
100000 5.8000000000
evaluations raw_y
1 7.0000000000
2 7.6000000000
4 7.8000000000
11 7.8000000000
27 7.8000000000
30 8.0000000000
35 10.0000000000
340 10.4000000000
1869 10.8000000000
9301 11.0000000000
25357 11.0000000000
44855 11.2000000000
49925 11.4000000000
54123 11.4000000000
56310 11.8000000000
100000 6.4000000000
evaluations raw_y
1 6.2000000000
2 8.4000000000
10 9.2000000000
24 9.2000000000
28 9.4000000000
39 10.2000000000
1279 11.4000000000
23095 11.4000000000
39592 12.2000000000
100000 7.0000000000
evaluations raw_y
1 6.8000000000
2 7.2000000000
3 7.8000000000
7 8.0000000000
18 8.6000000000
43 10.0000000000
67 10.6000000000
968 10.8000000000
3876 11.0000000000
5145 11.0000000000
9194 11.2000000000
18228 11.4000000000
38717 11.6000000000
100000 6.8000000000
