evaluations raw_y
1 -0.5229981710
2 -0.5005072955
5 -0.4954404448
9 -0.4849988685
23 -0.4638766304
73 -0.4579777182
108 -0.4493182344
177 -0.4437606965
948 -0.4282022707
3852 -0.4256980526
8416 -0.4247155148
8813 -0.4151828409
51872 -0.4076243476
88002 -0.4072533796
91264 -0.3891961065
100000 -0.5138952737
evaluations raw_y
1 -0.4557728255
3 -0.4542549908
44 -0.4519255242
136 -0.4450956102
187 -0.4434765692
222 -0.4339988985
639 -0.4318135896
1526 -0.4241539065
3102 -0.4126422150
100000 -0.5464515668
evaluations raw_y
1 -0.5157752812
2 -0.5065201941
3 -0.4896125717
5 -0.4839079928
10 -0.4836234271
11 -0.4767618776
15 -0.4748357061
19 -0.4638820601
72 -0.4636064309
76 -0.4396123465
620 -0.4382752710
1076 -0.4371533689
1742 -0.4270483571
3376 -0.4225149862
3705 -0.4195526760
19409 -0.4193557965
24663 -0.4124509939
42788 -0.4020457011
100000 -0.4904282649
evaluations raw_y
1 -0.5101036108
3 -0.5029354882
5 -0.4889224206
10 -0.4645346780
20 -0.4644813059
33 -0.4443589997
672 -0.4283960350
1098 -0.4232612765
14342 -0.4209772851
15130 -0.4090612260
100000 -0.5336037388
evaluations raw_y
1 -0.4797690275
2 -0.4784926809
7 -0.4738081571
22 -0.4710148708
37 -0.4442552984
144 -0.4396474525
774 -0.4234507331
1407 -0.4058287127
20334 -0.4046128261
100000 -0.4736928430
evaluations raw_y
1 -0.5295147831
3 -0.5215112609
4 -0.4871133262
13 -0.4766370114
20 -0.4698928408
51 -0.4689964247
95 -0.4552788097
116 -0.4249117651
1004 -0.4100520632
88024 -0.4046321101
100000 -0.5394095290
evaluations raw_y
1 -0.5223031314
2 -0.4882763353
3 -0.4814733421
8 -0.4716522656
24 -0.4694420187
32 -0.4527770109
91 -0.4520315786
372 -0.4447741350
766 -0.4372437738
1687 -0.4358275399
2794 -0.4278294922
5826 -0.4270010786
9545 -0.4197725350
34734 -0.4154475648
63252 -0.4120333800
66942 -0.4059636525
100000 -0.4705119014
evaluations raw_y
1 -0.4938431183
3 -0.4870579926
5 -0.4851373151
6 -0.4819822731
9 -0.4667499453
106 -0.4609142127
173 -0.4538771954
553 -0.4495129998
678 -0.4455659639
734 -0.4450306732
1033 -0.4253596906
11118 -0.4198116979
15361 -0.4171721922
43266 -0.4095698912
100000 -0.5279487984
evaluations raw_y
1 -0.5091359103
3 -0.4950937646
9 -0.4745176448
21 -0.4610742401
32 -0.4539624808
89 -0.4499564832
239 -0.4480150831
603 -0.4400212289
867 -0.4367343055
1220 -0.4119969267
49937 -0.4008392199
100000 -0.5429646283
evaluations raw_y
1 -0.5489752457
2 -0.5042380311
5 -0.4869826996
8 -0.4606857026
32 -0.4582504500
96 -0.4486217090
114 -0.4371584599
232 -0.4366275552
400 -0.4347169693
3229 -0.4125449793
61892 -0.4093377894
100000 -0.4934748464
