evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
57 7.0000000000
120 8.0000000000
978 9.0000000000
1642 10.0000000000
3322 11.0000000000
5036 12.0000000000
9304 14.0000000000
18029 15.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
6 5.0000000000
34 7.0000000000
44 9.0000000000
279 10.0000000000
4560 13.0000000000
5462 14.0000000000
16045 17.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
32 5.0000000000
45 6.0000000000
142 7.0000000000
611 8.0000000000
1376 16.0000000000
83802 18.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
10 4.0000000000
67 5.0000000000
207 6.0000000000
245 7.0000000000
339 13.0000000000
6012 14.0000000000
9993 17.0000000000
19182 18.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
12 2.0000000000
21 3.0000000000
25 5.0000000000
103 6.0000000000
156 9.0000000000
629 10.0000000000
9969 11.0000000000
18211 13.0000000000
21956 14.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
15 5.0000000000
61 6.0000000000
203 9.0000000000
1316 10.0000000000
2068 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
5 2.0000000000
12 4.0000000000
29 5.0000000000
31 6.0000000000
42 10.0000000000
561 11.0000000000
14206 13.0000000000
34574 16.0000000000
88765 19.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
8 4.0000000000
45 5.0000000000
56 9.0000000000
1031 10.0000000000
2651 12.0000000000
16914 13.0000000000
45202 14.0000000000
86837 15.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
2 4.0000000000
78 7.0000000000
131 13.0000000000
3820 14.0000000000
6097 16.0000000000
14752 17.0000000000
56568 19.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
9 2.0000000000
12 4.0000000000
53 5.0000000000
121 7.0000000000
225 8.0000000000
510 9.0000000000
802 10.0000000000
1941 11.0000000000
2179 14.0000000000
64187 17.0000000000
100000 0.0000000000
