evaluations raw_y
1 2293.0000000000
4 2635.0000000000
9 2770.0000000000
13 3080.0000000000
15 3091.0000000000
27 3267.0000000000
339 3276.0000000000
454 3331.0000000000
824 3453.0000000000
2109 3477.0000000000
4532 3478.0000000000
8872 3606.0000000000
24883 3665.0000000000
59721 3720.0000000000
100000 2053.0000000000
evaluations raw_y
1 2230.0000000000
2 2602.0000000000
3 2833.0000000000
9 3031.0000000000
20 3167.0000000000
40 3229.0000000000
117 3248.0000000000
194 3513.0000000000
2564 3525.0000000000
2908 3537.0000000000
3714 3552.0000000000
6649 3630.0000000000
13040 3759.0000000000
65778 3821.0000000000
100000 2171.0000000000
evaluations raw_y
1 2615.0000000000
3 2646.0000000000
5 2912.0000000000
25 3087.0000000000
116 3092.0000000000
118 3232.0000000000
281 3258.0000000000
333 3276.0000000000
405 3333.0000000000
439 3462.0000000000
4139 3468.0000000000
4995 3570.0000000000
15470 3625.0000000000
21764 3675.0000000000
85651 3750.0000000000
91747 3865.0000000000
100000 2130.0000000000
evaluations raw_y
1 2213.0000000000
2 2392.0000000000
3 2725.0000000000
9 2745.0000000000
15 3146.0000000000
50 3219.0000000000
134 3330.0000000000
280 3338.0000000000
2448 3348.0000000000
2915 3586.0000000000
23763 3681.0000000000
86295 3701.0000000000
100000 2409.0000000000
evaluations raw_y
1 2594.0000000000
2 2728.0000000000
9 2770.0000000000
11 2864.0000000000
26 3014.0000000000
89 3039.0000000000
119 3112.0000000000
158 3166.0000000000
202 3176.0000000000
361 3247.0000000000
367 3284.0000000000
917 3575.0000000000
3565 3686.0000000000
67048 3701.0000000000
100000 2243.0000000000
evaluations raw_y
1 1936.0000000000
2 2518.0000000000
4 2893.0000000000
21 3035.0000000000
22 3413.0000000000
723 3514.0000000000
2155 3538.0000000000
9396 3554.0000000000
20281 3608.0000000000
21919 3652.0000000000
33001 3804.0000000000
100000 2807.0000000000
evaluations raw_y
1 2740.0000000000
5 2833.0000000000
16 3162.0000000000
25 3242.0000000000
652 3247.0000000000
713 3345.0000000000
1187 3447.0000000000
2997 3492.0000000000
4517 3507.0000000000
14253 3571.0000000000
39208 3779.0000000000
40435 3783.0000000000
100000 2087.0000000000
evaluations raw_y
1 2693.0000000000
7 2822.0000000000
11 2910.0000000000
13 3110.0000000000
51 3179.0000000000
170 3183.0000000000
484 3189.0000000000
501 3249.0000000000
502 3252.0000000000
627 3312.0000000000
748 3424.0000000000
1601 3456.0000000000
3694 3521.0000000000
6219 3680.0000000000
82106 3703.0000000000
100000 2632.0000000000
evaluations raw_y
1 2504.0000000000
7 3264.0000000000
156 3294.0000000000
796 3416.0000000000
1647 3700.0000000000
100000 2606.0000000000
evaluations raw_y
1 2836.0000000000
11 2876.0000000000
12 3289.0000000000
209 3324.0000000000
569 3520.0000000000
1311 3573.0000000000
2681 3580.0000000000
25270 3635.0000000000
40292 3673.0000000000
67017 3831.0000000000
89644 3838.0000000000
100000 2254.0000000000
