evaluations raw_y
1 57.0000000000
18 59.0000000000
66 62.0000000000
313 63.0000000000
683 64.0000000000
1317 65.0000000000
1466 66.0000000000
3932 67.0000000000
7556 69.0000000000
72229 70.0000000000
84608 72.0000000000
100000 43.0000000000
evaluations raw_y
1 52.0000000000
2 57.0000000000
14 59.0000000000
46 61.0000000000
206 63.0000000000
267 64.0000000000
877 70.0000000000
11701 72.0000000000
100000 57.0000000000
evaluations raw_y
1 53.0000000000
12 60.0000000000
92 62.0000000000
236 64.0000000000
289 66.0000000000
1458 68.0000000000
8053 69.0000000000
100000 50.0000000000
evaluations raw_y
1 46.0000000000
2 51.0000000000
5 52.0000000000
13 55.0000000000
20 56.0000000000
29 58.0000000000
51 60.0000000000
61 63.0000000000
182 64.0000000000
1835 66.0000000000
5833 67.0000000000
15516 72.0000000000
100000 54.0000000000
evaluations raw_y
1 47.0000000000
2 52.0000000000
3 54.0000000000
12 62.0000000000
53 63.0000000000
296 66.0000000000
675 69.0000000000
36911 70.0000000000
100000 49.0000000000
evaluations raw_y
1 56.0000000000
4 59.0000000000
20 61.0000000000
69 65.0000000000
1049 66.0000000000
2571 68.0000000000
4445 69.0000000000
35661 70.0000000000
100000 58.0000000000
evaluations raw_y
1 49.0000000000
3 54.0000000000
4 57.0000000000
21 58.0000000000
31 63.0000000000
206 64.0000000000
770 66.0000000000
3047 67.0000000000
4278 69.0000000000
13156 71.0000000000
100000 43.0000000000
evaluations raw_y
1 45.0000000000
2 46.0000000000
3 50.0000000000
4 57.0000000000
5 58.0000000000
9 61.0000000000
64 62.0000000000
80 63.0000000000
520 64.0000000000
1128 65.0000000000
1471 66.0000000000
3089 67.0000000000
9009 70.0000000000
16630 71.0000000000
57582 73.0000000000
100000 50.0000000000
evaluations raw_y
1 48.0000000000
2 52.0000000000
4 60.0000000000
27 61.0000000000
65 62.0000000000
195 63.0000000000
742 65.0000000000
1455 66.0000000000
3019 70.0000000000
100000 56.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
3 63.0000000000
61 64.0000000000
672 69.0000000000
2501 70.0000000000
2502 71.0000000000
17695 72.0000000000
100000 55.0000000000
