evaluations raw_y
1 1.0552975939
3 1.2201073694
16 1.3123359580
91 1.3491635186
103 1.4784151390
116 1.6903313049
203 1.7593244194
217 1.9275250578
303 1.9857029388
329 2.0712510356
353 2.1349274125
408 2.1682567216
420 2.2301516503
429 2.3041474654
439 2.3299161230
508 2.3518344309
520 2.4630541872
529 2.5641025641
609 2.5799793602
636 2.6567481403
677 2.6795284030
709 2.7085590466
731 2.7685492802
736 2.8058361392
809 2.8901734104
831 2.9036004646
895 3.0012004802
974 3.0525030525
975 3.1133250311
981 3.1289111389
3870 3.2425421530
3997 3.3557046980
4020 3.5161744023
6341 3.5460992908
6410 3.7936267071
7574 3.8051750381
7660 3.9123630673
7673 3.9872408293
9467 4.0783034258
9586 4.2881646655
18659 4.4247787611
18740 4.6382189239
100371 3.2765399738
evaluations raw_y
1 0.6715014773
2 1.0133765707
3 1.0360547037
5 1.1155734047
6 1.2297097885
103 1.2632642749
105 1.3027618551
109 1.3248542660
116 1.3304949441
117 1.3774104683
165 1.4310246136
185 1.4645577036
205 1.5654351910
213 1.5812776724
217 1.6223231668
303 1.6633399867
305 1.6949152542
319 1.7667844523
370 1.8024513338
413 1.8155410312
414 1.8698578908
421 1.9275250578
445 1.9394879752
455 2.0145044319
510 2.0712510356
511 2.1570319241
521 2.2914757104
602 2.3969319271
610 2.4108003857
616 2.5176233635
621 2.5693730730
667 2.5906735751
677 2.6232948583
709 2.6968716289
721 2.8702640643
809 3.0012004802
2149 3.0450669915
2174 3.1055900621
2202 3.3025099075
2241 3.5561877667
2385 3.6284470247
2476 3.7037037037
4041 3.7481259370
4134 4.1322314050
20180 4.1459369818
20235 4.1597337770
63867 4.2158516020
63885 4.3029259897
100073 2.7563395810
evaluations raw_y
1 1.3491635186
2 1.3743815283
8 1.5422578655
47 1.6567263088
103 1.6589250166
108 1.8076644975
122 1.8234865062
181 1.8559762435
208 2.0080321285
264 2.0408163265
270 2.1168501270
303 2.1422450728
305 2.1496130696
316 2.2261798753
322 2.2665457842
364 2.2831050228
387 2.3430178069
422 2.3562676720
435 2.4201355276
472 2.6567481403
505 2.6737967914
525 2.7203482046
605 2.7502750275
612 2.8121484814
705 2.8441410694
839 2.9036004646
848 2.9868578256
851 3.0156815440
913 3.1133250311
949 3.1446540881
1048 3.2175032175
1121 3.3112582781
1139 3.3288948069
1284 3.3738191633
1349 3.4965034965
5229 3.5161744023
6016 3.5971223022
6106 3.7707390649
6116 3.8284839204
6137 3.9001560062
6174 4.0257648953
21236 4.0783034258
27467 4.1876046901
27547 4.2301184433
27697 4.4247787611
42268 4.5372050817
42423 4.7984644914
101173 3.2341526520
evaluations raw_y
1 0.7776049767
2 0.8570449092
3 0.9589566552
13 0.9815469179
28 0.9972078181
37 1.0133765707
47 1.0526315789
103 1.1899095669
128 1.2224938875
137 1.2493753123
148 1.2879958784
203 1.4645577036
237 1.5105740181
303 1.6181229773
326 1.6655562958
353 1.7349063151
403 1.8076644975
417 1.8234865062
424 1.8782870023
428 1.9485580670
490 1.9984012790
503 2.0016012810
508 2.0145044319
524 2.1385799829
562 2.1533161068
573 2.3299161230
608 2.3696682464
610 2.4342745862
659 2.5025025025
710 2.5588536336
726 2.6014568158
798 2.6343519494
810 2.7085590466
885 2.8312570781
918 3.0303030303
988 3.1847133758
1906 3.3025099075
2008 3.3647375505
2032 3.4387895461
2172 3.5460992908
2209 3.6818851252
5258 3.7481259370
5318 3.7821482602
5377 3.8284839204
5423 3.8402457757
5449 3.8639876352
8200 4.1186161450
17434 4.3029259897
20063 4.3177892919
33955 4.6210720887
100472 2.7995520717
evaluations raw_y
