evaluations raw_y
1 54.0000000000
1527 55.0000000000
1629 56.0000000000
1730 57.0000000000
1831 58.0000000000
1932 59.0000000000
2033 60.0000000000
2136 61.0000000000
2237 62.0000000000
2338 63.0000000000
2439 64.0000000000
2540 65.0000000000
2641 66.0000000000
2742 67.0000000000
2843 68.0000000000
2944 69.0000000000
3046 70.0000000000
3147 71.0000000000
3250 72.0000000000
3351 73.0000000000
3452 74.0000000000
3553 75.0000000000
3657 76.0000000000
3759 77.0000000000
3860 78.0000000000
3962 79.0000000000
4063 80.0000000000
4164 81.0000000000
4265 82.0000000000
4366 83.0000000000
4467 84.0000000000
4570 85.0000000000
4671 86.0000000000
4772 87.0000000000
4873 88.0000000000
4976 89.0000000000
5080 90.0000000000
5181 91.0000000000
5282 92.0000000000
5384 93.0000000000
5486 94.0000000000
5589 95.0000000000
5690 96.0000000000
5795 97.0000000000
5896 98.0000000000
5997 99.0000000000
6102 100.0000000000
100020 99.0000000000
evaluations raw_y
1 49.0000000000
2 51.0000000000
3 52.0000000000
107 53.0000000000
208 54.0000000000
309 55.0000000000
410 56.0000000000
511 57.0000000000
612 58.0000000000
715 59.0000000000
816 60.0000000000
920 61.0000000000
1021 62.0000000000
1122 63.0000000000
1225 64.0000000000
1328 65.0000000000
1429 66.0000000000
1530 67.0000000000
1634 68.0000000000
1735 69.0000000000
1836 70.0000000000
1937 71.0000000000
2041 72.0000000000
2142 73.0000000000
2245 74.0000000000
2347 75.0000000000
2450 76.0000000000
2551 77.0000000000
2654 78.0000000000
2756 79.0000000000
2860 80.0000000000
2964 81.0000000000
3066 82.0000000000
3167 83.0000000000
3269 84.0000000000
3372 85.0000000000
3474 86.0000000000
3578 87.0000000000
3681 88.0000000000
3782 89.0000000000
3883 90.0000000000
3985 91.0000000000
4086 92.0000000000
4187 93.0000000000
4288 94.0000000000
4389 95.0000000000
4490 96.0000000000
4592 97.0000000000
4695 98.0000000000
4796 99.0000000000
4898 100.0000000000
103821 99.0000000000
evaluations raw_y
1 48.0000000000
2 53.0000000000
5 54.0000000000
107 55.0000000000
208 56.0000000000
310 57.0000000000
411 58.0000000000
514 59.0000000000
616 60.0000000000
720 61.0000000000
821 62.0000000000
923 63.0000000000
1024 64.0000000000
1125 65.0000000000
1228 66.0000000000
1331 67.0000000000
1434 68.0000000000
1536 69.0000000000
1637 70.0000000000
1738 71.0000000000
1839 72.0000000000
1940 73.0000000000
2041 74.0000000000
2144 75.0000000000
2246 76.0000000000
2349 77.0000000000
2450 78.0000000000
2551 79.0000000000
2652 80.0000000000
2756 81.0000000000
2859 82.0000000000
2965 83.0000000000
3070 84.0000000000
3171 85.0000000000
3272 86.0000000000
3375 87.0000000000
3476 88.0000000000
3578 89.0000000000
3679 90.0000000000
3783 91.0000000000
3884 92.0000000000
3985 93.0000000000
4091 94.0000000000
4192 95.0000000000
4295 96.0000000000
4397 97.0000000000
4498 98.0000000000
4600 99.0000000000
4701 100.0000000000
103921 99.0000000000
evaluations raw_y
1 53.0000000000
409 54.0000000000
511 55.0000000000
614 56.0000000000
718 57.0000000000
820 58.0000000000
921 59.0000000000
1023 60.0000000000
1125 61.0000000000
1226 62.0000000000
1327 63.0000000000
1428 64.0000000000
1529 65.0000000000
1630 66.0000000000
1733 67.0000000000
1836 68.0000000000
1939 69.0000000000
2041 70.0000000000
2145 71.0000000000
2247 72.0000000000
2350 73.0000000000
2454 74.0000000000
2555 75.0000000000
2657 76.0000000000
2758 77.0000000000
2859 78.0000000000
2964 79.0000000000
3065 80.0000000000
3166 81.0000000000
3267 82.0000000000
3368 83.0000000000
3469 84.0000000000
3570 85.0000000000
3672 86.0000000000
3774 87.0000000000
3876 88.0000000000
3977 89.0000000000
4078 90.0000000000
4179 91.0000000000
4288 92.0000000000
4389 93.0000000000
4491 94.0000000000
4594 95.0000000000
4695 96.0000000000
4797 97.0000000000
4898 98.0000000000
5000 99.0000000000
5101 100.0000000000
102521 99.0000000000
evaluations raw_y
1 42.0000000000
2 53.0000000000
3 54.0000000000
107 55.0000000000
213 56.0000000000
315 57.0000000000
416 58.0000000000
517 59.0000000000
622 60.0000000000
723 61.0000000000
828 62.0000000000
929 63.0000000000
1031 64.0000000000
1133 65.0000000000
1234 66.0000000000
