evaluations raw_y
1 -1186.0000000000
103 -1176.0000000000
110 -1166.0000000000
203 -1137.0000000000
214 -1127.0000000000
303 -1098.0000000000
316 -1088.0000000000
403 -1059.0000000000
417 -1049.0000000000
503 -1020.0000000000
519 -1010.0000000000
603 -981.0000000000
626 -971.0000000000
703 -942.0000000000
735 -932.0000000000
803 -903.0000000000
837 -893.0000000000
903 -864.0000000000
938 -854.0000000000
1003 -825.0000000000
1039 -815.0000000000
1103 -786.0000000000
1140 -776.0000000000
1203 -747.0000000000
1246 -737.0000000000
1303 -708.0000000000
1351 -698.0000000000
1403 -669.0000000000
1459 -659.0000000000
1503 -630.0000000000
1564 -620.0000000000
1603 -591.0000000000
1666 -581.0000000000
1703 -552.0000000000
1767 -542.0000000000
1803 -513.0000000000
1872 -503.0000000000
1903 -474.0000000000
1973 -464.0000000000
2003 -435.0000000000
2076 -425.0000000000
2103 -396.0000000000
2186 -386.0000000000
2203 -357.0000000000
2289 -347.0000000000
2303 -318.0000000000
2392 -308.0000000000
2403 -279.0000000000
2504 -260.0000000000
2521 -250.0000000000
2604 -231.0000000000
2641 -221.0000000000
2704 -202.0000000000
2750 -192.0000000000
2804 -173.0000000000
2853 -163.0000000000
2904 -144.0000000000
2991 -134.0000000000
3004 -115.0000000000
3106 -106.0000000000
3111 -96.0000000000
3223 -87.0000000000
3277 -77.0000000000
3323 -68.0000000000
3394 -58.0000000000
3423 -49.0000000000
3499 -39.0000000000
3523 -30.0000000000
3601 -20.0000000000
3623 -11.0000000000
3702 -1.0000000000
3723 8.0000000000
26045 9.0000000000
102524 -21.0000000000
evaluations raw_y
1 -1371.0000000000
2 -1341.0000000000
3 -1312.0000000000
4 -1302.0000000000
103 -1273.0000000000
105 -1263.0000000000
203 -1234.0000000000
206 -1224.0000000000
303 -1195.0000000000
308 -1185.0000000000
403 -1156.0000000000
415 -1146.0000000000
503 -1117.0000000000
516 -1107.0000000000
603 -1078.0000000000
617 -1068.0000000000
703 -1039.0000000000
719 -1029.0000000000
803 -1000.0000000000
825 -990.0000000000
903 -961.0000000000
929 -951.0000000000
1003 -922.0000000000
1034 -912.0000000000
1103 -883.0000000000
1136 -873.0000000000
1203 -844.0000000000
1241 -834.0000000000
1303 -805.0000000000
1346 -795.0000000000
1403 -766.0000000000
1448 -756.0000000000
1503 -727.0000000000
1549 -717.0000000000
1603 -688.0000000000
1651 -678.0000000000
1703 -649.0000000000
1754 -639.0000000000
1803 -610.0000000000
1857 -600.0000000000
1903 -571.0000000000
1958 -561.0000000000
2003 -532.0000000000
2066 -522.0000000000
2103 -493.0000000000
2169 -483.0000000000
2203 -454.0000000000
2283 -444.0000000000
2303 -415.0000000000
2385 -405.0000000000
2403 -376.0000000000
2496 -366.0000000000
2503 -337.0000000000
2611 -318.0000000000
2612 -308.0000000000
2711 -299.0000000000
2723 -279.0000000000
2811 -270.0000000000
2826 -260.0000000000
2831 -250.0000000000
2913 -241.0000000000
2926 -231.0000000000
2943 -221.0000000000
3013 -212.0000000000
3026 -202.0000000000
3070 -192.0000000000
3113 -183.0000000000
3132 -173.0000000000
3188 -163.0000000000
3213 -154.0000000000
3232 -144.0000000000
3293 -134.0000000000
3313 -125.0000000000
3332 -115.0000000000
3413 -106.0000000000
3462 -96.0000000000
3513 -87.0000000000
3563 -77.0000000000
3613 -68.0000000000
3673 -58.0000000000
3713 -49.0000000000
3782 -39.0000000000
3813 -30.0000000000
3902 -20.0000000000
3913 -11.0000000000
4018 -10.0000000000
4052 -2.0000000000
4118 -1.0000000000
4187 7.0000000000
4218 8.0000000000
4360 9.0000000000
72567 10.0000000000
101123 -20.0000000000
evaluations raw_y
1 -1196.0000000000
208 -1167.0000000000
310 -1138.0000000000
315 -1128.0000000000
410 -1099.0000000000
417 -1089.0000000000
510 -1060.0000000000
518 -1050.0000000000
610 -1021.0000000000
619 -1011.0000000000
710 -982.0000000000
720 -972.0000000000
810 -943.0000000000
829 -933.0000000000
910 -904.0000000000
934 -894.0000000000
1010 -865.0000000000
1037 -855.0000000000
1110 -836.0000000000
1112 -826.0000000000
1138 -816.0000000000
1210 -797.0000000000
1212 -787.0000000000
1239 -777.0000000000
1310 -758.0000000000
1312 -748.0000000000
1340 -738.0000000000
1410 -719.0000000000
1412 -709.0000000000
1441 -699.0000000000
1510 -680.0000000000
1512 -670.0000000000
1544 -660.0000000000
1610 -641.0000000000
1612 -631.0000000000
1645 -621.0000000000
1710 -602.0000000000
1712 -592.0000000000
1748 -582.0000000000
1810 -563.0000000000
1812 -553.0000000000
1849 -543.0000000000
1910 -524.0000000000
1912 -514.0000000000
1961 -504.0000000000
2010 -485.0000000000
2012 -475.0000000000
2066 -465.0000000000
2110 -446.0000000000
2112 -436.0000000000
2168 -426.0000000000
2210 -407.0000000000
2212 -397.0000000000
2278 -387.0000000000
2310 -368.0000000000
2312 -358.0000000000
2396 -348.0000000000
2410 -329.0000000000
2412 -319.0000000000
2500 -309.0000000000
2510 -290.0000000000
2512 -280.0000000000
2610 -271.0000000000
2630 -261.0000000000
2633 -251.0000000000
2710 -242.0000000000
2730 -232.0000000000
2743 -222.0000000000
2810 -213.0000000000
2830 -203.0000000000
2853 -193.0000000000
2910 -184.0000000000
2930 -174.0000000000
2981 -164.0000000000
3010 -155.0000000000
3030 -145.0000000000
3088 -135.0000000000
3110 -126.0000000000
3130 -116.0000000000
3191 -106.0000000000
