evaluations raw_y
1 7.0000000000
2 7.6000000000
5 7.8000000000
25 8.6000000000
105 8.8000000000
200 8.8000000000
205 9.0000000000
308 9.2000000000
410 9.4000000000
513 9.6000000000
590 9.6000000000
613 9.8000000000
714 10.0000000000
783 10.0000000000
814 10.2000000000
922 10.4000000000
1029 10.6000000000
1130 10.8000000000
1133 10.8000000000
1178 10.8000000000
1230 11.0000000000
1233 11.0000000000
1330 11.2000000000
1374 11.2000000000
1430 11.4000000000
1532 11.6000000000
1639 11.8000000000
1649 11.8000000000
1739 12.0000000000
1840 12.2000000000
1943 12.4000000000
1956 12.4000000000
2043 12.6000000000
2058 12.6000000000
2143 12.8000000000
2244 13.0000000000
2351 13.2000000000
2452 13.4000000000
2559 13.6000000000
2662 13.8000000000
2764 14.0000000000
2867 14.2000000000
2970 14.4000000000
3071 14.6000000000
3175 14.8000000000
3277 15.0000000000
3384 15.2000000000
3487 15.4000000000
3595 15.6000000000
3696 15.8000000000
3801 16.0000000000
3902 16.2000000000
7796 16.4000000000
7901 16.6000000000
8002 16.8000000000
23499 17.0000000000
23601 17.2000000000
26701 17.4000000000
26802 17.6000000000
102829 17.0000000000
evaluations raw_y
1 6.6000000000
2 7.6000000000
3 7.8000000000
19 8.6000000000
103 8.8000000000
144 8.8000000000
186 9.6000000000
203 9.8000000000
289 9.8000000000
303 10.0000000000
393 10.0000000000
403 10.2000000000
498 10.2000000000
503 10.4000000000
606 10.6000000000
707 10.8000000000
808 11.0000000000
909 11.2000000000
974 11.2000000000
1009 11.4000000000
1110 11.6000000000
1214 11.8000000000
1316 12.0000000000
1368 12.0000000000
1416 12.2000000000
1517 12.4000000000
1564 12.4000000000
1617 12.6000000000
1724 12.8000000000
1825 13.0000000000
1927 13.2000000000
2037 13.4000000000
2144 13.6000000000
2248 13.8000000000
2352 14.0000000000
2453 14.2000000000
2556 14.4000000000
2658 14.6000000000
2761 14.8000000000
2871 15.0000000000
2972 15.2000000000
3075 15.4000000000
3176 15.6000000000
3279 15.8000000000
3380 16.0000000000
3491 16.2000000000
3499 16.2000000000
3591 16.4000000000
3692 16.6000000000
3801 16.8000000000
7398 17.0000000000
7502 17.2000000000
11094 17.4000000000
63005 17.6000000000
102028 16.4000000000
evaluations raw_y
1 7.0000000000
17 7.2000000000
104 7.4000000000
131 8.2000000000
204 8.4000000000
243 9.2000000000
304 9.4000000000
369 10.2000000000
387 10.2000000000
404 10.4000000000
469 11.2000000000
504 11.4000000000
606 11.6000000000
674 11.6000000000
706 11.8000000000
778 11.8000000000
806 12.0000000000
908 12.2000000000
1010 12.4000000000
1119 12.6000000000
1138 12.6000000000
1219 12.8000000000
1253 12.8000000000
1264 12.8000000000
1319 13.0000000000
1353 13.0000000000
1419 13.2000000000
1458 13.2000000000
1519 13.4000000000
1625 13.6000000000
1739 13.8000000000
1749 13.8000000000
1839 14.0000000000
1941 14.2000000000
2050 14.4000000000
2154 14.6000000000
2256 14.8000000000
2361 15.0000000000
2462 15.2000000000
2565 15.4000000000
2667 15.6000000000
2775 15.8000000000
2877 16.0000000000
2979 16.2000000000
3081 16.4000000000
3190 16.6000000000
3291 16.8000000000
3396 17.0000000000
3497 17.2000000000
10589 17.4000000000
45103 17.6000000000
100427 16.8000000000
evaluations raw_y
1 6.4000000000
7 6.6000000000
12 7.4000000000
107 7.6000000000
130 8.4000000000
207 8.6000000000
234 9.4000000000
307 9.6000000000
351 10.4000000000
385 10.4000000000
407 10.6000000000
451 11.4000000000
507 11.6000000000
565 12.4000000000
607 12.6000000000
714 12.8000000000
774 12.8000000000
814 13.0000000000
878 13.0000000000
914 13.2000000000
997 13.2000000000
1014 13.4000000000
1117 13.6000000000
1218 13.8000000000
1320 14.0000000000
1422 14.2000000000
1523 14.4000000000
1625 14.6000000000
1654 14.6000000000
1725 14.8000000000
1826 15.0000000000
1940 15.2000000000
2042 15.4000000000
2145 15.6000000000
2246 15.8000000000
2359 16.0000000000
2461 16.2000000000
2569 16.4000000000
2672 16.6000000000
2780 16.8000000000
2881 17.0000000000
2990 17.2000000000
3092 17.4000000000
104329 15.4000000000
evaluations raw_y
1 7.2000000000
209 7.4000000000
230 8.2000000000
309 8.4000000000
341 9.2000000000
409 9.4000000000
447 10.2000000000
509 10.4000000000
563 11.2000000000
609 11.4000000000
