evaluations raw_y
1 -0.5087805952
2 -0.4997639029
5 -0.4979925239
7 -0.4947141949
14 -0.4895867883
84 -0.4891900648
105 -0.4874186858
107 -0.4841403568
114 -0.4790129502
194 -0.4787013827
205 -0.4769300037
207 -0.4736516747
214 -0.4685242681
305 -0.4667528891
307 -0.4634745601
315 -0.4624275211
323 -0.4606045879
331 -0.4591945404
405 -0.4574231613
407 -0.4541448324
413 -0.4534863111
415 -0.4530977934
423 -0.4512748602
449 -0.4505673344
505 -0.4487959554
507 -0.4455176264
513 -0.4448591052
515 -0.4444705875
523 -0.4426476542
553 -0.4425879990
580 -0.4420533120
605 -0.4402819330
607 -0.4370036040
613 -0.4363450828
615 -0.4359565650
623 -0.4341336318
653 -0.4340739765
705 -0.4323025975
707 -0.4290242686
713 -0.4283657473
715 -0.4279772296
723 -0.4261542964
805 -0.4243829173
807 -0.4211045884
813 -0.4204460671
815 -0.4200575494
832 -0.4183166336
905 -0.4165452546
910 -0.4148370791
913 -0.4126084044
915 -0.4122198866
940 -0.4116182704
978 -0.4113198715
1005 -0.4095484924
1010 -0.4078403169
1013 -0.4056116422
1015 -0.4052231245
1040 -0.4046215082
1105 -0.4028501292
1110 -0.4011419537
1113 -0.3989132790
1115 -0.3985247613
1142 -0.3980962380
1205 -0.3963248590
1210 -0.3946166834
1213 -0.3923880088
1215 -0.3919994910
1248 -0.3918075395
1305 -0.3900361605
1310 -0.3883279850
1313 -0.3860993103
1315 -0.3857107926
1405 -0.3839394136
1410 -0.3822312380
1413 -0.3800025634
1476 -0.3797185837
1505 -0.3779472047
1510 -0.3762390292
1513 -0.3740103545
1605 -0.3722389755
1610 -0.3705308000
1617 -0.3703237958
1619 -0.3700630472
1621 -0.3694964669
1626 -0.3686195721
1650 -0.3684650252
1705 -0.3666936462
1710 -0.3649854707
1717 -0.3647784665
1719 -0.3645177179
1721 -0.3639511376
1726 -0.3630742429
1805 -0.3613028639
1810 -0.3595946883
1817 -0.3593876841
1819 -0.3591269356
1821 -0.3585603553
1851 -0.3582627114
1905 -0.3564913324
1910 -0.3547831569
1917 -0.3545761526
1919 -0.3543154041
1921 -0.3537488238
2005 -0.3519774448
2010 -0.3502692693
2017 -0.3500622650
2019 -0.3498015165
2105 -0.3480301375
2110 -0.3463219620
2117 -0.3461149578
2205 -0.3443435787
2210 -0.3426354032
2305 -0.3408640242
2325 -0.3404302888
2386 -0.3400733280
2405 -0.3383019490
2425 -0.3378682136
2498 -0.3378153981
2505 -0.3360440191
2525 -0.3356102837
2605 -0.3338389047
2660 -0.3338073313
2705 -0.3320359523
2811 -0.3307751563
2818 -0.3305144139
2879 -0.3303250568
2911 -0.3290642608
2918 -0.3288035184
3011 -0.3275427224
3052 -0.3273295238
3111 -0.3260687278
3229 -0.3253726770
3230 -0.3250676875
3329 -0.3243716366
3339 -0.3242051765
3420 -0.3139683840
3529 -0.3132723331
3666 -0.3128576877
3697 -0.3127024492
3766 -0.3122878038
3890 -0.3120956224
3999 -0.3120872373
8021 -0.3043973434
8107 -0.3039172234
8144 -0.3037308670
8207 -0.3032507470
8266 -0.3030773020
8295 -0.3027218552
8307 -0.3022417352
8366 -0.3020682901
8397 -0.3014915650
8407 -0.3010114450
8466 -0.3008379999
8507 -0.3003578799
8620 -0.3000263059
8667 -0.2999432345
8720 -0.2996116605
8900 -0.2996032754
32928 -0.2975872162
71334 -0.2975518827
71514 -0.2975434976
75938 -0.2973239106
76115 -0.2973155254
100224 -0.3227943782
evaluations raw_y
1 -0.4865079967
103 -0.4820291228
112 -0.4794796409
114 -0.4767312630
203 -0.4718520082
212 -0.4693025263
223 -0.4688115828
227 -0.4682011347
269 -0.4679765284
303 -0.4630972737
316 -0.4619309988
323 -0.4600568483
327 -0.4594464002
403 -0.4545671454
416 -0.4534008706
436 -0.4520693828
455 -0.4519254265
458 -0.4517672080
470 -0.4516335823
484 -0.4514238536
503 -0.4465445988
516 -0.4453783240
536 -0.4440468362
555 -0.4439028799
558 -0.4437446615
570 -0.4436110357
593 -0.4434207081
603 -0.4385414534
616 -0.4373751786
636 -0.4360436908
655 -0.4358997345
658 -0.4357415160
670 -0.4356078903
688 -0.4344448728
703 -0.4295656180
736 -0.4270678554
755 -0.4269238991
758 -0.4267656807
770 -0.4266320549
803 -0.4217528002
836 -0.4192550375
855 -0.4191110812
858 -0.4189528628
903 -0.4140736080
936 -0.4115758454
955 -0.4114318891
1003 -0.4065526343
1036 -0.4040548717
1103 -0.3991756170
1142 -0.3975296014
1203 -0.3926503467
1256 -0.3926287653
1281 -0.3925183776
1303 -0.3876391228
1356 -0.3876175415
1403 -0.3827382867
1506 -0.3822581667
1511 -0.3814774907
1517 -0.3790517280
1519 -0.3787909794
1521 -0.3782243991
1533 -0.3779648992
1580 -0.3742242643
1606 -0.3737441443
1611 -0.3729634683
1617 -0.3705377055
1619 -0.3702769570
1621 -0.3697103767
1633 -0.3694508768
1706 -0.3689707568
1711 -0.3681900808
1717 -0.3657643180
1719 -0.3655035695
1721 -0.3649369892
1777 -0.3648414618
1806 -0.3643613418
1811 -0.3635806658
1817 -0.3611549031
1819 -0.3608941545
1821 -0.3603275742
1906 -0.3598474542
1911 -0.3590667782
1917 -0.3566410155
1919 -0.3563802669
2006 -0.3559001469
2011 -0.3551194709
2017 -0.3526937082
2106 -0.3522135882
2111 -0.3514329122
2135 -0.3507243670
2154 -0.3496460432
2179 -0.3494434873
2206 -0.3489633673
2211 -0.3481826913
2235 -0.3474741462
2254 -0.3463958224
2306 -0.3459157024
2311 -0.3451350264
2335 -0.3401916637
2406 -0.3397115437
2411 -0.3389308677
2452 -0.3387176691
2460 -0.3383887113
2461 -0.3378313335
2506 -0.3373512135
2511 -0.3365705375
2552 -0.3363573390
2560 -0.3360283811
2598 -0.3355734036
2606 -0.3350932836
2611 -0.3343126076
2652 -0.3340994091
2660 -0.3337704512
2706 -0.3332903312
2711 -0.3325096552
2752 -0.3322964566
2806 -0.3318163366
2811 -0.3310356606
2906 -0.3305555406
2929 -0.3303396098
2937 -0.3302073490
2939 -0.3301731496
2994 -0.3300266488
3006 -0.3295465288
3029 -0.3293305979
3037 -0.3291983372
3039 -0.3291641378
3096 -0.3287963586
3106 -0.3283162386
3129 -0.3281003078
3137 -0.3279680470
3139 -0.3279338476
3206 -0.3274537276
3220 -0.3176970551
3306 -0.3172169351
3329 -0.3170010043
3337 -0.3168687435
3404 -0.3135433861
3506 -0.3130632661
3529 -0.3128473353
3585 -0.3127652945
3606 -0.3122851745
3622 -0.3074456587
3706 -0.3069655387
3729 -0.3067496078
3806 -0.3062694878
3966 -0.3058548425
4086 -0.3057977796
4199 -0.3057893945
8804 -0.3030195234
8907 -0.3025394034
8929 -0.2973214843
9007 -0.2968413643
9031 -0.2963204439
9107 -0.2958403239
9220 -0.2955087499
17325 -0.2937324513
17422 -0.2934008773
17602 -0.2933924922
90342 -0.2928573370
90506 -0.2928002742
102125 -0.3113619443
evaluations raw_y
1 -0.5196037230
3 -0.5163211100
7 -0.5104833142
14 -0.5099899704
32 -0.5049728382
91 -0.5039210232
103 -0.4993766907
107 -0.4935388949
114 -0.4930455511
132 -0.4880284189
203 -0.4834840865
212 -0.4826294770
214 -0.4771529469
236 -0.4731296027
303 -0.4685852703
312 -0.4677306608
314 -0.4622541307
339 -0.4613374479
403 -0.4567931154
412 -0.4559385060
414 -0.4504619758
503 -0.4459176434
512 -0.4450630339
527 -0.4404594268
603 -0.4359150943
612 -0.4350604849
638 -0.4342947651
640 -0.4337610636
657 -0.4337343897
658 -0.4327802347
674 -0.4306760776
703 -0.4261317452
712 -0.4252771357
738 -0.4245114159
740 -0.4239777144
757 -0.4231381760
758 -0.4229968855
788 -0.4217671484
803 -0.4172228159
812 -0.4163682064
838 -0.4156024867
840 -0.4150687852
857 -0.4142292467
858 -0.4140879563
903 -0.4095436238
912 -0.4086890143
938 -0.4079232945
940 -0.4073895930
957 -0.4065500546
1003 -0.4020057221
1012 -0.4011511126
1038 -0.4003853928
1040 -0.3998516914
1103 -0.3953073589
1112 -0.3944527494
1138 -0.3936870296
1142 -0.3933264211
1203 -0.3887820886
1212 -0.3879274792
1238 -0.3871617594
1303 -0.3826174269
1312 -0.3817628174
1403 -0.3772184850
1459 -0.3769179627
1503 -0.3723736303
1606 -0.3718935103
1608 -0.3680084446
1621 -0.3678597427
1706 -0.3673796227
1708 -0.3634945569
1806 -0.3630144369
1809 -0.3608630266
1844 -0.3596309491
1887 -0.3594414759
1902 -0.3591503364
1906 -0.3586702164
1909 -0.3565188061
1944 -0.3552867286
1987 -0.3550972554
2006 -0.3546171353
2009 -0.3524657250
2044 -0.3512336475
2106 -0.3507535275
2109 -0.3486021172
2150 -0.3456883182
2206 -0.3452081982
2209 -0.3430567879
2254 -0.3426406533
2262 -0.3418687609
2306 -0.3413886408
2309 -0.3392372305
2354 -0.3388210959
2366 -0.3384060022
2376 -0.3382904676
2406 -0.3378103476
2409 -0.3356589372
2454 -0.3352428026
2466 -0.3348277089
2506 -0.3343475889
2509 -0.3321961785
2554 -0.3317800439
2606 -0.3312999239
2609 -0.3291485136
2635 -0.3255758852
2706 -0.3250957652
2709 -0.3229443549
2806 -0.3224642349
2811 -0.3216835589
2824 -0.3206649065
2846 -0.3206366044
2906 -0.3201564844
2911 -0.3193758084
2924 -0.3183571560
3006 -0.3178770360
3011 -0.3170963600
3025 -0.3161520416
3106 -0.3156719216
3111 -0.3148912456
3161 -0.3148847807
3206 -0.3144046607
3211 -0.3136239847
3306 -0.3131438647
3330 -0.3126229443
3394 -0.3126149728
3395 -0.3124315545
3398 -0.3123834510
3406 -0.3119033310
3430 -0.3113824107
3494 -0.3113744392
3495 -0.3111910209
3506 -0.3107109009
3530 -0.3101899805
3594 -0.3101820091
3606 -0.3097018891
3630 -0.3091809687
3696 -0.3089517189
3706 -0.3084715989
3730 -0.3079506785
3806 -0.3074705585
3864 -0.3073340963
3885 -0.3071725869
3906 -0.3066924669
3964 -0.3065560047
4006 -0.3060758847
4119 -0.3057443106
4292 -0.3055374011
4377 -0.2998349169
13008 -0.2993969255
13121 -0.2990653515
13225 -0.2989389460
13324 -0.2936193102
13488 -0.2935622474
13601 -0.2935538622
100724 -0.3238677827
evaluations raw_y
1 -0.5291401896
2 -0.5083274848
4 -0.5080759461
7 -0.5006122415
27 -0.4983249358
36 -0.4958921167
104 -0.4956405779
107 -0.4881768733
127 -0.4858895676
167 -0.4850648982
204 -0.4848133594
207 -0.4773496549
227 -0.4750623492
304 -0.4748108104
307 -0.4673471058
332 -0.4672246864
344 -0.4661831548
373 -0.4651440507
404 -0.4648925119
407 -0.4574288073
432 -0.4573063879
444 -0.4562648563
504 -0.4560133175
507 -0.4485496130
532 -0.4484271935
549 -0.4476376504
604 -0.4473861116
607 -0.4399224070
632 -0.4397999876
684 -0.4396151038
696 -0.4393882703
704 -0.4391367315
707 -0.4316730269
732 -0.4315506075
784 -0.4313657237
804 -0.4311141849
807 -0.4236504804
832 -0.4235280609
904 -0.4232765221
908 -0.4212662743
910 -0.4193217163
921 -0.4190141733
931 -0.4165894136
954 -0.4162455784
955 -0.4160070872
958 -0.4158488688
970 -0.4157152431
1004 -0.4154637043
1008 -0.4134534564
1010 -0.4115088985
1021 -0.4112013554
1031 -0.4087765957
1054 -0.4084327606
1055 -0.4081942694
1058 -0.4080360509
1104 -0.4077845121
1108 -0.4057742643
1110 -0.4038297063
1121 -0.4035221633
1131 -0.4010974036
1154 -0.4007535684
1155 -0.4005150772
1204 -0.4002635384
1208 -0.3982532906
1210 -0.3963087326
1221 -0.3960011896
1231 -0.3935764299
1254 -0.3932325948
1304 -0.3929810560
1308 -0.3909708081
1310 -0.3890262502
1321 -0.3887187071
1331 -0.3862939474
1404 -0.3860424086
1410 -0.3820876028
1421 -0.3817800598
1440 -0.3795955842
1504 -0.3793440454
1510 -0.3753892396
1521 -0.3750816966
1541 -0.3746415956
1542 -0.3744372054
1568 -0.3738779469
1572 -0.3730815256
1604 -0.3728299868
1610 -0.3696019711
1621 -0.3685676380
1641 -0.3681275370
1668 -0.3673638883
1676 -0.3670893167
1704 -0.3668377780
1710 -0.3636097622
1721 -0.3625754291
1741 -0.3621353282
1768 -0.3613716795
1804 -0.3611201407
1810 -0.3578921250
1821 -0.3568577919
1841 -0.3564176909
1877 -0.3556691953
1904 -0.3554176565
1910 -0.3521896408
1921 -0.3511553077
1941 -0.3507152068
1993 -0.3503099996
2001 -0.3501782887
2004 -0.3499267499
2010 -0.3466987342
2021 -0.3456644011
2041 -0.3452243001
2093 -0.3448190929
2104 -0.3445675542
2110 -0.3413395384
2121 -0.3403052053
2141 -0.3398651044
2204 -0.3396135656
2210 -0.3363855498
2221 -0.3353512168
2243 -0.3352043892
2251 -0.3350535729
2304 -0.3348020341
2310 -0.3315740184
2321 -0.3305396853
2343 -0.3303928577
2404 -0.3301413190
2410 -0.3269133032
2421 -0.3258789701
2504 -0.3256274314
2510 -0.3223994156
2604 -0.3221478768
2609 -0.3197678853
2704 -0.3195163465
2713 -0.3194779469
2718 -0.3182463469
2746 -0.3174601348
2804 -0.3172085960
2813 -0.3171701965
2818 -0.3159385964
2904 -0.3156870577
2913 -0.3156486581
2945 -0.3151975791
2985 -0.3151605049
2990 -0.3146670881
3004 -0.3144155493
3013 -0.3143771498
3045 -0.3139260708
3085 -0.3138889965
3094 -0.3136580763
3095 -0.3134746580
3104 -0.3132231192
3113 -0.3131847196
3145 -0.3127336406
3185 -0.3126965664
3194 -0.3124656461
3204 -0.3122141074
3213 -0.3121757078
3245 -0.3117246288
3285 -0.3116875546
3296 -0.3112353560
3304 -0.3109838172
3313 -0.3109454176
3345 -0.3104943386
3385 -0.3104572644
3404 -0.3102057256
3413 -0.3101673260
3445 -0.3097162470
3504 -0.3094647082
3513 -0.3094263086
3552 -0.3092765178
3597 -0.3091463631
3604 -0.3088948243
3613 -0.3088564247
3652 -0.3087066339
3704 -0.3084550951
3713 -0.3073824301
3804 -0.3023600478
3906 -0.3018799278
3965 -0.3017064828
4006 -0.3012263628
4186 -0.3011692999
4299 -0.3011609148
8707 -0.3007447600
8798 -0.3006549961
8807 -0.3001748761
8920 -0.2998433020
9100 -0.2998349169
48807 -0.2993900052
48896 -0.2993329423
49009 -0.2993245572
57834 -0.2950775077
58011 -0.2950691225
103524 -0.3062104587
evaluations raw_y
1 -0.4640965262
416 -0.4640807159
425 -0.4629057991
427 -0.4601236965
504 -0.4588491778
505 -0.4575745100
516 -0.4540781669
525 -0.4529032500
570 -0.4523108786
584 -0.4521011499
592 -0.4519514183
604 -0.4506768997
605 -0.4501800393
616 -0.4459058888
625 -0.4447309719
670 -0.4441386005
684 -0.4439288718
704 -0.4426543532
705 -0.4421574928
716 -0.4378833422
725 -0.4367084253
770 -0.4361160539
804 -0.4348415353
805 -0.4343446749
816 -0.4300705243
825 -0.4288956074
904 -0.4276210888
905 -0.4271242284
916 -0.4228500779
935 -0.4226914487
937 -0.4222090006
1005 -0.4204376216
1016 -0.4161634710
1035 -0.4160048419
1071 -0.4155636754
1105 -0.4137922964
1116 -0.4095181458
1135 -0.4093595167
1205 -0.4075881377
1216 -0.4033139871
1305 -0.4015426081
1317 -0.4009498997
1342 -0.3981556083
1372 -0.3973046128
1405 -0.3955332338
1417 -0.3951626312
1424 -0.3950251644
1444 -0.3934410050
1451 -0.3924930814
1478 -0.3922420856
1505 -0.3904707065
1517 -0.3901001039
1521 -0.3877281979
1551 -0.3874305541
1605 -0.3856591751
1617 -0.3852885725
1621 -0.3829166665
1682 -0.3828000720
1705 -0.3810286930
1717 -0.3806580904
1721 -0.3782861844
1805 -0.3765148054
1817 -0.3761442028
1824 -0.3760067360
1844 -0.3744225766
1875 -0.3744075549
1905 -0.3726361759
1917 -0.3722655733
1924 -0.3721281065
1944 -0.3705439471
2005 -0.3687725681
2017 -0.3684019655
2024 -0.3682644987
2050 -0.3649986178
2105 -0.3632272388
2117 -0.3628566362
2124 -0.3627191694
2153 -0.3620321911
2166 -0.3615358591
2174 -0.3613290210
2205 -0.3595576420
2217 -0.3591870394
2224 -0.3590495726
2226 -0.3559382387
2305 -0.3541668597
2317 -0.3537962571
2324 -0.3536587903
2347 -0.3524979495
2366 -0.3524754800
2405 -0.3507041010
2417 -0.3503334984
2424 -0.3501960316
2447 -0.3490351908
2505 -0.3472638118
2517 -0.3468932092
2524 -0.3467557424
2553 -0.3460687641
2597 -0.3460513913
2605 -0.3442800123
2617 -0.3439094097
2624 -0.3437719429
2653 -0.3430849646
2705 -0.3413135856
2717 -0.3409429830
2724 -0.3408055162
2758 -0.3354057725
2805 -0.3336343935
2817 -0.3332637909
2824 -0.3331263241
