evaluations raw_y
1 0.0000000000
2 4.0000000000
7 5.0000000000
108 6.0000000000
209 8.0000000000
311 9.0000000000
412 10.0000000000
513 11.0000000000
614 13.0000000000
716 14.0000000000
817 17.0000000000
920 19.0000000000
1022 22.0000000000
1125 24.0000000000
1227 25.0000000000
1328 26.0000000000
1429 27.0000000000
1530 35.0000000000
1638 36.0000000000
1739 38.0000000000
1841 41.0000000000
1944 42.0000000000
2045 43.0000000000
2146 44.0000000000
2247 45.0000000000
2348 48.0000000000
2451 49.0000000000
2552 50.0000000000
2653 52.0000000000
2755 54.0000000000
2857 55.0000000000
2958 56.0000000000
3059 57.0000000000
3160 61.0000000000
3264 63.0000000000
3366 66.0000000000
3469 67.0000000000
3570 72.0000000000
3675 74.0000000000
3777 75.0000000000
3878 76.0000000000
3979 79.0000000000
4082 80.0000000000
4183 81.0000000000
4284 83.0000000000
4386 84.0000000000
4487 85.0000000000
4588 87.0000000000
4690 89.0000000000
4792 92.0000000000
4895 93.0000000000
4996 95.0000000000
5098 96.0000000000
5199 97.0000000000
5300 99.0000000000
5402 100.0000000000
104022 99.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
105 3.0000000000
206 7.0000000000
310 9.0000000000
412 10.0000000000
513 15.0000000000
618 16.0000000000
719 17.0000000000
820 18.0000000000
921 20.0000000000
1023 21.0000000000
1124 27.0000000000
1230 28.0000000000
1331 30.0000000000
1433 31.0000000000
1534 33.0000000000
1636 36.0000000000
1739 39.0000000000
1842 40.0000000000
1943 41.0000000000
2044 43.0000000000
2146 45.0000000000
2248 48.0000000000
2351 56.0000000000
2459 57.0000000000
2560 59.0000000000
2662 68.0000000000
2771 72.0000000000
2875 73.0000000000
2976 74.0000000000
3077 76.0000000000
3179 79.0000000000
3282 80.0000000000
3383 82.0000000000
3485 85.0000000000
3588 89.0000000000
3692 91.0000000000
3794 92.0000000000
3895 95.0000000000
3998 96.0000000000
4099 97.0000000000
4200 100.0000000000
105121 99.0000000000
evaluations raw_y
1 4.0000000000
107 7.0000000000
210 8.0000000000
311 10.0000000000
413 11.0000000000
514 12.0000000000
615 13.0000000000
716 14.0000000000
817 16.0000000000
919 21.0000000000
1024 23.0000000000
1126 24.0000000000
1227 27.0000000000
1330 30.0000000000
1433 31.0000000000
1534 32.0000000000
1635 40.0000000000
1743 41.0000000000
1844 51.0000000000
1954 52.0000000000
2055 64.0000000000
2167 67.0000000000
2270 68.0000000000
2371 71.0000000000
2474 73.0000000000
2576 74.0000000000
2677 75.0000000000
2778 77.0000000000
2880 81.0000000000
2984 82.0000000000
3085 83.0000000000
3186 84.0000000000
3287 89.0000000000
3392 92.0000000000
3495 98.0000000000
3601 99.0000000000
3702 100.0000000000
103421 99.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
104 3.0000000000
206 6.0000000000
309 7.0000000000
410 10.0000000000
513 11.0000000000
614 12.0000000000
715 14.0000000000
817 15.0000000000
918 17.0000000000
1020 20.0000000000
1123 22.0000000000
1225 29.0000000000
1332 31.0000000000
1434 32.0000000000
1535 34.0000000000
1637 35.0000000000
1738 39.0000000000
1842 40.0000000000
1943 41.0000000000
2044 45.0000000000
2148 46.0000000000
2249 48.0000000000
2351 52.0000000000
2455 53.0000000000
2556 56.0000000000
2659 58.0000000000
2761 61.0000000000
2864 62.0000000000
2965 63.0000000000
3066 65.0000000000
3168 66.0000000000
3269 68.0000000000
3371 70.0000000000
3473 71.0000000000
3574 73.0000000000
3676 74.0000000000
3777 75.0000000000
3878 76.0000000000
3979 77.0000000000
4080 84.0000000000
4187 85.0000000000
4288 87.0000000000
4390 88.0000000000
4491 89.0000000000
4592 92.0000000000
4695 95.0000000000
4798 100.0000000000
101221 99.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 3.0000000000
106 4.0000000000
207 6.0000000000
309 7.0000000000
410 10.0000000000
513 13.0000000000
616 15.0000000000
718 17.0000000000
820 18.0000000000
921 21.0000000000
1024 22.0000000000
1125 24.0000000000
1227 25.0000000000
1328 26.0000000000
1429 28.0000000000
1531 30.0000000000
1633 33.0000000000
1736 39.0000000000
1842 40.0000000000
1943 42.0000000000
2045 43.0000000000
2146 44.0000000000
2247 52.0000000000
2355 53.0000000000
2456 58.0000000000
2561 59.0000000000
2662 62.0000000000
2765 63.0000000000
2866 64.0000000000
2967 67.0000000000
3070 68.0000000000
3171 70.0000000000
3273 71.0000000000
3374 72.0000000000
3475 74.0000000000
3577 75.0000000000
3678 76.0000000000
3779 77.0000000000
3880 80.0000000000
3983 81.0000000000
4084 85.0000000000
4188 87.0000000000
4290 91.0000000000
4394 93.0000000000
4496 95.0000000000
4598 96.0000000000
4699 97.0000000000
4800 99.0000000000
4902 100.0000000000
100021 99.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
105 4.0000000000
207 6.0000000000
309 8.0000000000
411 10.0000000000
513 11.0000000000
614 13.0000000000
716 14.0000000000
817 16.0000000000
919 21.0000000000
1024 22.0000000000
1125 27.0000000000
1230 28.0000000000
1331 31.0000000000
1434 33.0000000000
1536 34.0000000000
1637 36.0000000000
1739 38.0000000000
1841 39.0000000000
1942 44.0000000000
2047 45.0000000000
2148 47.0000000000
2250 48.0000000000
2351 49.0000000000
2452 50.0000000000
2553 53.0000000000
2656 54.0000000000
2757 55.0000000000
2858 56.0000000000
2959 57.0000000000
3060 59.0000000000
3162 65.0000000000
3268 66.0000000000
3369 68.0000000000
3471 71.0000000000
3574 72.0000000000
3675 73.0000000000
3776 77.0000000000
3880 79.0000000000
3982 85.0000000000
4088 89.0000000000
4192 93.0000000000
4296 94.0000000000
4397 96.0000000000
4499 100.0000000000
101421 99.0000000000
evaluations raw_y
1 0.0000000000
2 8.0000000000
11 9.0000000000
112 10.0000000000
213 12.0000000000
315 19.0000000000
422 21.0000000000
524 22.0000000000
625 23.0000000000
726 24.0000000000
827 27.0000000000
930 31.0000000000
1034 32.0000000000
1135 33.0000000000
1236 34.0000000000
1337 35.0000000000
1438 37.0000000000
1540 38.0000000000
1641 39.0000000000
1742 41.0000000000
