evaluations raw_y
1 1.0141987830
2 1.1558021267
4 1.2444001991
7 1.2645422357
14 1.3319126265
60 1.4560279557
104 1.5556938395
108 1.5713387806
114 1.6329196604
172 1.6414970453
204 1.7253278123
213 1.7494751575
214 1.7895490336
238 1.7998560115
240 1.8155410312
303 1.8953752843
314 1.9546520719
403 2.0210185934
404 2.0475020475
420 2.0610057708
456 2.0955574183
475 2.1097046414
503 2.2421524664
504 2.2502250225
570 2.2665457842
603 2.4390243902
720 2.5125628141
754 2.5960539979
820 2.7144408252
897 2.7382256298
920 2.8441410694
1024 2.8901734104
1055 2.9036004646
1122 2.9655990510
1123 3.0525030525
1222 3.0902348578
1235 3.1055900621
1239 3.1685678074
1263 3.2175032175
1307 3.3288948069
1422 3.4106412005
1439 3.4674063800
1550 3.4770514604
1608 3.5260930889
1724 3.5561877667
1859 3.5868005739
1930 3.6603221083
2043 3.6927621861
2108 3.7707390649
2191 3.8167938931
2208 3.9001560062
16741 4.0128410915
23483 4.0783034258
23554 4.1459369818
23692 4.1876046901
23739 4.3177892919
84995 4.4404973357
90897 4.5045045045
100311 3.2010243278
evaluations raw_y
1 1.0438413361
3 1.2619888945
8 1.2787723785
10 1.3477088949
16 1.3743815283
19 1.3989927252
38 1.4148273911
44 1.4714537964
63 1.4749262537
104 1.4979029359
117 1.6056518947
121 1.6307893020
144 1.6479894529
173 1.6880486158
207 1.7182130584
208 1.7277125086
221 1.7818959373
231 1.8288222385
238 1.8670649739
308 1.9577133908
321 1.9700551615
366 2.0885547201
408 2.1061499579
421 2.3342670401
524 2.3386342376
525 2.3562676720
527 2.4582104228
531 2.5380710660
606 2.5960539979
624 2.6068821689
651 2.6288117771
679 2.7085590466
706 2.7262813522
724 2.8121484814
725 2.9726516052
806 2.9940119760
824 3.0376670717
852 3.0674846626
888 3.1446540881
906 3.2851511170
1052 3.3288948069
1101 3.5161744023
1124 3.7369207773
1250 3.8880248834
1311 4.0257648953
1472 4.0650406504
12332 4.2016806723
40402 4.2444821732
50526 4.3478260870
50651 4.3630017452
50670 4.5372050817
101029 3.3112582781
evaluations raw_y
1 1.0360547037
2 1.2493753123
38 1.2569130216
39 1.2827090816
42 1.4037057833
105 1.5179113540
109 1.5253203173
122 1.5328019620
139 1.6160310278
151 1.6767270288
156 1.7667844523
205 1.9275250578
239 1.9700551615
292 1.9825535289
298 2.0016012810
305 2.1061499579
339 2.1132713440
346 2.1204410517
371 2.1349274125
373 2.2026431718
405 2.4679170780
528 2.5536261491
545 2.6288117771
551 2.6399155227
579 2.6511134677
616 2.6567481403
633 2.7027027027
669 2.7144408252
712 2.7203482046
716 2.7685492802
733 2.8835063437
845 2.9726516052
946 3.0229746070
977 3.0376670717
979 3.1133250311
1046 3.3377837116
1137 3.3467202142
1167 3.4199726402
1212 3.6496350365
1396 3.7257824143
1451 3.7821482602
1506 3.8402457757
1591 3.8880248834
3025 3.9123630673
3121 3.9494470774
3238 3.9619651347
3275 4.0128410915
3404 4.1322314050
16898 4.3029259897
32192 4.3177892919
32323 4.5207956600
32429 4.7438330171
101224 3.4106412005
evaluations raw_y
1 1.1155734047
4 1.2153621779
15 1.2382367509
33 1.3027618551
38 1.3743815283
108 1.4005602241
111 1.4196479273
115 1.4943215780
133 1.5271838729
209 1.5290519878
211 1.5713387806
215 1.6633399867
234 1.7088174983
235 1.7182130584
265 1.7768301350
310 1.7844396859
315 1.9700551615
408 1.9731649566
420 2.0112630732
430 2.0441537204
434 2.0576131687
437 2.1645021645
502 2.2261798753
508 2.2706630336
537 2.3299161230
608 2.3786869648
620 2.4154589372
647 2.4630541872
672 2.5025025025
720 2.5693730730
745 2.5799793602
836 2.6288117771
847 2.6624068158
876 2.7085590466
936 2.7262813522
947 2.7995520717
1026 2.8835063437
1069 2.9103608847
1101 2.9377203290
1124 2.9585798817
1126 2.9726516052
1224 3.0376670717
1336 3.0902348578
1426 3.3829499323
1458 3.4770514604
1591 3.6075036075
1626 3.6179450072
1657 3.8402457757
4861 3.8520801233
4966 3.9872408293
5098 4.0000000000
5103 4.1876046901
5145 4.2016806723
5298 4.2735042735
35940 4.4563279857
101327 3.6603221083
evaluations raw_y
1 0.7790588969
3 1.4052838673
220 1.4132278123
306 1.4376078206
319 1.5673981191
327 1.5752993069
338 1.6414970453
389 1.6501650165
406 1.6655562958
417 1.6835016835
419 1.8587360595
438 1.9455252918
506 1.9607843137
519 2.0112630732
521 2.0441537204
528 2.0712510356
536 2.2182786158
612 2.2542831380
631 2.3562676720
653 2.3832221163
665 2.4108003857
723 2.4630541872
731 2.5025025025
751 2.5641025641
771 2.5960539979
817 2.7027027027
845 2.7502750275
853 2.7746947836
901 2.9171528588
951 2.9377203290
953 3.0376670717
1005 3.1210986267
1146 3.1766200762
1158 3.2258064516
1224 3.2509752926
1251 3.4293552812
1397 3.7707390649
1424 3.9001560062
1446 3.9246467818
1522 4.2301184433
1689 4.2735042735
8313 4.5372050817
77001 4.7258979206
100235 2.9515938607
evaluations raw_y
1 0.8983111750
2 1.4277555682
6 1.6223231668
25 1.6744809109
90 1.6972165648
106 1.8559762435
120 1.8953752843
206 2.0210185934
209 2.0475020475
237 2.0746887967
259 2.1168501270
265 2.2789425706
306 2.4248302619
325 2.5125628141
408 2.5278058645
436 2.7995520717
512 2.8571428571
555 2.8835063437
647 3.0012004802
712 3.0084235860
778 3.4013605442
890 3.4293552812
915 3.4965034965
956 3.6603221083
2213 3.7037037037
2401 3.8284839204
6930 3.9123630673
7036 4.0257648953
7197 4.1186161450
25130 4.2158516020
25238 4.4091710758
100518 3.3200531208
evaluations raw_y
1 0.8103727715
303 0.9458948165
312 0.9619084263
381 0.9693679721
403 1.1317338162
412 1.1483693156
446 1.1504832029
467 1.1720581341
503 1.3594344753
515 1.3653741125
559 1.3683634373
572 1.3713658804
603 1.5537600994
615 1.6097875080
703 1.7568517217
707 1.8076644975
737 1.8341892883
803 2.0746887967
905 2.0850708924
907 2.1204410517
912 2.1276595745
920 2.1872265967
