evaluations raw_y
1 57.0000000000
1225 58.0000000000
1328 59.0000000000
1430 60.0000000000
1532 61.0000000000
1633 62.0000000000
1734 63.0000000000
1837 64.0000000000
1939 65.0000000000
2040 66.0000000000
2141 67.0000000000
2242 68.0000000000
2344 69.0000000000
2448 70.0000000000
2551 71.0000000000
2652 72.0000000000
2753 73.0000000000
2854 74.0000000000
2955 75.0000000000
3057 76.0000000000
3158 77.0000000000
3259 78.0000000000
3361 79.0000000000
3462 80.0000000000
3563 81.0000000000
3664 82.0000000000
3765 83.0000000000
3866 84.0000000000
3970 85.0000000000
4072 86.0000000000
4173 87.0000000000
4275 88.0000000000
4376 89.0000000000
4485 90.0000000000
4588 91.0000000000
4693 92.0000000000
4794 93.0000000000
4895 94.0000000000
4996 95.0000000000
5098 96.0000000000
5199 97.0000000000
5300 98.0000000000
5401 99.0000000000
5502 100.0000000000
101731 99.0000000000
evaluations raw_y
1 46.0000000000
2 52.0000000000
3 53.0000000000
104 54.0000000000
205 55.0000000000
306 56.0000000000
407 57.0000000000
508 58.0000000000
609 59.0000000000
712 60.0000000000
817 61.0000000000
918 62.0000000000
1019 63.0000000000
1124 64.0000000000
1226 65.0000000000
1330 66.0000000000
1432 67.0000000000
1533 68.0000000000
1634 69.0000000000
1735 70.0000000000
1838 71.0000000000
1939 72.0000000000
2044 73.0000000000
2147 74.0000000000
2250 75.0000000000
2351 76.0000000000
2454 77.0000000000
2556 78.0000000000
2657 79.0000000000
2758 80.0000000000
2861 81.0000000000
2963 82.0000000000
3069 83.0000000000
3173 84.0000000000
3276 85.0000000000
3378 86.0000000000
3479 87.0000000000
3581 88.0000000000
3683 89.0000000000
3784 90.0000000000
3887 91.0000000000
3988 92.0000000000
4089 93.0000000000
4190 94.0000000000
4292 95.0000000000
4393 96.0000000000
4495 97.0000000000
4596 98.0000000000
4698 99.0000000000
4801 100.0000000000
103236 99.0000000000
evaluations raw_y
1 51.0000000000
514 52.0000000000
618 53.0000000000
720 54.0000000000
821 55.0000000000
922 56.0000000000
1025 57.0000000000
1126 58.0000000000
1227 59.0000000000
1331 60.0000000000
1435 61.0000000000
1536 62.0000000000
1638 63.0000000000
1739 64.0000000000
1843 65.0000000000
1944 66.0000000000
2047 67.0000000000
2148 68.0000000000
2249 69.0000000000
2352 70.0000000000
2453 71.0000000000
2556 72.0000000000
2659 73.0000000000
2761 74.0000000000
2862 75.0000000000
2963 76.0000000000
3064 77.0000000000
3167 78.0000000000
3268 79.0000000000
3369 80.0000000000
3471 81.0000000000
3572 82.0000000000
3673 83.0000000000
3775 84.0000000000
3876 85.0000000000
3978 86.0000000000
4081 87.0000000000
4182 88.0000000000
4284 89.0000000000
4386 90.0000000000
4489 91.0000000000
4590 92.0000000000
4691 93.0000000000
4792 94.0000000000
4893 95.0000000000
4994 96.0000000000
5096 97.0000000000
5199 98.0000000000
5300 99.0000000000
5402 100.0000000000
100133 99.0000000000
evaluations raw_y
1 46.0000000000
2 51.0000000000
3 52.0000000000
107 53.0000000000
208 54.0000000000
309 55.0000000000
411 56.0000000000
513 57.0000000000
615 58.0000000000
718 59.0000000000
820 60.0000000000
923 61.0000000000
1028 62.0000000000
1129 63.0000000000
1230 64.0000000000
1331 65.0000000000
1433 66.0000000000
1535 67.0000000000
1637 68.0000000000
1740 69.0000000000
1842 70.0000000000
1943 71.0000000000
2044 72.0000000000
2146 73.0000000000
2247 74.0000000000
2348 75.0000000000
2450 76.0000000000
2552 77.0000000000
2654 78.0000000000
2755 79.0000000000
2857 80.0000000000
2958 81.0000000000
3062 82.0000000000
3164 83.0000000000
3265 84.0000000000
3366 85.0000000000
3470 86.0000000000
3571 87.0000000000
3673 88.0000000000
3775 89.0000000000
3877 90.0000000000
3978 91.0000000000
4082 92.0000000000
4183 93.0000000000
4289 94.0000000000
4391 95.0000000000
4492 96.0000000000
4596 97.0000000000
4700 98.0000000000
4801 99.0000000000
4902 100.0000000000
101422 99.0000000000
evaluations raw_y
1 51.0000000000
508 52.0000000000
609 53.0000000000
711 54.0000000000
812 55.0000000000
913 56.0000000000
1017 57.0000000000
1118 58.0000000000
1220 59.0000000000
1321 60.0000000000
1422 61.0000000000
1523 62.0000000000
