evaluations raw_y
1 -1497.0000000000
2 -1478.0000000000
5 -1468.0000000000
104 -1439.0000000000
106 -1429.0000000000
204 -1400.0000000000
207 -1390.0000000000
304 -1361.0000000000
309 -1351.0000000000
404 -1322.0000000000
410 -1312.0000000000
504 -1283.0000000000
511 -1273.0000000000
604 -1244.0000000000
617 -1234.0000000000
704 -1205.0000000000
718 -1195.0000000000
804 -1166.0000000000
826 -1156.0000000000
904 -1127.0000000000
927 -1117.0000000000
1004 -1088.0000000000
1028 -1078.0000000000
1104 -1049.0000000000
1130 -1039.0000000000
1204 -1010.0000000000
1245 -1000.0000000000
1304 -971.0000000000
1347 -961.0000000000
1404 -932.0000000000
1456 -922.0000000000
1504 -893.0000000000
1559 -883.0000000000
1604 -854.0000000000
1661 -844.0000000000
1704 -815.0000000000
1765 -805.0000000000
1804 -776.0000000000
1866 -766.0000000000
1904 -737.0000000000
1967 -727.0000000000
2004 -698.0000000000
2068 -688.0000000000
2104 -659.0000000000
2170 -649.0000000000
2204 -620.0000000000
2272 -610.0000000000
2304 -581.0000000000
2376 -571.0000000000
2404 -542.0000000000
2479 -532.0000000000
2504 -503.0000000000
2589 -493.0000000000
2604 -464.0000000000
2690 -454.0000000000
2704 -425.0000000000
2798 -415.0000000000
2804 -386.0000000000
2899 -376.0000000000
2904 -347.0000000000
3013 -328.0000000000
3014 -318.0000000000
3113 -299.0000000000
3122 -289.0000000000
3213 -270.0000000000
3229 -260.0000000000
3313 -241.0000000000
3344 -231.0000000000
3413 -212.0000000000
3454 -202.0000000000
3513 -183.0000000000
3583 -173.0000000000
3613 -154.0000000000
3686 -144.0000000000
3713 -125.0000000000
3794 -115.0000000000
3813 -106.0000000000
3823 -96.0000000000
3913 -87.0000000000
3924 -77.0000000000
4013 -68.0000000000
4063 -58.0000000000
4113 -49.0000000000
4174 -39.0000000000
4213 -30.0000000000
4293 -20.0000000000
4313 -11.0000000000
4425 -2.0000000000
4505 -1.0000000000
4587 7.0000000000
4605 8.0000000000
13671 9.0000000000
101040 -21.0000000000
evaluations raw_y
1 -1800.0000000000
2 -1517.0000000000
3 -1488.0000000000
5 -1478.0000000000
103 -1449.0000000000
106 -1439.0000000000
203 -1410.0000000000
207 -1400.0000000000
303 -1371.0000000000
314 -1361.0000000000
403 -1332.0000000000
416 -1322.0000000000
503 -1293.0000000000
518 -1283.0000000000
603 -1254.0000000000
619 -1244.0000000000
703 -1215.0000000000
720 -1205.0000000000
803 -1176.0000000000
829 -1166.0000000000
903 -1137.0000000000
936 -1127.0000000000
1003 -1098.0000000000
1038 -1088.0000000000
1103 -1059.0000000000
1140 -1049.0000000000
1203 -1020.0000000000
1241 -1010.0000000000
1303 -981.0000000000
1347 -971.0000000000
1403 -952.0000000000
1412 -942.0000000000
1448 -932.0000000000
1503 -913.0000000000
1512 -903.0000000000
1551 -893.0000000000
1603 -874.0000000000
1612 -864.0000000000
1654 -854.0000000000
1703 -835.0000000000
1712 -825.0000000000
1755 -815.0000000000
1803 -796.0000000000
1812 -786.0000000000
1865 -776.0000000000
1903 -757.0000000000
1912 -747.0000000000
1966 -737.0000000000
2003 -718.0000000000
2012 -708.0000000000
2067 -698.0000000000
2103 -679.0000000000
2112 -669.0000000000
2173 -659.0000000000
2203 -640.0000000000
2212 -630.0000000000
2274 -620.0000000000
2303 -601.0000000000
2312 -591.0000000000
2375 -581.0000000000
2403 -562.0000000000
2423 -552.0000000000
2476 -542.0000000000
2503 -523.0000000000
2523 -513.0000000000
2577 -503.0000000000
2603 -484.0000000000
2623 -474.0000000000
2678 -464.0000000000
2703 -445.0000000000
2723 -435.0000000000
2779 -425.0000000000
2803 -406.0000000000
2823 -396.0000000000
2885 -386.0000000000
2903 -367.0000000000
2923 -357.0000000000
2986 -347.0000000000
3003 -328.0000000000
3023 -318.0000000000
3094 -308.0000000000
3103 -289.0000000000
3123 -279.0000000000
3203 -260.0000000000
3232 -250.0000000000
3303 -231.0000000000
3343 -221.0000000000
3403 -202.0000000000
3452 -192.0000000000
3503 -173.0000000000
3596 -163.0000000000
3603 -144.0000000000
3701 -134.0000000000
3703 -115.0000000000
3812 -106.0000000000
3822 -96.0000000000
3912 -87.0000000000
3928 -77.0000000000
4012 -68.0000000000
4042 -58.0000000000
4112 -49.0000000000
4153 -39.0000000000
4212 -30.0000000000
4283 -20.0000000000
4312 -11.0000000000
4487 -2.0000000000
4517 -1.0000000000
4595 7.0000000000
4617 8.0000000000
36773 9.0000000000
79715 10.0000000000
100739 8.0000000000
evaluations raw_y
1 -1264.0000000000
506 -1244.0000000000
518 -1234.0000000000
606 -1205.0000000000
620 -1195.0000000000
706 -1166.0000000000
729 -1156.0000000000
806 -1127.0000000000
831 -1117.0000000000
906 -1088.0000000000
932 -1078.0000000000
1006 -1049.0000000000
1033 -1039.0000000000
1106 -1010.0000000000
1134 -1000.0000000000
1206 -971.0000000000
1239 -961.0000000000
1306 -932.0000000000
1343 -922.0000000000
1406 -893.0000000000
1449 -883.0000000000
1506 -854.0000000000
1550 -844.0000000000
1606 -815.0000000000
1652 -805.0000000000
1706 -776.0000000000
1753 -766.0000000000
1806 -737.0000000000
1860 -727.0000000000
1906 -698.0000000000
1968 -688.0000000000
2006 -659.0000000000
2072 -649.0000000000
2106 -620.0000000000
2182 -610.0000000000
2206 -581.0000000000
2286 -571.0000000000
2306 -542.0000000000
2387 -532.0000000000
2406 -503.0000000000
2490 -493.0000000000
2506 -464.0000000000
2593 -454.0000000000
2606 -425.0000000000
2713 -396.0000000000
2814 -377.0000000000
2825 -367.0000000000
2914 -348.0000000000
2955 -338.0000000000
3014 -319.0000000000
3061 -309.0000000000
3114 -290.0000000000
3163 -280.0000000000
3214 -261.0000000000
3267 -251.0000000000
3314 -232.0000000000
3385 -222.0000000000
3414 -203.0000000000
3488 -193.0000000000
3514 -174.0000000000
3595 -164.0000000000
3614 -145.0000000000
3702 -135.0000000000
3714 -116.0000000000
3804 -106.0000000000
3814 -87.0000000000
3923 -78.0000000000
3935 -68.0000000000
4008 -67.0000000000
4023 -59.0000000000
4044 -49.0000000000
4108 -48.0000000000
4123 -40.0000000000
4183 -30.0000000000
4208 -29.0000000000
4227 -21.0000000000
4308 -20.0000000000
4354 -12.0000000000
4408 -11.0000000000
4465 -3.0000000000
4505 -2.0000000000
4566 6.0000000000
4605 7.0000000000
4728 8.0000000000
8757 9.0000000000
17271 10.0000000000
101846 -21.0000000000
evaluations raw_y
1 -1459.0000000000
