evaluations raw_y
1 7.4000000000
2 9.2000000000
5 9.4000000000
67 10.2000000000
105 10.4000000000
186 10.4000000000
188 11.2000000000
205 11.4000000000
286 11.4000000000
305 11.6000000000
408 11.8000000000
515 12.0000000000
620 12.2000000000
631 12.2000000000
720 12.4000000000
732 12.4000000000
820 12.6000000000
924 12.8000000000
1026 13.0000000000
1127 13.2000000000
1158 13.2000000000
1227 13.4000000000
1333 13.6000000000
1435 13.8000000000
1548 14.0000000000
1554 14.0000000000
1648 14.2000000000
1751 14.4000000000
1855 14.6000000000
1959 14.8000000000
2062 15.0000000000
2168 15.2000000000
2272 15.4000000000
2373 15.6000000000
2477 15.8000000000
2593 16.0000000000
2694 16.2000000000
2799 16.4000000000
2902 16.6000000000
18402 16.8000000000
39018 17.0000000000
47009 17.0000000000
47112 17.2000000000
47216 17.4000000000
47321 17.6000000000
101346 16.6000000000
evaluations raw_y
1 8.6000000000
226 8.6000000000
304 8.8000000000
385 9.6000000000
404 9.8000000000
488 9.8000000000
504 10.0000000000
605 10.2000000000
707 10.4000000000
818 10.6000000000
828 10.6000000000
918 10.8000000000
1019 11.0000000000
1120 11.2000000000
1178 11.2000000000
1220 11.4000000000
1329 11.6000000000
1341 11.6000000000
1429 11.8000000000
1474 11.8000000000
1529 12.0000000000
1630 12.2000000000
1734 12.4000000000
1743 12.4000000000
1834 12.6000000000
1936 12.8000000000
2045 13.0000000000
2058 13.0000000000
2145 13.2000000000
2246 13.4000000000
2351 13.6000000000
2353 13.6000000000
2451 13.8000000000
2552 14.0000000000
2654 14.2000000000
2756 14.4000000000
2859 14.6000000000
2962 14.8000000000
3064 15.0000000000
3165 15.2000000000
3270 15.4000000000
3372 15.6000000000
3479 15.8000000000
3582 16.0000000000
3689 16.2000000000
3699 16.2000000000
3789 16.4000000000
3890 16.6000000000
4002 16.8000000000
7498 17.0000000000
14997 17.2000000000
15098 17.4000000000
15205 17.6000000000
101840 15.8000000000
evaluations raw_y
