evaluations raw_y
1 -0.5151757692
307 -0.5132890935
331 -0.5129209838
336 -0.5124426142
373 -0.5122375726
407 -0.5033707950
431 -0.5030026853
436 -0.5025243157
507 -0.4936575380
531 -0.4932894283
607 -0.4844226507
708 -0.4800574649
712 -0.4769939140
755 -0.4769016770
778 -0.4759566099
808 -0.4715914242
812 -0.4685278733
855 -0.4684356362
893 -0.4679534645
908 -0.4635882788
912 -0.4605247279
955 -0.4604324908
1008 -0.4560673051
1012 -0.4530037542
1108 -0.4486385684
1116 -0.4469582246
1137 -0.4463171473
1154 -0.4457212717
1208 -0.4413560860
1216 -0.4396757421
1237 -0.4390346649
1257 -0.4389962346
1274 -0.4387199571
1308 -0.4343547714
1316 -0.4326744275
1337 -0.4320333503
1357 -0.4311820555
1408 -0.4268168697
1416 -0.4251365259
1437 -0.4244954486
1508 -0.4201302629
1516 -0.4184499190
1602 -0.4181199069
1608 -0.4137547211
1616 -0.4120743773
1708 -0.4077091915
1742 -0.4069159985
1750 -0.4065290480
1768 -0.4063567400
1772 -0.4062871087
1808 -0.4019219230
1850 -0.4007417795
1868 -0.4005694715
1908 -0.3962042858
1950 -0.3950241422
1977 -0.3948669873
2008 -0.3905018016
2050 -0.3893216580
2108 -0.3849564723
2181 -0.3843104342
2208 -0.3799452484
2311 -0.3786844524
2318 -0.3784237101
2319 -0.3759979411
2380 -0.3756235169
2403 -0.3719020533
2419 -0.3716762096
2487 -0.3715704358
2503 -0.3678489722
2519 -0.3676231285
2603 -0.3639016649
2634 -0.3638268512
2703 -0.3601053876
2784 -0.3600613093
2803 -0.3563398457
2838 -0.3538966475
2903 -0.3501751839
3011 -0.3489143879
3018 -0.3486536455
3024 -0.3478125631
3028 -0.3444771449
3111 -0.3432163489
3118 -0.3429556065
3124 -0.3421145240
3147 -0.3410368557
3211 -0.3397760597
3218 -0.3395153173
3224 -0.3386742348
3253 -0.3380704290
3311 -0.3368096330
3318 -0.3365488906
3324 -0.3357078081
3358 -0.3303912369
3411 -0.3291304409
3418 -0.3288696985
3424 -0.3280286160
3511 -0.3267678200
3518 -0.3265070776
3560 -0.3262256636
3565 -0.3259158651
3611 -0.3246550691
3618 -0.3243943267
3660 -0.3241129127
3711 -0.3228521167
3718 -0.3225913743
3811 -0.3213305783
3852 -0.3211173797
3911 -0.3198565837
4029 -0.3191605329
4030 -0.3188555434
4095 -0.3186641536
4129 -0.3179681028
4130 -0.3176631132
4229 -0.3169670624
4285 -0.3168850217
4329 -0.3161889708
4486 -0.3161319080
4599 -0.3161235229
8221 -0.3149136626
8310 -0.3141118216
8430 -0.3134157708
8486 -0.3133337300
8530 -0.3126376792
8665 -0.3120210969
8798 -0.3114512130
8900 -0.3114428278
11717 -0.3114047205
11808 -0.3109246005
11811 -0.3106028795
11820 -0.3098831821
11870 -0.3088162366
11908 -0.3083361166
11911 -0.3080143956
11920 -0.3072946982
11991 -0.3061621066
12008 -0.3056819866
12011 -0.3053602656
12020 -0.3046405682
12108 -0.3041604482
12111 -0.3038387272
12132 -0.3036395279
12154 -0.3031665737
12208 -0.3026864536
12211 -0.3023647326
12232 -0.3021655333
12308 -0.3016854133
12311 -0.3013636923
12408 -0.3008835723
12466 -0.3007471100
12467 -0.3007101272
12508 -0.3002300072
12566 -0.3000935450
12608 -0.2996134249
12699 -0.2995236610
12708 -0.2990435410
12888 -0.2989864782
101467 -0.2988694955
101647 -0.3052450372
evaluations raw_y
1 -0.5112404376
2 -0.4922571519
21 -0.4906439785
92 -0.4871285803
107 -0.4869612530
109 -0.4848667937
111 -0.4836490258
116 -0.4810318334
121 -0.4716363586
207 -0.4714690313
209 -0.4693745719
211 -0.4681568041
216 -0.4655396116
232 -0.4646977112
238 -0.4608935826
305 -0.4602435951
309 -0.4586317960
311 -0.4574140281
316 -0.4547968357
332 -0.4539549353
349 -0.4511731458
374 -0.4509752841
405 -0.4503252966
409 -0.4487134975
411 -0.4474957296
416 -0.4448785372
432 -0.4440366368
449 -0.4412548473
