evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
106 4.0000000000
207 6.0000000000
309 8.0000000000
411 11.0000000000
514 12.0000000000
615 17.0000000000
720 18.0000000000
821 20.0000000000
923 21.0000000000
1024 22.0000000000
1125 23.0000000000
1226 29.0000000000
1332 31.0000000000
1434 33.0000000000
1536 34.0000000000
1637 37.0000000000
1740 38.0000000000
1841 39.0000000000
1942 41.0000000000
2044 42.0000000000
2145 48.0000000000
2251 50.0000000000
2353 51.0000000000
2454 52.0000000000
2555 53.0000000000
2656 54.0000000000
2757 67.0000000000
2870 69.0000000000
2972 70.0000000000
3073 71.0000000000
3174 72.0000000000
3275 74.0000000000
3377 75.0000000000
3478 77.0000000000
3580 79.0000000000
3682 80.0000000000
3783 83.0000000000
3886 85.0000000000
3988 86.0000000000
4089 87.0000000000
4190 89.0000000000
4292 90.0000000000
4393 93.0000000000
4496 94.0000000000
4597 95.0000000000
4698 98.0000000000
4801 99.0000000000
4902 100.0000000000
103531 99.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
105 3.0000000000
206 4.0000000000
307 5.0000000000
408 6.0000000000
509 8.0000000000
611 11.0000000000
714 12.0000000000
815 14.0000000000
917 17.0000000000
1020 22.0000000000
1125 24.0000000000
1227 25.0000000000
1328 26.0000000000
1429 28.0000000000
1531 30.0000000000
1633 34.0000000000
1737 36.0000000000
1839 38.0000000000
1941 40.0000000000
2043 41.0000000000
2144 44.0000000000
2247 46.0000000000
2349 48.0000000000
2451 49.0000000000
2552 52.0000000000
2655 54.0000000000
2757 56.0000000000
2859 57.0000000000
2960 58.0000000000
3061 60.0000000000
3163 61.0000000000
3264 62.0000000000
3365 63.0000000000
3466 64.0000000000
3567 65.0000000000
3668 67.0000000000
3770 69.0000000000
3872 71.0000000000
3974 72.0000000000
4075 73.0000000000
4176 74.0000000000
4277 79.0000000000
4382 80.0000000000
4483 81.0000000000
4584 82.0000000000
4685 86.0000000000
4789 88.0000000000
4891 89.0000000000
4992 91.0000000000
5094 98.0000000000
5201 99.0000000000
5302 100.0000000000
104931 99.0000000000
evaluations raw_y
1 3.0000000000
106 5.0000000000
208 6.0000000000
309 7.0000000000
410 8.0000000000
511 11.0000000000
614 12.0000000000
715 16.0000000000
819 21.0000000000
924 22.0000000000
1025 23.0000000000
1126 25.0000000000
1228 27.0000000000
1330 28.0000000000
1431 30.0000000000
1533 31.0000000000
1634 34.0000000000
1737 38.0000000000
1841 39.0000000000
1942 43.0000000000
2046 45.0000000000
2148 49.0000000000
2252 53.0000000000
2356 55.0000000000
2458 56.0000000000
2559 57.0000000000
2660 62.0000000000
2765 63.0000000000
2866 65.0000000000
2968 66.0000000000
3069 69.0000000000
3172 71.0000000000
3274 72.0000000000
3375 74.0000000000
3477 76.0000000000
3579 81.0000000000
3684 82.0000000000
3785 85.0000000000
3888 86.0000000000
3989 87.0000000000
4090 88.0000000000
4191 92.0000000000
