evaluations raw_y
1 47.0000000000
2 48.0000000000
3 49.0000000000
105 50.0000000000
206 51.0000000000
307 52.0000000000
408 53.0000000000
509 54.0000000000
611 55.0000000000
714 56.0000000000
816 57.0000000000
920 58.0000000000
1022 59.0000000000
1123 60.0000000000
1224 61.0000000000
1325 62.0000000000
1427 63.0000000000
1529 64.0000000000
1630 65.0000000000
1733 66.0000000000
1836 67.0000000000
1937 68.0000000000
2038 69.0000000000
2140 70.0000000000
2241 71.0000000000
2342 72.0000000000
2445 73.0000000000
2549 74.0000000000
2650 75.0000000000
2751 76.0000000000
2852 77.0000000000
2954 78.0000000000
3056 79.0000000000
3157 80.0000000000
3259 81.0000000000
3361 82.0000000000
3462 83.0000000000
3566 84.0000000000
3667 85.0000000000
3768 86.0000000000
3874 87.0000000000
3977 88.0000000000
4078 89.0000000000
4179 90.0000000000
4282 91.0000000000
4386 92.0000000000
4487 93.0000000000
4589 94.0000000000
4690 95.0000000000
4791 96.0000000000
4895 97.0000000000
4997 98.0000000000
5098 99.0000000000
5199 100.0000000000
100000 84.0000000000
evaluations raw_y
1 44.0000000000
2 49.0000000000
5 50.0000000000
106 51.0000000000
207 52.0000000000
312 53.0000000000
413 54.0000000000
514 55.0000000000
615 56.0000000000
718 57.0000000000
821 58.0000000000
924 59.0000000000
1027 60.0000000000
1129 61.0000000000
1230 62.0000000000
1332 63.0000000000
1433 64.0000000000
1534 65.0000000000
1639 66.0000000000
1740 67.0000000000
1841 68.0000000000
1943 69.0000000000
2045 70.0000000000
2146 71.0000000000
2247 72.0000000000
2348 73.0000000000
2449 74.0000000000
2550 75.0000000000
2651 76.0000000000
2752 77.0000000000
2854 78.0000000000
2957 79.0000000000
3059 80.0000000000
3160 81.0000000000
3261 82.0000000000
3362 83.0000000000
3464 84.0000000000
3565 85.0000000000
3666 86.0000000000
3767 87.0000000000
3872 88.0000000000
3975 89.0000000000
4076 90.0000000000
4179 91.0000000000
4280 92.0000000000
4382 93.0000000000
4484 94.0000000000
4588 95.0000000000
4689 96.0000000000
4793 97.0000000000
4895 98.0000000000
5000 99.0000000000
5101 100.0000000000
100000 54.0000000000
evaluations raw_y
1 47.0000000000
2 52.0000000000
5 53.0000000000
108 54.0000000000
210 55.0000000000
311 56.0000000000
412 57.0000000000
514 58.0000000000
615 59.0000000000
716 60.0000000000
817 61.0000000000
919 62.0000000000
1020 63.0000000000
1122 64.0000000000
1223 65.0000000000
1324 66.0000000000
1426 67.0000000000
1530 68.0000000000
1631 69.0000000000
1734 70.0000000000
1835 71.0000000000
1936 72.0000000000
2041 73.0000000000
2144 74.0000000000
2246 75.0000000000
2347 76.0000000000
2448 77.0000000000
2549 78.0000000000
2653 79.0000000000
2755 80.0000000000
2856 81.0000000000
2957 82.0000000000
3058 83.0000000000
3165 84.0000000000
3267 85.0000000000
3371 86.0000000000
3472 87.0000000000
3573 88.0000000000
3676 89.0000000000
3778 90.0000000000
3879 91.0000000000
3980 92.0000000000
4082 93.0000000000
4187 94.0000000000
4293 95.0000000000
4395 96.0000000000
4496 97.0000000000
4597 98.0000000000
4698 99.0000000000
4802 100.0000000000
100000 52.0000000000
evaluations raw_y
1 54.0000000000
715 55.0000000000
816 56.0000000000
922 57.0000000000
1024 58.0000000000
1125 59.0000000000
1227 60.0000000000
1328 61.0000000000
1430 62.0000000000
1532 63.0000000000
1635 64.0000000000
1737 65.0000000000
1839 66.0000000000
1940 67.0000000000
2041 68.0000000000
2142 69.0000000000
2243 70.0000000000
2344 71.0000000000
2445 72.0000000000
2547 73.0000000000
2648 74.0000000000
2749 75.0000000000
2850 76.0000000000
2951 77.0000000000
3055 78.0000000000
3156 79.0000000000
3259 80.0000000000
3360 81.0000000000
3465 82.0000000000
3566 83.0000000000
3668 84.0000000000
3769 85.0000000000
3871 86.0000000000
3974 87.0000000000
4077 88.0000000000
4178 89.0000000000
4279 90.0000000000
4380 91.0000000000
4482 92.0000000000
4583 93.0000000000
4685 94.0000000000
4786 95.0000000000
4894 96.0000000000
4996 97.0000000000
5099 98.0000000000
5200 99.0000000000
5302 100.0000000000
100000 88.0000000000
evaluations raw_y
1 40.0000000000
2 53.0000000000
4 54.0000000000
109 55.0000000000
210 56.0000000000
311 57.0000000000
412 58.0000000000
513 59.0000000000
617 60.0000000000
718 61.0000000000
821 62.0000000000
925 63.0000000000
1027 64.0000000000
1128 65.0000000000
1229 66.0000000000
1330 67.0000000000
1432 68.0000000000
1533 69.0000000000
1639 70.0000000000
1744 71.0000000000
1845 72.0000000000
1947 73.0000000000
2048 74.0000000000
2149 75.0000000000
2250 76.0000000000
2351 77.0000000000
2452 78.0000000000
2555 79.0000000000
2659 80.0000000000
2760 81.0000000000
2861 82.0000000000
2964 83.0000000000
3065 84.0000000000
3166 85.0000000000
3267 86.0000000000
3370 87.0000000000
3473 88.0000000000
3574 89.0000000000
3675 90.0000000000
3776 91.0000000000
3883 92.0000000000
3987 93.0000000000
4090 94.0000000000
4192 95.0000000000
4293 96.0000000000
4394 97.0000000000
4498 98.0000000000
4599 99.0000000000
4700 100.0000000000
100000 63.0000000000
evaluations raw_y
1 51.0000000000
2 53.0000000000
4 54.0000000000
105 55.0000000000
206 56.0000000000
307 57.0000000000
409 58.0000000000
510 59.0000000000
611 60.0000000000
715 61.0000000000
817 62.0000000000
919 63.0000000000
1021 64.0000000000
1122 65.0000000000
1225 66.0000000000
1327 67.0000000000
1429 68.0000000000
1530 69.0000000000
1632 70.0000000000
1736 71.0000000000
1837 72.0000000000
1938 73.0000000000
2039 74.0000000000
2144 75.0000000000
2246 76.0000000000
2347 77.0000000000
2449 78.0000000000
2550 79.0000000000
2653 80.0000000000
2754 81.0000000000
2855 82.0000000000
2957 83.0000000000
3058 84.0000000000
3159 85.0000000000
3261 86.0000000000
3362 87.0000000000
3463 88.0000000000
3565 89.0000000000
3670 90.0000000000
3773 91.0000000000
3876 92.0000000000
3978 93.0000000000
4079 94.0000000000
