evaluations raw_y
1 -1468.0000000000
425 -1459.0000000000
510 -1440.0000000000
513 -1430.0000000000
526 -1420.0000000000
610 -1401.0000000000
613 -1391.0000000000
627 -1381.0000000000
710 -1362.0000000000
713 -1352.0000000000
731 -1342.0000000000
810 -1323.0000000000
813 -1313.0000000000
834 -1303.0000000000
910 -1284.0000000000
913 -1274.0000000000
936 -1264.0000000000
1010 -1245.0000000000
1013 -1235.0000000000
1038 -1225.0000000000
1110 -1206.0000000000
1113 -1196.0000000000
1140 -1186.0000000000
1210 -1167.0000000000
1213 -1157.0000000000
1241 -1147.0000000000
1310 -1128.0000000000
1313 -1118.0000000000
1344 -1108.0000000000
1410 -1089.0000000000
1413 -1079.0000000000
1446 -1069.0000000000
1510 -1050.0000000000
1513 -1040.0000000000
1548 -1030.0000000000
1610 -1011.0000000000
1613 -1001.0000000000
1649 -991.0000000000
1710 -972.0000000000
1713 -962.0000000000
1750 -952.0000000000
1810 -933.0000000000
1813 -923.0000000000
1851 -913.0000000000
1910 -894.0000000000
1913 -884.0000000000
1954 -874.0000000000
2010 -855.0000000000
2013 -845.0000000000
2056 -835.0000000000
2110 -816.0000000000
2113 -806.0000000000
2158 -796.0000000000
2210 -777.0000000000
2213 -767.0000000000
2260 -757.0000000000
2310 -738.0000000000
2313 -728.0000000000
2364 -718.0000000000
2410 -699.0000000000
2413 -689.0000000000
2469 -679.0000000000
2510 -660.0000000000
2513 -650.0000000000
2574 -640.0000000000
2610 -621.0000000000
2613 -611.0000000000
2676 -601.0000000000
2710 -582.0000000000
2713 -572.0000000000
2777 -562.0000000000
2810 -543.0000000000
2813 -533.0000000000
2880 -523.0000000000
2910 -504.0000000000
2913 -494.0000000000
2986 -484.0000000000
3010 -465.0000000000
3013 -455.0000000000
3087 -445.0000000000
3110 -426.0000000000
3113 -416.0000000000
3190 -406.0000000000
3210 -387.0000000000
3213 -377.0000000000
3294 -367.0000000000
3310 -348.0000000000
3313 -338.0000000000
3410 -319.0000000000
3452 -309.0000000000
3510 -290.0000000000
3553 -280.0000000000
3610 -261.0000000000
3655 -251.0000000000
3710 -242.0000000000
3724 -232.0000000000
3761 -222.0000000000
3810 -213.0000000000
3824 -203.0000000000
3863 -193.0000000000
3910 -184.0000000000
3924 -174.0000000000
3981 -164.0000000000
4010 -155.0000000000
4024 -145.0000000000
4091 -135.0000000000
4110 -126.0000000000
4124 -116.0000000000
4200 -106.0000000000
4222 -97.0000000000
4224 -87.0000000000
4322 -78.0000000000
4342 -68.0000000000
4422 -59.0000000000
4483 -49.0000000000
4522 -40.0000000000
4601 -30.0000000000
4622 -21.0000000000
4715 -20.0000000000
4762 -12.0000000000
4815 -11.0000000000
4896 -3.0000000000
4915 -2.0000000000
4997 6.0000000000
5015 7.0000000000
5131 8.0000000000
5236 9.0000000000
42166 10.0000000000
100000 -1127.0000000000
evaluations raw_y
1 -1303.0000000000
1111 -1284.0000000000
1113 -1274.0000000000
