evaluations raw_y
1 7.8000000000
2 9.8000000000
3 10.0000000000
82 10.8000000000
103 11.0000000000
188 11.0000000000
203 11.2000000000
305 11.4000000000
406 11.6000000000
515 11.8000000000
518 11.8000000000
615 12.0000000000
717 12.2000000000
820 12.4000000000
937 12.6000000000
1040 12.8000000000
1141 13.0000000000
1242 13.2000000000
1343 13.4000000000
1448 13.6000000000
1549 13.8000000000
1654 14.0000000000
1756 14.2000000000
1860 14.4000000000
1962 14.6000000000
2064 14.8000000000
2166 15.0000000000
2269 15.2000000000
2370 15.4000000000
2474 15.6000000000
2576 15.8000000000
2683 16.0000000000
2785 16.2000000000
2895 16.4000000000
2996 16.6000000000
15697 16.8000000000
15800 17.0000000000
15904 17.2000000000
51114 17.4000000000
100000 11.8000000000
evaluations raw_y
1 8.4000000000
106 8.4000000000
119 8.4000000000
206 8.6000000000
307 8.8000000000
402 8.8000000000
407 9.0000000000
509 9.2000000000
610 9.4000000000
630 9.4000000000
710 9.6000000000
811 9.8000000000
914 10.0000000000
935 10.0000000000
1014 10.2000000000
1089 10.2000000000
1114 10.4000000000
1216 10.6000000000
1317 10.8000000000
1383 10.8000000000
1417 11.0000000000
1520 11.2000000000
1622 11.4000000000
1631 11.4000000000
1722 11.6000000000
1823 11.8000000000
1926 12.0000000000
2027 12.2000000000
2138 12.4000000000
2240 12.6000000000
2245 12.6000000000
2340 12.8000000000
2441 13.0000000000
2549 13.2000000000
2650 13.4000000000
2751 13.6000000000
2853 13.8000000000
2955 14.0000000000
3060 14.2000000000
3162 14.4000000000
3264 14.6000000000
3365 14.8000000000
3471 15.0000000000
3572 15.2000000000
3680 15.4000000000
3782 15.6000000000
3894 15.8000000000
3995 16.0000000000
7286 16.2000000000
7387 16.4000000000
7492 16.6000000000
7593 16.8000000000
30503 16.8000000000
41812 17.0000000000
61196 17.2000000000
61305 17.4000000000
61406 17.6000000000
61512 17.8000000000
100000 16.0000000000
evaluations raw_y
1 5.6000000000
2 6.6000000000
3 6.8000000000
14 6.8000000000
26 7.6000000000
103 7.8000000000
143 8.6000000000
203 8.8000000000
275 9.6000000000
303 9.8000000000
387 10.6000000000
403 10.8000000000
489 11.6000000000
503 11.8000000000
594 11.8000000000
603 12.0000000000
701 12.0000000000
703 12.2000000000
810 12.4000000000
911 12.6000000000
940 12.6000000000
1011 12.8000000000
1112 13.0000000000
1214 13.2000000000
1316 13.4000000000
1336 13.4000000000
1416 13.6000000000
1448 13.6000000000
1516 13.8000000000
1617 14.0000000000
1719 14.2000000000
1767 14.2000000000
1819 14.4000000000
1928 14.6000000000
2029 14.8000000000
2058 14.8000000000
2129 15.0000000000
2232 15.2000000000
2349 15.4000000000
2357 15.4000000000
2449 15.6000000000
2551 15.8000000000
2660 16.0000000000
2762 16.2000000000
2870 16.4000000000
2972 16.6000000000
3078 16.8000000000
3181 17.0000000000
28099 17.0000000000
28203 17.2000000000
28307 17.4000000000
100000 7.6000000000
evaluations raw_y
1 7.6000000000
108 7.6000000000
122 8.4000000000
208 8.6000000000
298 8.6000000000
308 8.8000000000
409 9.0000000000
495 9.0000000000
509 9.2000000000
617 9.4000000000
723 9.6000000000
788 9.6000000000
823 9.8000000000
924 10.0000000000
983 10.0000000000
1024 10.2000000000
1129 10.4000000000
1178 10.4000000000
1229 10.6000000000
1330 10.8000000000
1337 10.8000000000
1430 11.0000000000
1532 11.2000000000
1570 11.2000000000
1632 11.4000000000
1739 11.6000000000
1840 11.8000000000
1853 11.8000000000
1940 12.0000000000
1964 12.0000000000
2040 12.2000000000
2141 12.4000000000
2243 12.6000000000
2254 12.6000000000
2343 12.8000000000
2447 13.0000000000
2549 13.2000000000
2557 13.2000000000
2649 13.4000000000
2752 13.6000000000
2858 13.8000000000
2962 14.0000000000
3071 14.2000000000
3172 14.4000000000
3274 14.6000000000
3377 14.8000000000
3479 15.0000000000
3582 15.2000000000
3684 15.4000000000
3785 15.6000000000
3890 15.8000000000
3992 16.0000000000
4099 16.2000000000
4201 16.4000000000
11966 16.6000000000
12067 16.8000000000
12197 17.0000000000
12298 17.2000000000
19295 17.4000000000
100000 15.2000000000
evaluations raw_y
1 8.2000000000
149 8.6000000000
203 8.8000000000
279 9.6000000000
303 9.8000000000
384 9.8000000000
403 10.0000000000
488 10.0000000000
503 10.2000000000
594 10.2000000000
603 10.4000000000
706 10.6000000000
808 10.8000000000
918 11.0000000000
1019 11.2000000000
1120 11.4000000000
1173 11.4000000000
1220 11.6000000000
1324 11.8000000000
1328 11.8000000000
1424 12.0000000000
1525 12.2000000000
1626 12.4000000000
1729 12.6000000000
1831 12.8000000000
1943 13.0000000000
1954 13.0000000000
2043 13.2000000000
2146 13.4000000000
2256 13.6000000000
2357 13.8000000000
2458 14.0000000000
2559 14.2000000000
2666 14.4000000000
2767 14.6000000000
2868 14.8000000000
2970 15.0000000000
3074 15.2000000000
3177 15.4000000000
3286 15.6000000000
3387 15.8000000000
3490 16.0000000000
3592 16.2000000000
3699 16.4000000000
3800 16.6000000000
6886 16.8000000000
6987 17.0000000000
7091 17.2000000000
7192 17.4000000000
100000 13.0000000000
evaluations raw_y
1 6.4000000000
2 8.8000000000
3 9.0000000000
19 9.0000000000
31 9.8000000000
103 10.0000000000
119 10.0000000000
203 10.2000000000
284 10.2000000000
303 10.4000000000
394 10.4000000000
403 10.6000000000
506 10.8000000000
607 11.0000000000
710 11.2000000000
811 11.4000000000
912 11.6000000000
1016 11.8000000000
1117 12.0000000000
1221 12.2000000000
1269 12.2000000000
1321 12.4000000000
1422 12.6000000000
1527 12.8000000000
1553 12.8000000000
1627 13.0000000000
1659 13.0000000000
1727 13.2000000000
1838 13.4000000000
1941 13.6000000000
2045 13.8000000000
2056 13.8000000000
2145 14.0000000000
2246 14.2000000000
2360 14.4000000000
2461 14.6000000000
2565 14.8000000000
2667 15.0000000000
2776 15.2000000000
2877 15.4000000000
2986 15.6000000000
3087 15.8000000000
3189 16.0000000000
3292 16.2000000000
3396 16.4000000000
3497 16.6000000000
6062 16.8000000000
6163 17.0000000000
6270 17.2000000000
6373 17.4000000000
6497 17.6000000000
6603 17.8000000000
100000 10.4000000000
evaluations raw_y
1 6.2000000000
204 6.4000000000
234 7.2000000000
304 7.4000000000
351 8.2000000000
394 8.2000000000
404 8.4000000000
451 9.2000000000
500 9.2000000000
504 9.4000000000
551 10.2000000000
604 10.4000000000
654 11.2000000000
704 11.4000000000
777 12.2000000000
804 12.4000000000
906 12.6000000000
980 12.6000000000
1006 12.8000000000
1089 12.8000000000
1106 13.0000000000
1208 13.2000000000
1309 13.4000000000
1412 13.6000000000
1514 13.8000000000
1616 14.0000000000
1660 14.0000000000
1716 14.2000000000
1818 14.4000000000
1919 14.6000000000
1938 14.6000000000
2019 14.8000000000
2121 15.0000000000
2241 15.2000000000
2342 15.4000000000
2443 15.6000000000
2546 15.8000000000
2647 16.0000000000
2765 16.2000000000
2867 16.4000000000
2970 16.6000000000
3071 16.8000000000
3184 17.0000000000
3285 17.2000000000
3391 17.4000000000
3492 17.6000000000
100000 10.8000000000
evaluations raw_y
1 5.4000000000
2 6.4000000000
3 6.6000000000
8 7.4000000000
103 7.6000000000
195 8.4000000000
203 8.6000000000
304 8.8000000000
414 9.0000000000
516 9.2000000000
541 9.2000000000
616 9.4000000000
719 9.6000000000
825 9.8000000000
883 9.8000000000
925 10.0000000000
988 10.0000000000
1025 10.2000000000
1126 10.4000000000
1227 10.6000000000
1328 10.8000000000
1335 10.8000000000
1428 11.0000000000
1449 11.0000000000
1474 11.0000000000
1528 11.2000000000
1549 11.2000000000
1628 11.4000000000
1668 11.4000000000
1728 11.6000000000
1829 11.8000000000
1936 12.0000000000
1958 12.0000000000
2036 12.2000000000
2137 12.4000000000
2245 12.6000000000
2346 12.8000000000
2450 13.0000000000
2552 13.2000000000
2659 13.4000000000
2760 13.6000000000
2866 13.8000000000
2967 14.0000000000
3069 14.2000000000
3171 14.4000000000
3275 14.6000000000
3377 14.8000000000
3480 15.0000000000
3581 15.2000000000
3685 15.4000000000
3786 15.6000000000
3891 15.8000000000
3992 16.0000000000
4098 16.2000000000
4199 16.4000000000
11794 16.6000000000
11896 16.8000000000
11997 17.0000000000
15090 17.2000000000
38496 17.4000000000
100000 16.0000000000
evaluations raw_y
1 5.8000000000
49 6.6000000000
104 6.8000000000
186 7.6000000000
204 7.8000000000
305 8.0000000000
408 8.2000000000
446 8.2000000000
508 8.4000000000
598 8.4000000000
608 8.6000000000
709 8.8000000000
813 9.0000000000
916 9.2000000000
988 9.2000000000
1016 9.4000000000
1117 9.6000000000
1220 9.8000000000
1322 10.0000000000
1369 10.0000000000
1422 10.2000000000
1479 10.2000000000
1522 10.4000000000
1623 10.6000000000
1725 10.8000000000
1827 11.0000000000
1929 11.2000000000
2030 11.4000000000
2034 11.4000000000
2130 11.6000000000
2232 11.8000000000
2336 12.0000000000
2340 12.0000000000
2436 12.2000000000
2537 12.4000000000
2641 12.6000000000
2654 12.6000000000
2741 12.8000000000
2842 13.0000000000
2957 13.2000000000
3058 13.4000000000
3160 13.6000000000
3263 13.8000000000
3366 14.0000000000
3470 14.2000000000
3571 14.4000000000
3673 14.6000000000
3777 14.8000000000
3881 15.0000000000
3982 15.2000000000
4090 15.4000000000
4192 15.6000000000
4294 15.8000000000
4396 16.0000000000
4501 16.2000000000
4602 16.4000000000
8897 16.6000000000
11990 16.8000000000
12092 17.0000000000
12198 17.2000000000
