evaluations raw_y
1 0.0000000000
2 1.0000000000
4 4.0000000000
107 9.0000000000
212 11.0000000000
314 15.0000000000
418 16.0000000000
519 20.0000000000
623 21.0000000000
724 22.0000000000
825 23.0000000000
926 24.0000000000
1027 27.0000000000
1130 29.0000000000
1232 33.0000000000
1336 37.0000000000
1440 38.0000000000
1541 39.0000000000
1642 40.0000000000
1743 41.0000000000
1844 42.0000000000
1945 43.0000000000
2046 47.0000000000
2150 49.0000000000
2252 50.0000000000
2353 52.0000000000
2455 53.0000000000
2556 54.0000000000
2657 57.0000000000
2760 59.0000000000
2862 61.0000000000
2964 64.0000000000
3067 65.0000000000
3168 68.0000000000
3271 75.0000000000
3378 78.0000000000
3481 80.0000000000
3583 82.0000000000
3685 83.0000000000
3786 84.0000000000
3887 85.0000000000
3988 86.0000000000
4089 87.0000000000
4190 88.0000000000
4291 91.0000000000
4394 92.0000000000
4495 93.0000000000
4596 94.0000000000
4697 95.0000000000
4798 100.0000000000
100000 22.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 4.0000000000
107 6.0000000000
209 8.0000000000
311 9.0000000000
412 10.0000000000
513 12.0000000000
615 13.0000000000
716 14.0000000000
817 16.0000000000
919 18.0000000000
1021 21.0000000000
1124 22.0000000000
1225 24.0000000000
1327 26.0000000000
1429 28.0000000000
1531 29.0000000000
1632 30.0000000000
1733 31.0000000000
1834 37.0000000000
1940 38.0000000000
2041 39.0000000000
2142 42.0000000000
2245 43.0000000000
2346 47.0000000000
2450 50.0000000000
2553 51.0000000000
2654 52.0000000000
2755 55.0000000000
2858 61.0000000000
2964 63.0000000000
3066 64.0000000000
3167 65.0000000000
3268 67.0000000000
3370 68.0000000000
3471 69.0000000000
3572 71.0000000000
3674 72.0000000000
3775 73.0000000000
3876 75.0000000000
3978 77.0000000000
4080 78.0000000000
4181 79.0000000000
4282 81.0000000000
4384 83.0000000000
4486 86.0000000000
4589 87.0000000000
4690 88.0000000000
4791 90.0000000000
4893 92.0000000000
4995 94.0000000000
5097 95.0000000000
5198 97.0000000000
5300 98.0000000000
5401 99.0000000000
5502 100.0000000000
100000 65.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
105 3.0000000000
206 4.0000000000
307 8.0000000000
411 9.0000000000
512 10.0000000000
613 12.0000000000
715 13.0000000000
816 15.0000000000
918 16.0000000000
1019 17.0000000000
1120 18.0000000000
1221 19.0000000000
1322 20.0000000000
1423 21.0000000000
1524 26.0000000000
1629 27.0000000000
1730 28.0000000000
1831 29.0000000000
1932 30.0000000000
2033 31.0000000000
2134 33.0000000000
2236 35.0000000000
2338 37.0000000000
2440 38.0000000000
2541 40.0000000000
2643 41.0000000000
2744 42.0000000000
2845 43.0000000000
2946 44.0000000000
3047 47.0000000000
3150 48.0000000000
3251 49.0000000000
3352 50.0000000000
3453 51.0000000000
3554 63.0000000000
3666 67.0000000000
3770 72.0000000000
3875 73.0000000000
3976 77.0000000000
4080 79.0000000000
