evaluations raw_y
1 1.0283833813
64 1.0343400910
104 1.0651896037
105 1.0761945760
106 1.1753643630
131 1.1842728565
182 1.1956001913
204 1.2106537530
205 1.2518778167
206 1.3376136972
226 1.3550135501
268 1.3974287311
305 1.4543339151
306 1.5365703749
315 1.5518311608
321 1.5634771732
331 1.6414970453
405 1.7158544955
406 1.7743080199
421 1.8811136193
461 1.8867924528
505 1.9305019305
506 2.0112630732
521 2.1276595745
543 2.1349274125
606 2.2956841139
644 2.3923444976
706 2.5853154085
708 2.5960539979
781 2.7442371021
833 2.8376844495
921 2.8968713789
1009 2.9171528588
1088 3.1210986267
2156 3.1367628607
2207 3.2938076416
2295 3.6179450072
2307 3.8051750381
2410 3.8167938931
2589 4.2158516020
16128 4.2735042735
47607 4.4247787611
47621 4.6554934823
100000 2.7502750275
evaluations raw_y
1 0.8570449092
2 1.1526048870
7 1.1709601874
9 1.2481278083
10 1.2506253127
12 1.2632642749
16 1.2787723785
21 1.2893243940
24 1.3804527885
87 1.3989927252
109 1.5537600994
116 1.5893197711
124 1.6056518947
169 1.6307893020
209 1.7088174983
210 1.7818959373
216 1.7972681524
224 1.8615040953
261 1.9245573518
309 1.9888623707
310 2.1987686895
416 2.3877745941
427 2.4154589372
516 2.6455026455
617 2.8058361392
723 2.8248587571
728 2.9036004646
777 2.9868578256
823 3.0229746070
824 3.0376670717
921 3.0902348578
1026 3.1133250311
1044 3.2258064516
1058 3.4387895461
1151 3.4674063800
1228 3.4965034965
1283 3.6179450072
1330 3.6710719530
1385 3.8759689922
1466 4.0650406504
15603 4.3478260870
15626 4.6554934823
100000 0.9262689885
evaluations raw_y
1 1.4766686356
110 1.5913430936
204 1.6789791807
214 1.7895490336
256 1.8208302986
304 1.8395879323
314 1.9731649566
332 2.0576131687
407 2.1459227468
414 2.1987686895
426 2.3126734505
514 2.4248302619
535 2.4437927664
538 2.4630541872
587 2.5329280648
614 2.6455026455
638 2.7382256298
714 2.7563395810
746 2.8571428571
814 2.8901734104
831 2.9868578256
977 2.9940119760
986 3.1289111389
1077 3.2010243278
1106 3.2594524120
1145 3.4965034965
1206 3.6075036075
1380 3.6179450072
1426 3.6496350365
1598 3.7257824143
1688 3.7593984962
3350 3.9370078740
3412 4.0518638574
3592 4.3478260870
73425 4.4247787611
100000 1.2506253127
evaluations raw_y
1 1.5253203173
304 1.5634771732
319 1.5994881638
326 1.6414970453
368 1.6589250166
403 1.7642907551
419 1.8261504748
464 1.8867924528
503 2.0242914980
534 2.0508613618
556 2.0644095789
561 2.0781379884
585 2.1795989538
603 2.2381378693
611 2.2706630336
619 2.3386342376
634 2.3651844844
661 2.4485798237
703 2.5125628141
719 2.5960539979
724 2.6068821689
734 2.7322404372
803 2.8121484814
824 2.9726516052
905 2.9940119760
1078 3.1685678074
1137 3.2765399738
1229 3.4106412005
3902 3.4770514604
3967 3.5063113604
6656 3.7707390649
17214 3.9123630673
17242 3.9745627981
17334 4.1736227045
40873 4.3630017452
81921 4.4091710758
