evaluations raw_y
1 -0.5208683680
2 -0.5108116218
3 -0.5103407945
5 -0.5090402427
7 -0.4916715515
103 -0.4912007242
105 -0.4899001725
110 -0.4874652069
120 -0.4796939464
203 -0.4792231192
205 -0.4779225674
210 -0.4754876018
222 -0.4728412911
236 -0.4699806895
250 -0.4685481575
303 -0.4680773302
305 -0.4667767785
310 -0.4643418129
322 -0.4616955022
336 -0.4588349006
372 -0.4580137569
383 -0.4575960670
403 -0.4571252398
405 -0.4558246880
410 -0.4533897224
422 -0.4507434117
436 -0.4478828101
472 -0.4470616664
503 -0.4465908392
505 -0.4452902874
510 -0.4435821119
522 -0.4402090111
536 -0.4373484095
603 -0.4368775822
605 -0.4355770305
610 -0.4338688550
622 -0.4304957542
637 -0.4278640528
703 -0.4273932255
705 -0.4260926738
710 -0.4243844982
722 -0.4210113975
770 -0.4200512349
775 -0.4200165409
780 -0.4193500303
805 -0.4175786513
810 -0.4158704758
822 -0.4124973750
870 -0.4115372125
875 -0.4115025185
905 -0.4097311395
910 -0.4080229640
922 -0.4046498632
970 -0.4036897006
1005 -0.4019183216
1010 -0.4002101461
1022 -0.3968370453
1105 -0.3950656663
1110 -0.3933574908
1126 -0.3914462630
1148 -0.3905483469
1205 -0.3887769679
1210 -0.3870687924
1226 -0.3851575645
1305 -0.3833861855
1310 -0.3816780100
1351 -0.3803460331
1357 -0.3798486886
1405 -0.3780773095
1410 -0.3763691340
1451 -0.3750371571
1505 -0.3732657781
1510 -0.3715576026
1563 -0.3709718922
1577 -0.3704277422
1582 -0.3704066750
1605 -0.3686352960
1610 -0.3669271205
1663 -0.3663414101
1677 -0.3657972601
1705 -0.3640258811
1710 -0.3623177055
1763 -0.3617319952
1805 -0.3599606162
1810 -0.3582524407
1876 -0.3581537019
1905 -0.3563823229
1910 -0.3546741474
1993 -0.3546666444
2005 -0.3528952653
2010 -0.3511870898
2105 -0.3494157108
2131 -0.3484843345
2168 -0.3477095985
2205 -0.3459382195
2231 -0.3450068431
2305 -0.3432354641
2308 -0.3406416574
2405 -0.3388702784
2413 -0.3386700063
2461 -0.3382813272
2489 -0.3379875274
2505 -0.3362161484
2513 -0.3360158763
2561 -0.3356271972
2605 -0.3338558182
2613 -0.3336555462
2665 -0.3334253784
2704 -0.3327753909
2705 -0.3316539994
2713 -0.3314537274
2804 -0.3260328963
2905 -0.3242615173
3064 -0.3236449351
3085 -0.3234834258
3095 -0.3230690872
3096 -0.3230312272
3164 -0.3224146449
3185 -0.3222531356
3195 -0.3218387970
3264 -0.3212222148
3285 -0.3210607055
3364 -0.3204441232
7131 -0.3201253693
7207 -0.3196452493
7387 -0.3195881865
10007 -0.3174137656
10111 -0.3166119246
10154 -0.3159397710
