evaluations raw_y
1 45.0000000000
2 48.0000000000
4 54.0000000000
5 57.0000000000
11 62.0000000000
54 63.0000000000
256 66.0000000000
2189 67.0000000000
16327 69.0000000000
100000 60.0000000000
evaluations raw_y
1 43.0000000000
2 50.0000000000
4 54.0000000000
16 55.0000000000
21 60.0000000000
28 63.0000000000
232 64.0000000000
886 65.0000000000
3139 67.0000000000
6533 68.0000000000
60076 69.0000000000
75610 70.0000000000
100000 44.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
4 58.0000000000
5 62.0000000000
193 66.0000000000
1033 67.0000000000
3747 68.0000000000
6456 69.0000000000
9824 70.0000000000
46945 72.0000000000
70967 73.0000000000
100000 48.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
5 63.0000000000
134 67.0000000000
3074 69.0000000000
18683 70.0000000000
29642 71.0000000000
100000 53.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
3 55.0000000000
9 56.0000000000
10 60.0000000000
14 61.0000000000
132 63.0000000000
146 67.0000000000
6309 68.0000000000
37640 71.0000000000
100000 48.0000000000
evaluations raw_y
1 46.0000000000
2 55.0000000000
12 57.0000000000
31 62.0000000000
205 65.0000000000
2348 69.0000000000
8247 70.0000000000
64296 71.0000000000
68130 72.0000000000
100000 51.0000000000
evaluations raw_y
1 41.0000000000
2 52.0000000000
5 54.0000000000
6 58.0000000000
49 60.0000000000
55 63.0000000000
815 64.0000000000
2160 65.0000000000
2671 66.0000000000
3067 67.0000000000
11934 70.0000000000
100000 59.0000000000
evaluations raw_y
1 44.0000000000
2 47.0000000000
4 63.0000000000
392 66.0000000000
1810 67.0000000000
14788 69.0000000000
15917 70.0000000000
86901 72.0000000000
100000 45.0000000000
evaluations raw_y
1 49.0000000000
3 53.0000000000
8 55.0000000000
14 57.0000000000
20 62.0000000000
396 63.0000000000
494 64.0000000000
670 66.0000000000
5303 67.0000000000
6680 68.0000000000
10596 69.0000000000
25371 71.0000000000
100000 47.0000000000
evaluations raw_y
1 51.0000000000
2 58.0000000000
31 59.0000000000
36 60.0000000000
43 64.0000000000
1266 66.0000000000
3929 68.0000000000
5089 70.0000000000
63114 71.0000000000
100000 52.0000000000
