evaluations raw_y
1 0.0000000000
2 3.0000000000
24 4.0000000000
30 5.0000000000
48 7.0000000000
91 9.0000000000
750 13.0000000000
70236 14.0000000000
93710 18.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
5 3.0000000000
7 7.0000000000
216 9.0000000000
3396 11.0000000000
9570 12.0000000000
12049 13.0000000000
17907 14.0000000000
52188 15.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
34 4.0000000000
52 5.0000000000
95 6.0000000000
204 8.0000000000
493 10.0000000000
2984 12.0000000000
15094 13.0000000000
32934 14.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
10 2.0000000000
16 4.0000000000
20 5.0000000000
37 6.0000000000
78 7.0000000000
349 8.0000000000
383 9.0000000000
1420 12.0000000000
1745 13.0000000000
6415 14.0000000000
71813 18.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
18 3.0000000000
56 4.0000000000
68 5.0000000000
137 6.0000000000
365 9.0000000000
3492 11.0000000000
7451 12.0000000000
13895 13.0000000000
19118 14.0000000000
31116 15.0000000000
95308 18.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
42 5.0000000000
61 6.0000000000
82 9.0000000000
1248 12.0000000000
12142 13.0000000000
48862 15.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
6 3.0000000000
14 6.0000000000
74 7.0000000000
137 10.0000000000
1152 12.0000000000
5101 17.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
11 3.0000000000
29 5.0000000000
52 6.0000000000
365 7.0000000000
465 11.0000000000
2870 13.0000000000
17582 14.0000000000
61799 15.0000000000
100000 4.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
25 3.0000000000
43 6.0000000000
488 7.0000000000
740 8.0000000000
1128 10.0000000000
1625 11.0000000000
7429 13.0000000000
44353 14.0000000000
55804 15.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
10 4.0000000000
22 5.0000000000
61 7.0000000000
364 8.0000000000
448 10.0000000000
1712 11.0000000000
3072 12.0000000000
9608 15.0000000000
100000 13.0000000000
