evaluations raw_y
1 57.0000000000
819 58.0000000000
920 59.0000000000
1022 60.0000000000
1124 61.0000000000
1226 62.0000000000
1327 63.0000000000
1428 64.0000000000
1529 65.0000000000
1632 66.0000000000
1733 67.0000000000
1835 68.0000000000
1937 69.0000000000
2040 70.0000000000
2146 71.0000000000
2247 72.0000000000
2349 73.0000000000
2451 74.0000000000
2552 75.0000000000
2654 76.0000000000
2755 77.0000000000
2857 78.0000000000
2959 79.0000000000
3063 80.0000000000
3164 81.0000000000
3267 82.0000000000
3368 83.0000000000
3469 84.0000000000
3571 85.0000000000
3672 86.0000000000
3775 87.0000000000
3876 88.0000000000
3977 89.0000000000
4078 90.0000000000
4179 91.0000000000
4281 92.0000000000
4383 93.0000000000
4487 94.0000000000
4593 95.0000000000
4694 96.0000000000
4796 97.0000000000
4899 98.0000000000
5001 99.0000000000
5102 100.0000000000
100000 61.0000000000
evaluations raw_y
1 45.0000000000
411 46.0000000000
515 47.0000000000
616 48.0000000000
718 49.0000000000
819 50.0000000000
920 51.0000000000
1025 52.0000000000
1126 53.0000000000
1227 54.0000000000
1330 55.0000000000
1433 56.0000000000
1534 57.0000000000
1636 58.0000000000
1738 59.0000000000
1842 60.0000000000
1946 61.0000000000
2047 62.0000000000
2148 63.0000000000
2249 64.0000000000
2350 65.0000000000
2452 66.0000000000
2555 67.0000000000
2656 68.0000000000
2757 69.0000000000
2858 70.0000000000
2959 71.0000000000
3061 72.0000000000
3163 73.0000000000
3264 74.0000000000
3365 75.0000000000
3467 76.0000000000
3568 77.0000000000
3669 78.0000000000
3770 79.0000000000
3871 80.0000000000
3972 81.0000000000
4075 82.0000000000
4176 83.0000000000
4277 84.0000000000
4379 85.0000000000
4480 86.0000000000
4581 87.0000000000
4682 88.0000000000
4784 89.0000000000
4885 90.0000000000
4986 91.0000000000
5087 92.0000000000
5188 93.0000000000
5289 94.0000000000
5390 95.0000000000
5493 96.0000000000
5594 97.0000000000
5695 98.0000000000
5799 99.0000000000
5900 100.0000000000
100000 73.0000000000
evaluations raw_y
1 54.0000000000
716 55.0000000000
817 56.0000000000
920 57.0000000000
1021 58.0000000000
1122 59.0000000000
1223 60.0000000000
1324 61.0000000000
1425 62.0000000000
1527 63.0000000000
1629 64.0000000000
1731 65.0000000000
1839 66.0000000000
1940 67.0000000000
2041 68.0000000000
2142 69.0000000000
2244 70.0000000000
2349 71.0000000000
2450 72.0000000000
2551 73.0000000000
2652 74.0000000000
2753 75.0000000000
2854 76.0000000000
2955 77.0000000000
3056 78.0000000000
3161 79.0000000000
3262 80.0000000000
3363 81.0000000000
3464 82.0000000000
3565 83.0000000000
3666 84.0000000000
3767 85.0000000000
3869 86.0000000000
3974 87.0000000000
4075 88.0000000000
4177 89.0000000000
4278 90.0000000000
4381 91.0000000000
4484 92.0000000000
4585 93.0000000000
4686 94.0000000000
4787 95.0000000000
4894 96.0000000000
4998 97.0000000000
5099 98.0000000000
5201 99.0000000000
5302 100.0000000000
100000 98.0000000000
evaluations raw_y
1 52.0000000000
1017 53.0000000000
1119 54.0000000000
1221 55.0000000000
1322 56.0000000000
1424 57.0000000000
1525 58.0000000000
1627 59.0000000000
1728 60.0000000000
1829 61.0000000000
1931 62.0000000000
2034 63.0000000000
2138 64.0000000000
2239 65.0000000000
2341 66.0000000000
2444 67.0000000000
2545 68.0000000000
2646 69.0000000000
2747 70.0000000000
2848 71.0000000000
2949 72.0000000000
3051 73.0000000000
3153 74.0000000000
3254 75.0000000000
3356 76.0000000000
3459 77.0000000000
3561 78.0000000000
3665 79.0000000000
3766 80.0000000000
3867 81.0000000000
3970 82.0000000000
4071 83.0000000000
4173 84.0000000000
4275 85.0000000000
4376 86.0000000000
4478 87.0000000000
4579 88.0000000000
4680 89.0000000000
4781 90.0000000000
4884 91.0000000000
4988 92.0000000000
5091 93.0000000000
5194 94.0000000000
5296 95.0000000000
5397 96.0000000000
5498 97.0000000000
5600 98.0000000000
5701 99.0000000000
5802 100.0000000000
100000 90.0000000000
evaluations raw_y
1 56.0000000000
820 57.0000000000
921 58.0000000000
1022 59.0000000000
1123 60.0000000000
1224 61.0000000000
