evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
106 5.0000000000
208 11.0000000000
314 14.0000000000
417 15.0000000000
518 16.0000000000
619 17.0000000000
720 18.0000000000
821 19.0000000000
922 21.0000000000
1024 23.0000000000
1126 26.0000000000
1229 28.0000000000
1331 29.0000000000
1432 34.0000000000
1537 35.0000000000
1638 36.0000000000
1739 38.0000000000
1841 44.0000000000
1947 45.0000000000
2048 47.0000000000
2150 49.0000000000
2252 50.0000000000
2353 53.0000000000
2456 57.0000000000
2560 59.0000000000
2662 61.0000000000
2764 62.0000000000
2865 67.0000000000
2970 69.0000000000
3072 70.0000000000
3173 71.0000000000
3274 73.0000000000
3376 74.0000000000
3477 76.0000000000
3579 78.0000000000
3681 80.0000000000
3783 81.0000000000
3884 82.0000000000
3985 84.0000000000
4087 85.0000000000
4188 86.0000000000
4289 87.0000000000
4390 88.0000000000
4491 89.0000000000
4592 90.0000000000
4693 92.0000000000
4795 93.0000000000
4896 94.0000000000
4997 95.0000000000
5098 100.0000000000
100000 53.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
5 3.0000000000
106 8.0000000000
211 12.0000000000
315 13.0000000000
416 15.0000000000
518 16.0000000000
619 19.0000000000
722 20.0000000000
823 21.0000000000
924 22.0000000000
1025 25.0000000000
1128 27.0000000000
1230 28.0000000000
1331 30.0000000000
1433 33.0000000000
1536 36.0000000000
1639 39.0000000000
1742 40.0000000000
1843 41.0000000000
1944 46.0000000000
2049 47.0000000000
2150 48.0000000000
2251 49.0000000000
2352 50.0000000000
2453 53.0000000000
2556 54.0000000000
2657 58.0000000000
2761 62.0000000000
2865 64.0000000000
2967 65.0000000000
3068 67.0000000000
3170 68.0000000000
3271 69.0000000000
3372 70.0000000000
3473 72.0000000000
3575 78.0000000000
3681 83.0000000000
3786 84.0000000000
3887 88.0000000000
3991 93.0000000000
4096 94.0000000000
4197 96.0000000000
4299 97.0000000000
4400 99.0000000000
4502 100.0000000000
100000 69.0000000000
evaluations raw_y
1 3.0000000000
105 5.0000000000
208 6.0000000000
309 7.0000000000
410 8.0000000000
511 9.0000000000
612 10.0000000000
713 11.0000000000
814 12.0000000000
915 13.0000000000
1016 14.0000000000
1117 15.0000000000
1218 17.0000000000
1320 18.0000000000
1421 19.0000000000
1522 22.0000000000
1625 23.0000000000
1726 27.0000000000
1830 29.0000000000
1932 37.0000000000
2040 38.0000000000
2141 39.0000000000
2242 43.0000000000
2346 44.0000000000
2447 48.0000000000
2551 50.0000000000
2653 51.0000000000
2754 52.0000000000
2855 53.0000000000
2956 57.0000000000
3060 58.0000000000
3161 59.0000000000
3262 62.0000000000
3365 63.0000000000
3466 64.0000000000
3567 66.0000000000
3669 67.0000000000
3770 74.0000000000
3877 76.0000000000
3979 78.0000000000
4081 79.0000000000
4182 81.0000000000
4284 82.0000000000
4385 83.0000000000
4486 86.0000000000
4589 88.0000000000
4691 92.0000000000
4795 93.0000000000
