evaluations raw_y
1 50.0000000000
2 52.0000000000
4 53.0000000000
105 54.0000000000
206 55.0000000000
307 56.0000000000
408 57.0000000000
509 58.0000000000
610 59.0000000000
713 60.0000000000
815 61.0000000000
918 62.0000000000
1020 63.0000000000
1124 64.0000000000
1225 65.0000000000
1327 66.0000000000
1428 67.0000000000
1531 68.0000000000
1633 69.0000000000
1734 70.0000000000
1835 71.0000000000
1938 72.0000000000
2041 73.0000000000
2143 74.0000000000
2244 75.0000000000
2345 76.0000000000
2447 77.0000000000
2548 78.0000000000
2649 79.0000000000
2750 80.0000000000
2852 81.0000000000
2954 82.0000000000
3055 83.0000000000
3157 84.0000000000
3259 85.0000000000
3363 86.0000000000
3466 87.0000000000
3572 88.0000000000
3674 89.0000000000
3775 90.0000000000
3879 91.0000000000
3980 92.0000000000
4083 93.0000000000
4185 94.0000000000
4290 95.0000000000
4394 96.0000000000
4495 97.0000000000
4596 98.0000000000
4697 99.0000000000
4802 100.0000000000
100000 42.0000000000
evaluations raw_y
1 51.0000000000
308 52.0000000000
409 53.0000000000
510 54.0000000000
613 55.0000000000
716 56.0000000000
820 57.0000000000
923 58.0000000000
1025 59.0000000000
1127 60.0000000000
1228 61.0000000000
1331 62.0000000000
1432 63.0000000000
1533 64.0000000000
1635 65.0000000000
1736 66.0000000000
1837 67.0000000000
1938 68.0000000000
2040 69.0000000000
2141 70.0000000000
2243 71.0000000000
2344 72.0000000000
2447 73.0000000000
2548 74.0000000000
2649 75.0000000000
2750 76.0000000000
2851 77.0000000000
2952 78.0000000000
3054 79.0000000000
3155 80.0000000000
3256 81.0000000000
3357 82.0000000000
3461 83.0000000000
3563 84.0000000000
3664 85.0000000000
3766 86.0000000000
3867 87.0000000000
3970 88.0000000000
4073 89.0000000000
4177 90.0000000000
4282 91.0000000000
4383 92.0000000000
4485 93.0000000000
4586 94.0000000000
4687 95.0000000000
4788 96.0000000000
4891 97.0000000000
4994 98.0000000000
5098 99.0000000000
5200 100.0000000000
100000 38.0000000000
evaluations raw_y
1 47.0000000000
106 48.0000000000
207 49.0000000000
308 50.0000000000
409 51.0000000000
512 52.0000000000
613 53.0000000000
715 54.0000000000
816 55.0000000000
917 56.0000000000
1019 57.0000000000
1120 58.0000000000
1221 59.0000000000
1323 60.0000000000
1426 61.0000000000
1528 62.0000000000
1631 63.0000000000
1735 64.0000000000
1836 65.0000000000
1937 66.0000000000
2038 67.0000000000
2139 68.0000000000
2242 69.0000000000
2343 70.0000000000
2444 71.0000000000
2548 72.0000000000
2652 73.0000000000
2756 74.0000000000
2859 75.0000000000
2960 76.0000000000
3063 77.0000000000
3166 78.0000000000
3267 79.0000000000
3368 80.0000000000
3469 81.0000000000
3570 82.0000000000
3671 83.0000000000
3775 84.0000000000
3877 85.0000000000
3979 86.0000000000
4080 87.0000000000
4182 88.0000000000
4283 89.0000000000
4384 90.0000000000
4485 91.0000000000
4589 92.0000000000
4690 93.0000000000
4791 94.0000000000
4893 95.0000000000
4995 96.0000000000
5097 97.0000000000
5198 98.0000000000
5301 99.0000000000
5402 100.0000000000
100000 36.0000000000
evaluations raw_y
1 51.0000000000
2 63.0000000000
5 64.0000000000
106 65.0000000000
207 66.0000000000
310 67.0000000000
411 68.0000000000
514 69.0000000000
617 70.0000000000
719 71.0000000000
820 72.0000000000
930 73.0000000000
1033 74.0000000000
1135 75.0000000000
1239 76.0000000000
1342 77.0000000000
1448 78.0000000000
1556 79.0000000000
1659 80.0000000000
1760 81.0000000000
1862 82.0000000000
1968 83.0000000000
2069 84.0000000000
2171 85.0000000000
2273 86.0000000000
2376 87.0000000000
2478 88.0000000000
2579 89.0000000000
2680 90.0000000000
2781 91.0000000000
2882 92.0000000000
2984 93.0000000000
3091 94.0000000000
3193 95.0000000000
3295 96.0000000000
3396 97.0000000000
3497 98.0000000000
3600 99.0000000000
3702 100.0000000000
100000 53.0000000000
evaluations raw_y
1 48.0000000000
2 51.0000000000
3 52.0000000000
107 53.0000000000
208 54.0000000000
311 55.0000000000
415 56.0000000000
516 57.0000000000
618 58.0000000000
720 59.0000000000
822 60.0000000000
924 61.0000000000
1029 62.0000000000
1130 63.0000000000
1231 64.0000000000
1332 65.0000000000
1434 66.0000000000
1535 67.0000000000
1636 68.0000000000
1737 69.0000000000
1839 70.0000000000
1940 71.0000000000
2041 72.0000000000
2142 73.0000000000
2243 74.0000000000
2347 75.0000000000
2451 76.0000000000
2553 77.0000000000
2654 78.0000000000
2755 79.0000000000
2857 80.0000000000
2959 81.0000000000
3060 82.0000000000
3162 83.0000000000
3263 84.0000000000
3368 85.0000000000
3471 86.0000000000
3572 87.0000000000
3673 88.0000000000
3774 89.0000000000
3876 90.0000000000
3977 91.0000000000
4081 92.0000000000
4184 93.0000000000
4287 94.0000000000
4388 95.0000000000
4492 96.0000000000
4595 97.0000000000
4697 98.0000000000
4800 99.0000000000
4901 100.0000000000
100000 41.0000000000
evaluations raw_y
1 57.0000000000
1430 58.0000000000
1531 59.0000000000
1633 60.0000000000
1736 61.0000000000
1837 62.0000000000
1938 63.0000000000
2039 64.0000000000
2141 65.0000000000
2245 66.0000000000
2346 67.0000000000
2447 68.0000000000
2548 69.0000000000
2649 70.0000000000
2750 71.0000000000
2852 72.0000000000
2953 73.0000000000
3056 74.0000000000
3157 75.0000000000
3258 76.0000000000
3359 77.0000000000
3462 78.0000000000
3563 79.0000000000
3664 80.0000000000
3766 81.0000000000
3867 82.0000000000
3968 83.0000000000
4069 84.0000000000
4171 85.0000000000
4272 86.0000000000
4374 87.0000000000
4475 88.0000000000
4577 89.0000000000
4678 90.0000000000
4780 91.0000000000
4881 92.0000000000
4982 93.0000000000
5083 94.0000000000
5186 95.0000000000
5287 96.0000000000
5390 97.0000000000
5492 98.0000000000
5598 99.0000000000
5702 100.0000000000
100000 33.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
106 51.0000000000
210 52.0000000000
313 53.0000000000
414 54.0000000000
516 55.0000000000
617 56.0000000000
719 57.0000000000
820 58.0000000000
921 59.0000000000
1022 60.0000000000
1123 61.0000000000
1224 62.0000000000
1325 63.0000000000
1426 64.0000000000
1528 65.0000000000
1629 66.0000000000
1732 67.0000000000
1833 68.0000000000
1934 69.0000000000
2035 70.0000000000
2136 71.0000000000
2239 72.0000000000
2341 73.0000000000
2443 74.0000000000
2550 75.0000000000
2654 76.0000000000
2755 77.0000000000
2859 78.0000000000
2961 79.0000000000
3062 80.0000000000
3164 81.0000000000
3266 82.0000000000
3367 83.0000000000
3469 84.0000000000
3571 85.0000000000
3672 86.0000000000
3778 87.0000000000
3879 88.0000000000
3981 89.0000000000
4083 90.0000000000
4184 91.0000000000
4285 92.0000000000
4388 93.0000000000
4491 94.0000000000
4592 95.0000000000
4693 96.0000000000
4794 97.0000000000
4898 98.0000000000
4999 99.0000000000
5101 100.0000000000
100000 39.0000000000
evaluations raw_y
1 50.0000000000
2 56.0000000000
6 57.0000000000
109 58.0000000000
210 59.0000000000
312 60.0000000000
418 61.0000000000
522 62.0000000000
623 63.0000000000
725 64.0000000000
827 65.0000000000
928 66.0000000000
1029 67.0000000000
1132 68.0000000000
1233 69.0000000000
1336 70.0000000000
1438 71.0000000000
1542 72.0000000000
1643 73.0000000000
1745 74.0000000000
1849 75.0000000000
1950 76.0000000000
2051 77.0000000000
2155 78.0000000000
2260 79.0000000000
2361 80.0000000000
2463 81.0000000000
2566 82.0000000000
2669 83.0000000000
2770 84.0000000000
2873 85.0000000000
2974 86.0000000000
3076 87.0000000000
3182 88.0000000000
3284 89.0000000000
3386 90.0000000000
3489 91.0000000000
3590 92.0000000000
3693 93.0000000000
3795 94.0000000000
3897 95.0000000000
3998 96.0000000000
4099 97.0000000000
4200 98.0000000000
4301 99.0000000000
4402 100.0000000000
100000 46.0000000000
evaluations raw_y
1 56.0000000000
1026 57.0000000000
1128 58.0000000000
1231 59.0000000000
1332 60.0000000000
1433 61.0000000000
1534 62.0000000000
1637 63.0000000000
1738 64.0000000000
1840 65.0000000000
1945 66.0000000000
2047 67.0000000000
2148 68.0000000000
2250 69.0000000000
2351 70.0000000000
2452 71.0000000000
2553 72.0000000000
2655 73.0000000000
2757 74.0000000000
2858 75.0000000000
2960 76.0000000000
3061 77.0000000000
3162 78.0000000000
3263 79.0000000000
3365 80.0000000000
3467 81.0000000000
3568 82.0000000000
3671 83.0000000000
3774 84.0000000000
3875 85.0000000000
3976 86.0000000000
4077 87.0000000000
4180 88.0000000000
4281 89.0000000000
4382 90.0000000000
4483 91.0000000000
4585 92.0000000000
4686 93.0000000000
4787 94.0000000000
4893 95.0000000000
4995 96.0000000000
5096 97.0000000000
5199 98.0000000000
5300 99.0000000000
5402 100.0000000000
100000 36.0000000000
evaluations raw_y
1 51.0000000000
3 52.0000000000
105 53.0000000000
207 54.0000000000
311 55.0000000000
415 56.0000000000
516 57.0000000000
617 58.0000000000
718 59.0000000000
819 60.0000000000
920 61.0000000000
1021 62.0000000000
1122 63.0000000000
1224 64.0000000000
1327 65.0000000000
1431 66.0000000000
1532 67.0000000000
1634 68.0000000000
1735 69.0000000000
1836 70.0000000000
1939 71.0000000000
2041 72.0000000000
2142 73.0000000000
2244 74.0000000000
2345 75.0000000000
2447 76.0000000000
2548 77.0000000000
2649 78.0000000000
2752 79.0000000000
2853 80.0000000000
2957 81.0000000000
3059 82.0000000000
3160 83.0000000000
3261 84.0000000000
3366 85.0000000000
3469 86.0000000000
3570 87.0000000000
3671 88.0000000000
3774 89.0000000000
3875 90.0000000000
3976 91.0000000000
4077 92.0000000000
4181 93.0000000000
4283 94.0000000000
4389 95.0000000000
4494 96.0000000000
4595 97.0000000000
4698 98.0000000000
4799 99.0000000000
4902 100.0000000000
100000 41.0000000000
