evaluations raw_y
1 0.0000000000
3 1.0000000000
104 2.0000000000
205 3.0000000000
306 4.0000000000
407 5.0000000000
508 6.0000000000
609 7.0000000000
710 8.0000000000
811 11.0000000000
914 13.0000000000
1016 16.0000000000
1119 17.0000000000
1220 20.0000000000
1323 21.0000000000
1424 25.0000000000
1528 26.0000000000
1629 27.0000000000
1730 29.0000000000
1832 31.0000000000
1934 34.0000000000
2037 35.0000000000
2138 36.0000000000
2239 38.0000000000
2341 39.0000000000
2442 42.0000000000
2545 43.0000000000
2646 45.0000000000
2748 46.0000000000
2849 52.0000000000
2955 54.0000000000
3057 56.0000000000
3159 57.0000000000
3260 58.0000000000
3361 59.0000000000
3462 60.0000000000
3563 61.0000000000
3664 62.0000000000
3765 63.0000000000
3866 66.0000000000
3969 67.0000000000
4070 69.0000000000
4172 70.0000000000
4273 74.0000000000
4377 76.0000000000
4479 77.0000000000
4580 78.0000000000
4681 80.0000000000
4783 81.0000000000
4884 82.0000000000
4985 84.0000000000
5087 86.0000000000
5189 88.0000000000
5291 89.0000000000
5392 90.0000000000
5493 91.0000000000
5594 92.0000000000
5695 95.0000000000
5798 97.0000000000
5900 100.0000000000
100000 30.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 3.0000000000
106 4.0000000000
207 5.0000000000
308 9.0000000000
412 11.0000000000
514 13.0000000000
616 18.0000000000
721 19.0000000000
822 21.0000000000
924 22.0000000000
1025 23.0000000000
1126 28.0000000000
1231 30.0000000000
1333 33.0000000000
1436 34.0000000000
1537 35.0000000000
1638 36.0000000000
1739 37.0000000000
1840 38.0000000000
1941 40.0000000000
2043 43.0000000000
2146 49.0000000000
2252 50.0000000000
2353 51.0000000000
2454 52.0000000000
2555 53.0000000000
2656 54.0000000000
2757 56.0000000000
2859 59.0000000000
2962 60.0000000000
3063 61.0000000000
3164 62.0000000000
3265 63.0000000000
3366 64.0000000000
3467 65.0000000000
3568 67.0000000000
3670 68.0000000000
3771 69.0000000000
3872 70.0000000000
3973 75.0000000000
4078 76.0000000000
4179 79.0000000000
4282 82.0000000000
4385 84.0000000000
4487 85.0000000000
4588 89.0000000000
4692 91.0000000000
4794 93.0000000000
4896 94.0000000000
4997 95.0000000000
5098 100.0000000000
100000 38.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
105 8.0000000000
211 9.0000000000
312 10.0000000000
413 12.0000000000
515 13.0000000000
616 14.0000000000
717 15.0000000000
818 16.0000000000
919 17.0000000000
1020 20.0000000000
1123 24.0000000000
1227 26.0000000000
1329 28.0000000000
1431 31.0000000000
1534 32.0000000000
1635 35.0000000000
1738 37.0000000000
1840 38.0000000000
1941 39.0000000000
2042 40.0000000000
2143 42.0000000000
2245 43.0000000000
2346 46.0000000000
2449 47.0000000000
2550 48.0000000000
2651 49.0000000000
2752 50.0000000000
2853 51.0000000000
2954 54.0000000000
3057 55.0000000000
3158 57.0000000000
3260 58.0000000000
3361 60.0000000000
3463 61.0000000000
3564 63.0000000000
3666 64.0000000000
3767 65.0000000000
3868 66.0000000000
3969 67.0000000000
4070 68.0000000000
4171 72.0000000000
4275 73.0000000000
4376 76.0000000000
4479 77.0000000000
4580 80.0000000000
4683 83.0000000000
4786 84.0000000000
4887 87.0000000000
4990 88.0000000000
5091 91.0000000000
5194 93.0000000000
5296 94.0000000000
5397 95.0000000000
5498 96.0000000000
5599 98.0000000000
5701 100.0000000000
100000 32.0000000000
evaluations raw_y
1 3.0000000000
104 5.0000000000
208 8.0000000000
311 10.0000000000
413 13.0000000000
516 16.0000000000
619 18.0000000000
721 21.0000000000
824 23.0000000000
926 27.0000000000
1030 28.0000000000
1131 30.0000000000
1233 32.0000000000
1335 33.0000000000
1436 35.0000000000
1538 37.0000000000
1640 38.0000000000
1741 39.0000000000
1842 40.0000000000
1943 42.0000000000
2045 44.0000000000
2147 45.0000000000
2248 49.0000000000
2352 51.0000000000
2454 52.0000000000
2555 53.0000000000
2656 54.0000000000
2757 57.0000000000
2860 58.0000000000
2961 62.0000000000
3065 63.0000000000
3166 67.0000000000
3270 68.0000000000
3371 69.0000000000
3472 70.0000000000
3573 71.0000000000
3674 72.0000000000
3775 74.0000000000
3877 76.0000000000
3979 77.0000000000
4080 78.0000000000
4181 79.0000000000
4282 80.0000000000
4383 81.0000000000
4484 82.0000000000
4585 84.0000000000
4687 87.0000000000
4790 88.0000000000
4891 89.0000000000
4992 90.0000000000
5093 91.0000000000
5194 92.0000000000
5295 94.0000000000
5397 95.0000000000
5498 96.0000000000
5599 98.0000000000
5701 99.0000000000
5802 100.0000000000
100000 31.0000000000
evaluations raw_y
1 1.0000000000
4 3.0000000000
106 8.0000000000
211 9.0000000000
312 10.0000000000
413 12.0000000000
515 15.0000000000
618 17.0000000000
720 22.0000000000
825 24.0000000000
927 25.0000000000
1028 27.0000000000
1130 28.0000000000
1231 29.0000000000
1332 30.0000000000
1433 31.0000000000
1534 32.0000000000
1635 33.0000000000
1736 34.0000000000
1837 35.0000000000
1938 40.0000000000
2043 41.0000000000
2144 43.0000000000
