evaluations raw_y
1 45.0000000000
3 55.0000000000
76 56.0000000000
105 62.0000000000
568 63.0000000000
2435 64.0000000000
4561 68.0000000000
11678 69.0000000000
137039 71.0000000000
701711 72.0000000000
1353784 73.0000000000
1496254 51.0000000000
evaluations raw_y
1 56.0000000000
75 57.0000000000
150 59.0000000000
166 60.0000000000
178 61.0000000000
510 63.0000000000
1557 64.0000000000
2072 66.0000000000
2088 67.0000000000
22881 70.0000000000
47995 72.0000000000
1496104 43.0000000000
evaluations raw_y
1 50.0000000000
3 57.0000000000
4 58.0000000000
46 60.0000000000
336 62.0000000000
1025 63.0000000000
1040 66.0000000000
5758 67.0000000000
29403 68.0000000000
56767 71.0000000000
1067361 72.0000000000
1496235 45.0000000000
evaluations raw_y
1 63.0000000000
1728 65.0000000000
2463 66.0000000000
2479 67.0000000000
2491 68.0000000000
96347 70.0000000000
453721 71.0000000000
1372049 72.0000000000
1496131 40.0000000000
evaluations raw_y
1 57.0000000000
2 58.0000000000
4 62.0000000000
217 63.0000000000
232 65.0000000000
262 66.0000000000
310 70.0000000000
173509 71.0000000000
173539 72.0000000000
173558 73.0000000000
1496156 40.0000000000
evaluations raw_y
1 51.0000000000
3 52.0000000000
4 60.0000000000
87 64.0000000000
105 70.0000000000
548978 71.0000000000
877735 72.0000000000
1496131 50.0000000000
evaluations raw_y
1 43.0000000000
2 54.0000000000
38 60.0000000000
55 66.0000000000
13423 67.0000000000
17632 68.0000000000
41770 69.0000000000
107501 72.0000000000
1496109 53.0000000000
evaluations raw_y
1 58.0000000000
168 59.0000000000
461 60.0000000000
635 62.0000000000
1270 63.0000000000
2969 64.0000000000
3584 65.0000000000
5611 67.0000000000
28820 68.0000000000
110598 69.0000000000
396269 70.0000000000
747987 71.0000000000
1072838 72.0000000000
1496283 50.0000000000
evaluations raw_y
1 56.0000000000
26 59.0000000000
476 63.0000000000
815 66.0000000000
3299 67.0000000000
18694 69.0000000000
18724 70.0000000000
197388 71.0000000000
1496407 49.0000000000
evaluations raw_y
1 52.0000000000
10 53.0000000000
17 54.0000000000
28 55.0000000000
105 59.0000000000
123 60.0000000000
355 65.0000000000
2094 66.0000000000
23723 68.0000000000
42037 71.0000000000
851400 75.0000000000
1496790 56.0000000000
