evaluations raw_y
1 1.6778523490
9 1.9025875190
201 1.9747235387
339 2.0259319287
449 2.2281639929
1419 2.8344671202
1576 3.1806615776
98855 3.3156498674
125000 1.4450867052
evaluations raw_y
1 1.3572204126
14 1.4863258026
18 1.7146776406
62 1.7531556802
83 1.7934002869
93 2.0798668885
184 2.2281639929
730 2.4366471735
3040 3.1806615776
68397 3.3875338753
125000 1.1230907457
evaluations raw_y
1 0.9349289454
2 1.2291052114
5 1.4318442153
7 1.6254876463
95 1.7730496454
116 2.1968365554
235 2.2603978300
456 2.3277467412
815 2.4366471735
1659 2.4752475248
2097 2.8344671202
15370 3.1806615776
125000 1.0548523207
evaluations raw_y
1 1.0841283608
2 1.4450867052
11 1.6778523490
34 1.7146776406
35 2.1079258010
79 2.5150905433
945 2.5562372188
1657 2.9976019185
47594 3.5410764873
125000 0.6702412869
evaluations raw_y
1 1.0339123242
4 1.2100677638
5 1.3691128149
8 1.6087516088
28 1.6778523490
33 1.7531556802
56 1.8355359765
72 2.0798668885
236 2.1663778163
500 2.3992322457
4871 2.5987525988
16850 2.7352297593
45003 2.7839643653
54687 2.9411764706
65529 3.3156498674
125000 0.3471257984
evaluations raw_y
1 1.2291052114
4 1.2388503469
5 1.3812154696
9 1.7337031900
59 1.9500780031
212 2.0259319287
279 2.4366471735
1316 2.4752475248
3740 2.5987525988
20194 2.7839643653
41099 2.8344671202
42036 2.9976019185
62396 3.1806615776
125000 1.1478420569
evaluations raw_y
1 0.7692307692
2 1.0620220901
3 1.3812154696
5 1.8573551263
18 2.2603978300
272 2.5150905433
6186 2.5562372188
7474 2.5987525988
18531 2.8344671202
39431 2.9976019185
66275 3.1806615776
125000 0.8090614887
evaluations raw_y
1 0.8305647841
3 1.0917030568
5 1.3812154696
7 1.4188422247
11 1.7337031900
16 1.8355359765
28 1.8796992481
80 2.5150905433
561 2.5562372188
1555 2.7352297593
11077 3.2467532468
55959 3.3875338753
101107 3.4626038781
125000 1.0766580534
evaluations raw_y
1 1.5006002401
3 1.5451174289
5 2.0000000000
34 2.1663778163
552 2.2281639929
2536 2.2935779817
2858 2.8344671202
14054 3.2467532468
125000 1.3572204126
evaluations raw_y
1 0.6589351608
2 1.7146776406
11 1.9500780031
55 2.0525451560
141 2.1968365554
418 2.2935779817
1577 2.3277467412
1774 2.3992322457
4891 2.5987525988
6119 2.7352297593
21634 2.8868360277
91134 2.9411764706
125000 0.6849315068
