evaluations raw_y
1 28.0000000000
15 30.0000000000
16 31.0000000000
21 33.0000000000
36 34.0000000000
638 37.0000000000
1239 38.0000000000
36747 39.0000000000
125000 23.0000000000
evaluations raw_y
1 24.0000000000
2 28.0000000000
7 34.0000000000
578 36.0000000000
1106 37.0000000000
4453 38.0000000000
5957 39.0000000000
125000 31.0000000000
evaluations raw_y
1 27.0000000000
6 31.0000000000
69 35.0000000000
1345 36.0000000000
2564 37.0000000000
9123 40.0000000000
125000 28.0000000000
evaluations raw_y
1 26.0000000000
7 31.0000000000
11 35.0000000000
3764 36.0000000000
6909 38.0000000000
20816 39.0000000000
125000 18.0000000000
evaluations raw_y
1 29.0000000000
4 31.0000000000
5 34.0000000000
1059 38.0000000000
10740 40.0000000000
125000 26.0000000000
evaluations raw_y
1 20.0000000000
2 26.0000000000
4 29.0000000000
24 33.0000000000
57 34.0000000000
271 36.0000000000
1846 37.0000000000
2220 38.0000000000
46709 40.0000000000
58672 41.0000000000
125000 20.0000000000
evaluations raw_y
1 19.0000000000
2 29.0000000000
3 30.0000000000
5 31.0000000000
10 33.0000000000
72 35.0000000000
310 39.0000000000
11507 41.0000000000
125000 23.0000000000
evaluations raw_y
1 27.0000000000
3 29.0000000000
16 31.0000000000
40 32.0000000000
68 33.0000000000
144 34.0000000000
344 37.0000000000
2285 38.0000000000
58117 39.0000000000
125000 22.0000000000
evaluations raw_y
1 27.0000000000
6 30.0000000000
8 31.0000000000
26 32.0000000000
70 33.0000000000
503 35.0000000000
2211 37.0000000000
25462 38.0000000000
26238 39.0000000000
35245 40.0000000000
125000 26.0000000000
evaluations raw_y
1 23.0000000000
2 30.0000000000
28 33.0000000000
39 34.0000000000
201 35.0000000000
1310 36.0000000000
2643 37.0000000000
4200 38.0000000000
46024 39.0000000000
102664 40.0000000000
125000 27.0000000000
