evaluations raw_y
1 0.0000000000
5 1.0000000000
10 2.0000000000
16 5.0000000000
87 6.0000000000
97 7.0000000000
186 8.0000000000
490 13.0000000000
25651 17.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 7.0000000000
10 8.0000000000
30 10.0000000000
5848 12.0000000000
9593 13.0000000000
13919 14.0000000000
23793 15.0000000000
67117 17.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
5 3.0000000000
6 4.0000000000
7 6.0000000000
41 7.0000000000
1223 9.0000000000
3796 12.0000000000
6152 16.0000000000
47088 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
16 8.0000000000
691 13.0000000000
2367 14.0000000000
7453 18.0000000000
125000 2.0000000000
evaluations raw_y
1 1.0000000000
7 4.0000000000
116 5.0000000000
136 6.0000000000
190 8.0000000000
763 9.0000000000
881 10.0000000000
3442 14.0000000000
27246 15.0000000000
125000 2.0000000000
evaluations raw_y
1 1.0000000000
4 3.0000000000
9 4.0000000000
52 5.0000000000
211 6.0000000000
280 9.0000000000
775 10.0000000000
1642 13.0000000000
39371 14.0000000000
63251 15.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 6.0000000000
275 8.0000000000
1510 10.0000000000
2733 12.0000000000
43818 13.0000000000
45960 15.0000000000
115964 16.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 3.0000000000
16 8.0000000000
827 9.0000000000
1048 10.0000000000
3704 12.0000000000
6412 13.0000000000
25263 14.0000000000
83493 16.0000000000
125000 5.0000000000
evaluations raw_y
1 0.0000000000
5 4.0000000000
139 8.0000000000
791 9.0000000000
2119 10.0000000000
3148 11.0000000000
3617 12.0000000000
3879 14.0000000000
54181 18.0000000000
110291 19.0000000000
125000 3.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
11 6.0000000000
152 7.0000000000
274 13.0000000000
34903 16.0000000000
125000 3.0000000000
