evaluations raw_y
1 1.1235955056
2 1.1452130096
7 1.1831519167
8 1.2632642749
19 1.2853470437
20 1.3276686139
21 1.4261266400
22 1.4961101137
23 1.7397355602
27 1.7921146953
29 1.9040365575
31 1.9920318725
40 2.0016012810
42 2.0112630732
53 2.0145044319
66 2.0920502092
77 2.3126734505
96 2.3696682464
117 2.3923444976
135 2.5025025025
143 2.8506271380
148 2.8702640643
154 3.0156815440
169 3.0674846626
202 3.1525851198
258 3.1766200762
335 3.2175032175
356 3.4199726402
404 3.6075036075
100000 3.2258064516
evaluations raw_y
1 1.0044194456
4 1.0780508840
6 1.1921793038
9 1.2632642749
10 1.3376136972
16 1.3683634373
17 1.5576323988
26 1.6118633140
27 1.6265452180
30 1.6812373907
39 1.9394879752
44 2.0781379884
58 2.1240441801
63 2.2502250225
64 2.3041474654
80 2.3696682464
95 2.4201355276
109 2.5125628141
141 2.7502750275
157 2.9239766082
224 2.9308323564
276 2.9515938607
315 3.1685678074
397 3.4199726402
460 3.4867503487
546 3.5971223022
554 3.6496350365
556 3.6603221083
570 3.6710719530
746 3.9123630673
100000 3.1367628607
evaluations raw_y
1 1.3220518244
2 1.4132278123
3 1.4245014245
4 1.4492753623
6 1.5954052329
7 1.6567263088
11 1.6949152542
13 1.7111567420
25 1.7667844523
41 1.8368846436
79 1.8395879323
83 1.8925056775
87 1.9364833462
91 2.1607605877
93 2.1720243267
100 2.2461814915
111 2.2583559169
126 2.4777006938
130 2.6068821689
136 2.6123301985
154 2.6852846402
159 2.6910656620
160 2.8058361392
221 2.9308323564
223 2.9377203290
228 2.9868578256
231 3.0525030525
276 3.0750307503
284 3.1766200762
293 3.3377837116
338 3.3467202142
339 3.5460992908
100000 2.8968713789
evaluations raw_y
1 1.0535187526
4 1.1731581417
5 1.2960082945
6 1.5328019620
9 1.5693659761
15 1.7717930546
17 1.8315018315
20 1.8670649739
23 1.8982536067
24 1.9731649566
31 2.0275750203
32 2.1061499579
36 2.1758050479
41 2.2026431718
59 2.3212627669
60 2.3255813953
109 2.4015369837
120 2.4061597690
122 2.4295432459
123 2.5227043391
134 2.6455026455
145 2.7563395810
154 2.7746947836
186 2.8058361392
207 2.9585798817
220 3.0978934325
229 3.1685678074
230 3.2092426187
248 3.2851511170
250 3.5360678925
260 3.6075036075
261 3.6818851252
284 3.9246467818
100000 2.5960539979
evaluations raw_y
1 1.1462631820
2 1.3000520021
3 1.3881177124
4 1.5105740181
6 1.6436554898
10 1.7421602787
16 1.7946877243
29 1.7972681524
35 1.8642803878
36 2.0112630732
40 2.0678246485
41 2.2026431718
46 2.2624434389
53 2.3169601483
54 2.3651844844
60 2.3786869648
62 2.3923444976
66 2.4533856722
84 2.5278058645
95 2.6178010471
121 2.6455026455
140 2.7932960894
163 2.8636884307
175 2.9103608847
261 2.9726516052
316 3.0826140567
466 3.3377837116
100000 2.7808676307
evaluations raw_y
1 1.0940919037
5 1.1266336187
10 1.1831519167
11 1.2683916794
13 1.4261266400
14 1.4509576320
15 1.6265452180
16 1.7088174983
22 1.7844396859
26 1.8341892883
29 1.9040365575
34 1.9127773527
41 1.9394879752
43 2.0308692120
44 2.0885547201
46 2.1204410517
47 2.2222222222
70 2.2502250225
72 2.2956841139
89 2.4342745862
121 2.4875621891
144 2.5227043391
152 2.5799793602
171 2.8184892897
202 2.8248587571
206 2.8968713789
261 2.9868578256
278 3.0525030525
295 3.1055900621
310 3.1446540881
317 3.2851511170
322 3.4578146611
100000 3.0599755202
evaluations raw_y
1 1.0688328345
2 1.0771219302
5 1.2189176012
8 1.2444001991
9 1.3000520021
10 1.3698630137
13 1.3835085778
17 1.4005602241
19 1.4509576320
24 1.6436554898
26 1.8076644975
35 1.9638648861
42 1.9731649566
43 2.0016012810
45 2.0576131687
46 2.1385799829
48 2.1422450728
49 2.1533161068
51 2.3430178069
61 2.3923444976
63 2.5025025025
66 2.6455026455
78 2.7563395810
83 2.9308323564
111 2.9377203290
137 2.9585798817
