evaluations raw_y
1 -1468.0000000000
3 -1439.0000000000
4 -1400.0000000000
7 -1361.0000000000
10 -1322.0000000000
11 -1283.0000000000
19 -1244.0000000000
22 -1205.0000000000
25 -1166.0000000000
26 -1127.0000000000
27 -1098.0000000000
31 -1059.0000000000
32 -1030.0000000000
39 -991.0000000000
40 -952.0000000000
44 -923.0000000000
53 -884.0000000000
55 -845.0000000000
56 -806.0000000000
59 -767.0000000000
65 -728.0000000000
70 -699.0000000000
71 -660.0000000000
72 -631.0000000000
79 -602.0000000000
82 -563.0000000000
91 -534.0000000000
92 -505.0000000000
94 -466.0000000000
95 -427.0000000000
118 -398.0000000000
122 -359.0000000000
126 -340.0000000000
128 -311.0000000000
130 -272.0000000000
133 -243.0000000000
136 -214.0000000000
137 -195.0000000000
141 -166.0000000000
142 -147.0000000000
146 -128.0000000000
150 -109.0000000000
162 -100.0000000000
199 -71.0000000000
210 -52.0000000000
228 -43.0000000000
237 -42.0000000000
247 -33.0000000000
250 -24.0000000000
252 -15.0000000000
255 -14.0000000000
263 -13.0000000000
265 6.0000000000
271 7.0000000000
278 8.0000000000
286 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1693.0000000000
2 -1654.0000000000
6 -1615.0000000000
7 -1576.0000000000
9 -1537.0000000000
10 -1498.0000000000
11 -1459.0000000000
12 -1420.0000000000
13 -1381.0000000000
18 -1342.0000000000
20 -1303.0000000000
21 -1264.0000000000
25 -1235.0000000000
27 -1196.0000000000
31 -1157.0000000000
41 -1118.0000000000
42 -1079.0000000000
46 -1040.0000000000
48 -1001.0000000000
51 -962.0000000000
53 -923.0000000000
54 -884.0000000000
55 -845.0000000000
60 -816.0000000000
61 -787.0000000000
63 -748.0000000000
69 -709.0000000000
71 -680.0000000000
76 -641.0000000000
77 -602.0000000000
78 -563.0000000000
81 -524.0000000000
83 -495.0000000000
89 -456.0000000000
91 -427.0000000000
92 -418.0000000000
93 -379.0000000000
94 -350.0000000000
113 -321.0000000000
118 -282.0000000000
120 -253.0000000000
126 -234.0000000000
140 -205.0000000000
147 -186.0000000000
150 -157.0000000000
155 -128.0000000000
164 -109.0000000000
167 -100.0000000000
172 -81.0000000000
183 -72.0000000000
191 -53.0000000000
204 -52.0000000000
222 -23.0000000000
244 -14.0000000000
279 -5.0000000000
291 -4.0000000000
293 -3.0000000000
364 6.0000000000
395 7.0000000000
402 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1459.0000000000
3 -1420.0000000000
4 -1381.0000000000
7 -1352.0000000000
9 -1313.0000000000
12 -1274.0000000000
16 -1245.0000000000
17 -1206.0000000000
19 -1167.0000000000
20 -1128.0000000000
23 -1089.0000000000
24 -1050.0000000000
26 -1011.0000000000
