evaluations raw_y
1 1.0000000000
168 2.0000000000
183 3.0000000000
203 5.0000000000
321 9.0000000000
678 10.0000000000
847 12.0000000000
852 13.0000000000
1041 15.0000000000
1067 16.0000000000
1077 18.0000000000
1093 22.0000000000
1124 24.0000000000
1323 27.0000000000
1366 28.0000000000
1375 29.0000000000
1625 31.0000000000
1815 35.0000000000
1817 37.0000000000
1944 38.0000000000
2282 40.0000000000
2301 44.0000000000
2378 45.0000000000
2531 47.0000000000
2550 48.0000000000
2674 50.0000000000
2780 51.0000000000
2787 52.0000000000
2811 53.0000000000
2849 56.0000000000
2879 58.0000000000
2935 60.0000000000
2970 61.0000000000
3111 63.0000000000
3121 66.0000000000
3153 71.0000000000
3269 72.0000000000
3284 73.0000000000
3297 74.0000000000
3345 78.0000000000
3399 82.0000000000
3400 83.0000000000
3404 87.0000000000
3566 92.0000000000
3581 93.0000000000
3791 94.0000000000
3910 95.0000000000
4102 98.0000000000
4115 99.0000000000
4175 100.0000000000
100000 23.0000000000
evaluations raw_y
1 0.0000000000
160 6.0000000000
285 13.0000000000
350 15.0000000000
426 18.0000000000
539 19.0000000000
791 20.0000000000
995 21.0000000000
1105 22.0000000000
1229 23.0000000000
1234 24.0000000000
1333 30.0000000000
1448 31.0000000000
1520 32.0000000000
1562 33.0000000000
1563 34.0000000000
1852 35.0000000000
2239 36.0000000000
2459 37.0000000000
2497 38.0000000000
2586 39.0000000000
2601 40.0000000000
2723 41.0000000000
2846 43.0000000000
3040 44.0000000000
3317 56.0000000000
3320 57.0000000000
3440 59.0000000000
3454 60.0000000000
3460 61.0000000000
3500 62.0000000000
3513 71.0000000000
3648 72.0000000000
3780 73.0000000000
3818 74.0000000000
3890 76.0000000000
3933 78.0000000000
3938 80.0000000000
3997 81.0000000000
4022 82.0000000000
4162 83.0000000000
4222 87.0000000000
4363 89.0000000000
4378 90.0000000000
4481 92.0000000000
4491 93.0000000000
4835 94.0000000000
4876 99.0000000000
4916 100.0000000000
100000 21.0000000000
evaluations raw_y
1 0.0000000000
19 1.0000000000
259 2.0000000000
401 8.0000000000
442 10.0000000000
545 14.0000000000
591 16.0000000000
669 17.0000000000
682 18.0000000000
865 20.0000000000
979 24.0000000000
988 28.0000000000
1038 29.0000000000
1300 31.0000000000
1464 32.0000000000
1635 33.0000000000
1711 34.0000000000
1789 37.0000000000
2063 39.0000000000
2107 43.0000000000
2187 45.0000000000
2225 50.0000000000
2244 54.0000000000
2271 57.0000000000
2287 59.0000000000
2522 66.0000000000
2535 67.0000000000
2687 68.0000000000
2697 69.0000000000
2709 70.0000000000
2736 78.0000000000
2798 79.0000000000
2890 81.0000000000
2918 82.0000000000
2981 88.0000000000
3320 90.0000000000
3420 91.0000000000
3466 92.0000000000
3489 95.0000000000
3515 98.0000000000
3602 99.0000000000
3743 100.0000000000
100000 86.0000000000
evaluations raw_y
1 2.0000000000
164 4.0000000000
294 5.0000000000
347 6.0000000000
553 7.0000000000
577 8.0000000000
607 11.0000000000
709 13.0000000000
804 19.0000000000
902 21.0000000000
959 22.0000000000
1023 23.0000000000
1082 24.0000000000
1116 26.0000000000
1140 27.0000000000
1182 28.0000000000
1216 29.0000000000
1260 31.0000000000
1429 36.0000000000
1454 38.0000000000
1561 40.0000000000
1601 42.0000000000
1743 45.0000000000
2035 46.0000000000
2039 47.0000000000
2174 48.0000000000
2234 49.0000000000
2257 53.0000000000
2305 54.0000000000
2317 55.0000000000
2492 56.0000000000
2526 57.0000000000
2541 58.0000000000
2608 59.0000000000
2785 60.0000000000
2870 62.0000000000
2926 63.0000000000
3062 64.0000000000
3152 65.0000000000
3444 70.0000000000
3576 71.0000000000
3618 72.0000000000
4070 73.0000000000
4072 75.0000000000
4341 77.0000000000
4395 81.0000000000
4493 84.0000000000
4546 85.0000000000
4594 88.0000000000
4709 90.0000000000
4966 91.0000000000
5368 93.0000000000
5439 94.0000000000
5455 95.0000000000
5534 99.0000000000
5539 100.0000000000
100000 54.0000000000
evaluations raw_y
1 0.0000000000
84 3.0000000000
87 4.0000000000
137 6.0000000000
413 7.0000000000
507 8.0000000000
604 9.0000000000
714 11.0000000000
730 12.0000000000
886 15.0000000000
1036 16.0000000000
1073 21.0000000000
1110 24.0000000000
1233 25.0000000000
1290 26.0000000000
1518 27.0000000000
1531 29.0000000000
1532 30.0000000000
1626 31.0000000000
1650 32.0000000000
1705 34.0000000000
1861 38.0000000000
1896 44.0000000000
2139 46.0000000000
2188 47.0000000000
2207 49.0000000000
2244 50.0000000000
2346 51.0000000000
2409 53.0000000000
2505 54.0000000000
2632 55.0000000000
2655 56.0000000000
2794 60.0000000000
2900 61.0000000000
2997 62.0000000000
3263 64.0000000000
3337 65.0000000000
3385 67.0000000000
3396 70.0000000000
3566 71.0000000000
3988 73.0000000000
4001 74.0000000000
4092 75.0000000000
4107 76.0000000000
4229 81.0000000000
4319 87.0000000000
4345 89.0000000000
4418 92.0000000000
4437 93.0000000000
4585 96.0000000000
4693 97.0000000000
4694 98.0000000000
4716 100.0000000000
100000 34.0000000000
evaluations raw_y
1 0.0000000000
48 2.0000000000
193 3.0000000000
279 8.0000000000
397 9.0000000000
491 10.0000000000
587 17.0000000000
712 18.0000000000
789 19.0000000000
1083 20.0000000000
1518 24.0000000000
1531 26.0000000000
1548 28.0000000000
1641 30.0000000000
1781 33.0000000000
1832 34.0000000000
1839 36.0000000000
1872 38.0000000000
1933 39.0000000000
1967 40.0000000000
2037 43.0000000000
2083 44.0000000000
2099 45.0000000000
2321 46.0000000000
2344 48.0000000000
2354 49.0000000000
2393 50.0000000000
2572 52.0000000000
2897 54.0000000000
2977 55.0000000000
3041 56.0000000000
3084 58.0000000000
3122 59.0000000000
3257 60.0000000000
3508 62.0000000000
3653 65.0000000000
3728 68.0000000000
3813 71.0000000000
3841 72.0000000000
4086 74.0000000000
4088 76.0000000000
4106 77.0000000000
4215 79.0000000000
4253 80.0000000000
4266 81.0000000000
4306 85.0000000000
4337 86.0000000000
4356 87.0000000000
4518 89.0000000000
4673 91.0000000000
4703 97.0000000000
4749 100.0000000000
