evaluations raw_y
1 -0.5663825604
3 -0.5585737713
6 -0.5460111947
12 -0.5449640182
13 -0.5377435022
15 -0.5281638528
17 -0.5195304185
27 -0.5157399866
31 -0.5130858565
32 -0.4999857345
40 -0.4936101927
41 -0.4908083318
49 -0.4803725889
53 -0.4800410149
54 -0.4729202631
55 -0.4726403472
58 -0.4676863587
59 -0.4654069103
65 -0.4605319039
73 -0.4552200316
75 -0.4539527706
81 -0.4509597889
84 -0.4445821456
85 -0.4374932392
91 -0.4296804213
102 -0.4223979388
104 -0.4119157552
113 -0.4104102613
123 -0.3954351779
141 -0.3819695689
148 -0.3798470364
160 -0.3795229981
162 -0.3788269473
163 -0.3740535598
165 -0.3723694546
168 -0.3699780995
186 -0.3611888211
206 -0.3594174421
232 -0.3590027967
240 -0.3583418125
241 -0.3565388600
262 -0.3500872287
281 -0.3462025481
288 -0.3407864725
291 -0.3406006728
296 -0.3402588437
313 -0.3311872981
332 -0.3310199708
346 -0.3281377283
363 -0.3255756531
378 -0.3248133554
379 -0.3234891516
424 -0.3199070736
463 -0.3144862425
503 -0.3140854285
537 -0.3128448949
637 -0.3121784185
731 -0.3111694066
786 -0.3099391165
824 -0.3092430656
849 -0.3089114916
869 -0.3082949094
923 -0.3078147893
3152 -0.3059761044
4647 -0.3053472147
16317 -0.3052294071
16657 -0.3046435989
16791 -0.3013854717
17438 -0.2998702114
23675 -0.2985442135
26789 -0.2950664852
100000 -0.3080169067
evaluations raw_y
1 -0.5469627162
6 -0.5405296915
7 -0.5374573624
8 -0.5362168288
12 -0.5237098910
16 -0.5187783924
19 -0.5185122525
25 -0.5172591489
26 -0.5164968511
27 -0.5139283630
30 -0.5110853781
41 -0.5045519750
44 -0.4985064454
45 -0.4966146131
52 -0.4900458350
56 -0.4731014157
57 -0.4714562764
61 -0.4710509834
62 -0.4665370958
67 -0.4596959216
71 -0.4587003780
76 -0.4512577946
86 -0.4506879107
88 -0.4441545075
89 -0.4342362090
93 -0.4338805839
96 -0.4275925316
100 -0.4260361455
115 -0.4230697189
125 -0.4207705527
127 -0.4158988225
137 -0.4145518817
143 -0.4134379697
145 -0.4112796304
150 -0.4024311714
158 -0.4016688737
176 -0.3965104949
179 -0.3942310465
185 -0.3930386164
193 -0.3881937617
200 -0.3820291000
201 -0.3779760189
204 -0.3750316462
215 -0.3747000722
217 -0.3728971198
226 -0.3715660011
231 -0.3692582507
252 -0.3692498656
260 -0.3669919357
290 -0.3668794035
312 -0.3658703917
335 -0.3581911995
348 -0.3528320038
371 -0.3508147312
390 -0.3479699048
409 -0.3436726124
464 -0.3423664938
486 -0.3404954745
531 -0.3392651844
543 -0.3387268994
569 -0.3290064626
579 -0.3285263426
580 -0.3238314150
623 -0.3228025519
699 -0.3225364120
737 -0.3208255165
761 -0.3166191719
922 -0.3147481527
1008 -0.3137471123
1259 -0.3124798514
3371 -0.3104761176
3433 -0.3090021231
7237 -0.3069418542
8160 -0.3042475101
8826 -0.3012992530
14292 -0.2977749609
26853 -0.2971460711
32218 -0.2958200732
100000 -0.2958200732
evaluations raw_y
1 -0.5165446391
3 -0.5138546574
4 -0.5076504987
6 -0.5061716568
7 -0.4942409256
13 -0.4934126140
15 -0.4851017045
18 -0.4702049429
28 -0.4626888791
29 -0.4607690779
31 -0.4588980587
34 -0.4578675691
37 -0.4521499318
46 -0.4475194497
47 -0.4466958267
48 -0.4466874416
55 -0.4458816920
58 -0.4418286109
62 -0.4351556748
64 -0.4302421054
67 -0.4284707264
73 -0.4219454561
75 -0.4144075544
86 -0.4122057356
93 -0.4114647183
96 -0.4083352612
98 -0.4022050588
115 -0.3930796901
117 -0.3811020850
120 -0.3790882786
122 -0.3776142840
124 -0.3696178511
125 -0.3661382965
142 -0.3564178597
151 -0.3546464807
163 -0.3542456667
170 -0.3488226244
176 -0.3434236824
179 -0.3426455909
187 -0.3397022188
223 -0.3384414228
248 -0.3317511085
260 -0.3248125358
284 -0.3240344442
286 -0.3230032166
288 -0.3214816782
290 -0.3179946206
312 -0.3174746257
333 -0.3173482202
348 -0.3149878900
388 -0.3096682542
433 -0.3084379640
540 -0.3035371279
698 -0.3023446978
702 -0.3017748139
39824 -0.3016570063
39924 -0.2988598858
39982 -0.2962978106
73708 -0.2954742123
73754 -0.2928200823
100000 -0.2928200823
evaluations raw_y
1 -0.5042892402
2 -0.4956620343
4 -0.4867828399
7 -0.4817712123
13 -0.4812298803
16 -0.4806599963
17 -0.4759663297
20 -0.4724888383
22 -0.4712585481
23 -0.4702567173
28 -0.4695638659
40 -0.4631163973
50 -0.4549670596
