evaluations raw_y
1 2000.0000000000
6 2037.0000000000
10 2134.0000000000
11 2152.0000000000
12 2278.0000000000
15 2343.0000000000
20 2354.0000000000
21 2375.0000000000
23 2432.0000000000
27 2520.0000000000
28 2580.0000000000
29 2634.0000000000
33 2678.0000000000
34 2689.0000000000
35 2815.0000000000
36 2868.0000000000
38 2917.0000000000
39 2987.0000000000
46 3028.0000000000
48 3090.0000000000
61 3140.0000000000
62 3170.0000000000
63 3182.0000000000
65 3249.0000000000
71 3312.0000000000
76 3395.0000000000
83 3461.0000000000
84 3526.0000000000
85 3547.0000000000
88 3585.0000000000
91 3680.0000000000
100 3695.0000000000
104 3717.0000000000
108 3784.0000000000
130 3829.0000000000
132 3853.0000000000
134 3894.0000000000
151 3973.0000000000
155 3996.0000000000
157 4040.0000000000
173 4083.0000000000
182 4163.0000000000
186 4172.0000000000
193 4212.0000000000
196 4224.0000000000
228 4266.0000000000
229 4292.0000000000
265 4371.0000000000
291 4447.0000000000
295 4455.0000000000
347 4469.0000000000
364 4528.0000000000
365 4535.0000000000
366 4631.0000000000
367 4648.0000000000
392 4653.0000000000
394 4665.0000000000
396 4717.0000000000
397 4759.0000000000
448 4778.0000000000
456 4785.0000000000
469 4848.0000000000
498 4871.0000000000
510 4927.0000000000
598 4939.0000000000
606 4971.0000000000
697 4977.0000000000
772 5030.0000000000
1195 5050.0000000000
100000 4933.0000000000
evaluations raw_y
1 2409.0000000000
3 2477.0000000000
7 2488.0000000000
8 2576.0000000000
11 2619.0000000000
15 2641.0000000000
17 2730.0000000000
19 2766.0000000000
30 2799.0000000000
31 2833.0000000000
34 2849.0000000000
35 2948.0000000000
40 2974.0000000000
42 3003.0000000000
43 3064.0000000000
47 3158.0000000000
52 3248.0000000000
53 3313.0000000000
54 3320.0000000000
57 3337.0000000000
63 3408.0000000000
66 3494.0000000000
74 3521.0000000000
75 3595.0000000000
76 3637.0000000000
79 3667.0000000000
80 3851.0000000000
86 3895.0000000000
90 4036.0000000000
95 4038.0000000000
96 4069.0000000000
100 4117.0000000000
108 4145.0000000000
115 4172.0000000000
128 4213.0000000000
132 4223.0000000000
159 4224.0000000000
160 4236.0000000000
170 4292.0000000000
172 4310.0000000000
173 4368.0000000000
177 4369.0000000000
184 4386.0000000000
228 4450.0000000000
246 4458.0000000000
305 4463.0000000000
360 4489.0000000000
370 4570.0000000000
380 4584.0000000000
384 4672.0000000000
385 4746.0000000000
397 4757.0000000000
408 4787.0000000000
425 4791.0000000000
453 4802.0000000000
486 4804.0000000000
490 4840.0000000000
558 4888.0000000000
