evaluations raw_y
1 0.7381163271
2 0.9208103131
3 0.9916699722
4 1.1399908801
12 1.4005602241
36 1.4392630973
43 1.6812373907
476 1.7743080199
881 1.8155410312
952 1.9215987702
1172 1.9577133908
1775 2.0644095789
20934 2.0885547201
21456 2.1682567216
76992 2.2065313327
85438 2.2956841139
93299 2.4295432459
100000 0.4860976084
evaluations raw_y
1 1.1698642957
3 1.4997000600
92 1.5752993069
165 1.5772870662
166 1.6436554898
181 1.7325017325
296 1.7543859649
690 1.8754688672
1036 2.0112630732
3193 2.0781379884
6322 2.0920502092
9240 2.3474178404
100000 0.8237232290
evaluations raw_y
1 0.7869058861
2 1.0447137484
3 1.2840267078
11 1.3850415512
16 1.4714537964
37 1.4889815366
62 1.5654351910
71 1.7494751575
112 1.7972681524
368 1.9215987702
573 2.0542317173
4235 2.0781379884
9340 2.1872265967
34707 2.4108003857
100000 1.4979029359
evaluations raw_y
1 1.1106175033
2 1.2406947891
5 1.5179113540
32 1.5216068168
77 2.0576131687
11867 2.1276595745
49082 2.1607605877
52106 2.2502250225
83954 2.2706630336
100000 1.0084711577
evaluations raw_y
1 1.0697475396
2 1.2960082945
13 1.3000520021
15 1.3477088949
32 1.3506212858
40 1.5772870662
41 1.6812373907
57 1.6949152542
85 1.7301038062
86 1.8076644975
426 1.9394879752
3133 2.0308692120
4579 2.0644095789
22454 2.1910604733
43672 2.3696682464
100000 1.0292301359
evaluations raw_y
1 1.3262599469
6 1.3789299504
14 1.4228799089
15 1.4784151390
35 1.5271838729
46 1.6479894529
98 1.7642907551
446 1.7743080199
1190 1.8615040953
1480 2.0542317173
8655 2.1459227468
10017 2.2026431718
50069 2.2502250225
58381 2.2831050228
100000 1.3404825737
evaluations raw_y
1 1.5852885225
92 1.6265452180
140 1.6371971185
205 1.8504811251
535 1.8642803878
2308 1.8925056775
2928 1.9731649566
3992 2.0408163265
7375 2.1276595745
45020 2.4826216485
59473 2.5025025025
100000 0.7320644217
evaluations raw_y
1 1.2696800406
5 1.3506212858
9 1.4228799089
11 1.5403573629
47 1.6655562958
58 1.8102824041
315 1.8504811251
420 1.9011406844
506 1.9794140934
7282 1.9825535289
10526 1.9984012790
24096 2.2583559169
64232 2.4248302619
100000 0.9297136482
evaluations raw_y
1 0.9480470231
2 1.0960105217
6 1.4854426619
28 1.7972681524
576 1.8261504748
1202 1.8341892883
2793 1.8726591760
2940 1.9186492709
3966 2.0112630732
5085 2.1276595745
12219 2.9585798817
100000 1.0969723563
evaluations raw_y
1 1.1600928074
2 1.2297097885
5 1.6436554898
105 1.7349063151
133 1.8559762435
450 2.4295432459
100000 1.0036130068
