evaluations raw_y
1 49.0000000000
3 54.0000000000
5 55.0000000000
11 56.0000000000
16 60.0000000000
37 61.0000000000
115 62.0000000000
286 64.0000000000
928 68.0000000000
50360 69.0000000000
83278 70.0000000000
100000 46.0000000000
evaluations raw_y
1 36.0000000000
2 56.0000000000
11 57.0000000000
28 58.0000000000
47 61.0000000000
85 64.0000000000
2022 69.0000000000
34134 70.0000000000
100000 47.0000000000
evaluations raw_y
1 55.0000000000
15 56.0000000000
17 57.0000000000
21 63.0000000000
38 65.0000000000
1052 67.0000000000
1116 69.0000000000
16607 70.0000000000
42671 71.0000000000
100000 51.0000000000
evaluations raw_y
1 44.0000000000
2 46.0000000000
3 53.0000000000
4 58.0000000000
27 63.0000000000
118 65.0000000000
905 66.0000000000
3319 68.0000000000
20531 69.0000000000
48457 71.0000000000
53918 72.0000000000
100000 51.0000000000
evaluations raw_y
1 55.0000000000
12 57.0000000000
20 58.0000000000
24 64.0000000000
1101 66.0000000000
1729 67.0000000000
6519 71.0000000000
29635 74.0000000000
100000 46.0000000000
evaluations raw_y
1 45.0000000000
2 46.0000000000
3 57.0000000000
8 59.0000000000
49 60.0000000000
115 62.0000000000
163 63.0000000000
183 64.0000000000
786 66.0000000000
8375 67.0000000000
20617 68.0000000000
24346 69.0000000000
60678 70.0000000000
100000 54.0000000000
evaluations raw_y
1 47.0000000000
6 48.0000000000
10 56.0000000000
12 61.0000000000
17 66.0000000000
1336 69.0000000000
100000 49.0000000000
evaluations raw_y
1 49.0000000000
4 53.0000000000
5 54.0000000000
8 55.0000000000
9 58.0000000000
53 61.0000000000
524 62.0000000000
732 64.0000000000
1900 65.0000000000
2091 66.0000000000
5180 67.0000000000
6129 68.0000000000
37933 69.0000000000
52930 71.0000000000
77993 72.0000000000
100000 51.0000000000
evaluations raw_y
1 45.0000000000
2 47.0000000000
3 60.0000000000
76 62.0000000000
102 64.0000000000
430 65.0000000000
1612 68.0000000000
5120 69.0000000000
45608 71.0000000000
100000 58.0000000000
