evaluations raw_y
1 -1108.0000000000
6 -972.0000000000
62 -971.0000000000
73 -932.0000000000
239 -826.0000000000
887 -806.0000000000
967 -738.0000000000
27988 -641.0000000000
89898 -631.0000000000
100000 -1186.0000000000
evaluations raw_y
1 -1342.0000000000
6 -1322.0000000000
9 -1283.0000000000
10 -1138.0000000000
12 -1080.0000000000
69 -1079.0000000000
79 -962.0000000000
95 -942.0000000000
185 -864.0000000000
700 -835.0000000000
3641 -826.0000000000
4989 -787.0000000000
7037 -749.0000000000
8326 -719.0000000000
23062 -671.0000000000
47482 -670.0000000000
100000 -1333.0000000000
evaluations raw_y
1 -1341.0000000000
2 -1118.0000000000
65 -1060.0000000000
74 -1059.0000000000
108 -1050.0000000000
135 -1049.0000000000
241 -845.0000000000
2118 -748.0000000000
5016 -718.0000000000
9266 -680.0000000000
17804 -670.0000000000
39172 -641.0000000000
100000 -1293.0000000000
evaluations raw_y
1 -1673.0000000000
2 -1284.0000000000
3 -1118.0000000000
13 -1089.0000000000
18 -1030.0000000000
28 -933.0000000000
158 -923.0000000000
801 -874.0000000000
1029 -817.0000000000
1105 -758.0000000000
5667 -757.0000000000
17572 -719.0000000000
48683 -680.0000000000
100000 -1206.0000000000
evaluations raw_y
1 -1380.0000000000
2 -1264.0000000000
10 -1196.0000000000
13 -1117.0000000000
26 -1098.0000000000
50 -904.0000000000
444 -845.0000000000
537 -816.0000000000
3219 -797.0000000000
12948 -758.0000000000
25849 -660.0000000000
47567 -621.0000000000
77613 -592.0000000000
100000 -1196.0000000000
evaluations raw_y
1 -1556.0000000000
3 -1371.0000000000
6 -1196.0000000000
20 -1098.0000000000
28 -933.0000000000
491 -913.0000000000
555 -739.0000000000
3969 -690.0000000000
6846 -670.0000000000
64531 -651.0000000000
86989 -611.0000000000
100000 -1673.0000000000
evaluations raw_y
1 -1362.0000000000
2 -1293.0000000000
4 -1255.0000000000
6 -1176.0000000000
38 -1050.0000000000
96 -1030.0000000000
121 -855.0000000000
1263 -767.0000000000
7529 -739.0000000000
16561 -603.0000000000
100000 -1703.0000000000
evaluations raw_y
1 -1332.0000000000
7 -1089.0000000000
9 -856.0000000000
779 -651.0000000000
10085 -592.0000000000
100000 -1595.0000000000
evaluations raw_y
1 -1303.0000000000
3 -1293.0000000000
4 -1069.0000000000
5 -953.0000000000
266 -943.0000000000
270 -836.0000000000
1650 -710.0000000000
48200 -651.0000000000
100000 -1244.0000000000
evaluations raw_y
1 -1322.0000000000
5 -1079.0000000000
19 -923.0000000000
883 -884.0000000000
1017 -767.0000000000
1378 -641.0000000000
19803 -622.0000000000
100000 -1653.0000000000
