evaluations raw_y
1 6.2000000000
2 6.8000000000
4 9.2000000000
30 9.4000000000
100 10.2000000000
803 10.6000000000
10934 11.2000000000
73219 11.4000000000
79081 11.6000000000
100000 6.0000000000
evaluations raw_y
1 6.2000000000
3 6.8000000000
4 8.4000000000
11 8.6000000000
14 8.8000000000
20 9.0000000000
47 9.2000000000
407 9.8000000000
590 10.2000000000
1237 10.4000000000
2813 10.6000000000
6380 11.2000000000
91300 11.4000000000
100000 7.8000000000
evaluations raw_y
1 6.6000000000
2 8.6000000000
6 8.8000000000
12 9.6000000000
461 10.2000000000
2831 11.0000000000
4243 11.2000000000
27893 11.8000000000
100000 5.8000000000
evaluations raw_y
1 7.8000000000
4 8.0000000000
51 8.2000000000
58 8.4000000000
88 8.6000000000
99 9.0000000000
117 10.2000000000
1506 10.4000000000
4248 11.0000000000
7031 11.6000000000
100000 8.0000000000
evaluations raw_y
1 5.8000000000
2 6.0000000000
3 7.6000000000
9 8.0000000000
27 9.0000000000
161 9.4000000000
478 9.6000000000
635 9.8000000000
767 10.8000000000
6972 11.2000000000
17922 11.4000000000
100000 5.0000000000
evaluations raw_y
1 6.6000000000
3 8.0000000000
5 8.8000000000
6 10.0000000000
268 10.4000000000
5912 10.8000000000
6531 11.8000000000
100000 6.0000000000
evaluations raw_y
1 5.4000000000
2 7.0000000000
5 7.6000000000
10 9.0000000000
20 10.4000000000
4579 10.8000000000
13754 11.4000000000
27020 11.6000000000
100000 4.8000000000
evaluations raw_y
1 6.0000000000
2 6.4000000000
3 7.2000000000
6 7.6000000000
28 8.0000000000
40 8.2000000000
59 8.4000000000
61 9.4000000000
92 9.8000000000
437 10.4000000000
1638 10.8000000000
3926 11.4000000000
5310 11.8000000000
100000 6.0000000000
evaluations raw_y
1 7.2000000000
9 7.4000000000
18 8.2000000000
20 8.8000000000
58 9.6000000000
384 10.0000000000
1675 10.2000000000
1847 10.4000000000
3099 11.2000000000
6320 12.0000000000
100000 5.6000000000
evaluations raw_y
1 5.8000000000
2 6.2000000000
4 6.6000000000
6 7.0000000000
9 8.2000000000
14 8.4000000000
70 8.6000000000
148 9.0000000000
268 9.6000000000
463 10.0000000000
520 10.2000000000
2068 10.4000000000
3785 10.8000000000
9002 11.0000000000
29126 11.4000000000
54153 11.8000000000
100000 6.0000000000
