evaluations raw_y
1 -0.5308777564
3 -0.5190236539
6 -0.5002895409
7 -0.4874319911
10 -0.4852433607
15 -0.4527084104
99 -0.4490330298
200 -0.4369484481
821 -0.4352117800
1071 -0.4254519826
4206 -0.4243112085
13913 -0.4111714098
21053 -0.4053993789
100000 -0.5221399624
evaluations raw_y
1 -0.4863759477
6 -0.4767441477
20 -0.4639141874
46 -0.4476280126
429 -0.4427863599
666 -0.4327979749
1556 -0.4314859457
4581 -0.4264180696
5025 -0.4236751102
9475 -0.4009723659
100000 -0.5050766098
evaluations raw_y
1 -0.5200207859
2 -0.4872938134
7 -0.4759173851
24 -0.4559459993
47 -0.4492232295
172 -0.4447508679
429 -0.4326100624
539 -0.4322704524
910 -0.4206216909
15835 -0.4186974989
25354 -0.4148220340
38039 -0.4124884064
53715 -0.4106882005
99585 -0.4078301989
100000 -0.5115996801
evaluations raw_y
1 -0.5143982093
5 -0.5094463389
6 -0.5087287465
7 -0.4960514664
10 -0.4834615202
13 -0.4723035280
46 -0.4601865004
57 -0.4521672661
179 -0.4514230987
203 -0.4441444488
473 -0.4362255531
1855 -0.4296424292
2133 -0.4189804213
5901 -0.4019339520
100000 -0.5460081028
evaluations raw_y
1 -0.4740330386
28 -0.4736502144
70 -0.4666286123
71 -0.4653933244
81 -0.4609604735
113 -0.4518300430
162 -0.4437625706
288 -0.4407982926
769 -0.4392191755
1463 -0.4231781416
6934 -0.4200058308
7651 -0.4198252222
10041 -0.4178133302
10314 -0.4161767032
26397 -0.4068069653
100000 -0.5027275974
evaluations raw_y
1 -0.5323372944
2 -0.4727265342
5 -0.4674469317
26 -0.4548397172
56 -0.4413354602
209 -0.4369239286
345 -0.4241008750
5057 -0.4166929075
16677 -0.4157422867
28412 -0.4066958714
100000 -0.5538105010
evaluations raw_y
1 -0.5246966400
3 -0.4951441743
4 -0.4905478933
7 -0.4795194483
17 -0.4629885083
79 -0.4598458401
91 -0.4573931003
231 -0.4061757316
20998 -0.4044286300
100000 -0.4794483567
evaluations raw_y
1 -0.5052921747
2 -0.5024287410
3 -0.4956117861
8 -0.4799810943
14 -0.4702588446
22 -0.4674100029
49 -0.4664746343
52 -0.4606377662
108 -0.4573054252
145 -0.4468344762
159 -0.4404982902
737 -0.4193838710
7379 -0.4179600749
9546 -0.4163479837
29524 -0.4114557060
30014 -0.4001993012
100000 -0.5299903462
evaluations raw_y
1 -0.5154229454
2 -0.4643194788
23 -0.4639738718
27 -0.4622674466
32 -0.4398452956
108 -0.4258510953
3425 -0.4246914828
4984 -0.4218218905
14110 -0.4187070526
38477 -0.4109200642
100000 -0.5020090790
evaluations raw_y
1 -0.4562204186
4 -0.4516158163
84 -0.4476900618
87 -0.4153427970
3457 -0.4149510717
50206 -0.4108306467
100000 -0.5225258637
