evaluations raw_y
1 0.0000000000
2 1.0000000000
5 3.0000000000
58 4.0000000000
99 5.0000000000
303 7.0000000000
367 8.0000000000
1110 11.0000000000
1418 13.0000000000
5779 14.0000000000
11221 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 2.0000000000
8 4.0000000000
65 5.0000000000
109 6.0000000000
138 9.0000000000
356 10.0000000000
1201 11.0000000000
2375 14.0000000000
3932 16.0000000000
96938 17.0000000000
100000 0.0000000000
evaluations raw_y
1 3.0000000000
2 4.0000000000
14 5.0000000000
25 9.0000000000
1329 12.0000000000
10398 13.0000000000
12486 18.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
8 2.0000000000
16 7.0000000000
538 9.0000000000
2347 11.0000000000
11709 12.0000000000
14152 13.0000000000
19148 14.0000000000
26431 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
10 4.0000000000
34 6.0000000000
68 7.0000000000
116 8.0000000000
753 9.0000000000
1350 12.0000000000
7555 13.0000000000
53477 16.0000000000
61975 20.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
11 4.0000000000
62 5.0000000000
104 9.0000000000
1671 11.0000000000
13365 15.0000000000
57807 16.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
11 3.0000000000
26 4.0000000000
115 6.0000000000
199 7.0000000000
855 12.0000000000
21416 13.0000000000
24705 14.0000000000
67859 19.0000000000
100000 2.0000000000
evaluations raw_y
1 1.0000000000
4 5.0000000000
38 8.0000000000
264 10.0000000000
1146 11.0000000000
1428 14.0000000000
51861 17.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
5 3.0000000000
35 6.0000000000
109 8.0000000000
425 9.0000000000
1964 12.0000000000
2847 13.0000000000
6168 14.0000000000
76891 18.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
8 5.0000000000
17 8.0000000000
1310 9.0000000000
6037 10.0000000000
7027 13.0000000000
10104 14.0000000000
35397 23.0000000000
100000 0.0000000000
