evaluations raw_y
1 2426.0000000000
3 2901.0000000000
13 3048.0000000000
96 3391.0000000000
1540 3417.0000000000
2693 3473.0000000000
3334 3486.0000000000
4612 3577.0000000000
5991 3640.0000000000
39722 3737.0000000000
100000 2669.0000000000
evaluations raw_y
1 2378.0000000000
2 2562.0000000000
4 2907.0000000000
11 2980.0000000000
39 3116.0000000000
227 3200.0000000000
328 3287.0000000000
400 3346.0000000000
956 3384.0000000000
1340 3478.0000000000
3402 3579.0000000000
24243 3621.0000000000
31478 3642.0000000000
32790 3651.0000000000
92420 3678.0000000000
100000 2530.0000000000
evaluations raw_y
1 2435.0000000000
2 2750.0000000000
10 2947.0000000000
19 3004.0000000000
53 3381.0000000000
173 3438.0000000000
831 3467.0000000000
4590 3541.0000000000
6318 3549.0000000000
9208 3612.0000000000
10018 3620.0000000000
55715 3650.0000000000
97774 3674.0000000000
100000 2374.0000000000
evaluations raw_y
1 2739.0000000000
3 2764.0000000000
14 2773.0000000000
19 3184.0000000000
59 3246.0000000000
106 3423.0000000000
480 3632.0000000000
10851 3790.0000000000
100000 2767.0000000000
evaluations raw_y
1 2710.0000000000
3 3019.0000000000
24 3139.0000000000
36 3385.0000000000
741 3395.0000000000
840 3408.0000000000
1606 3419.0000000000
3446 3498.0000000000
5605 3645.0000000000
21275 3722.0000000000
100000 2578.0000000000
evaluations raw_y
1 3037.0000000000
4 3248.0000000000
56 3331.0000000000
219 3705.0000000000
100000 2333.0000000000
evaluations raw_y
1 2704.0000000000
2 2763.0000000000
7 2909.0000000000
16 3019.0000000000
31 3047.0000000000
54 3164.0000000000
147 3253.0000000000
474 3318.0000000000
809 3323.0000000000
859 3393.0000000000
1539 3430.0000000000
2271 3531.0000000000
5520 3558.0000000000
21789 3667.0000000000
23475 3682.0000000000
35269 3773.0000000000
100000 2323.0000000000
evaluations raw_y
1 2882.0000000000
8 3029.0000000000
17 3121.0000000000
25 3151.0000000000
46 3231.0000000000
186 3292.0000000000
279 3320.0000000000
557 3355.0000000000
1320 3373.0000000000
2327 3422.0000000000
3067 3511.0000000000
10774 3560.0000000000
14003 3649.0000000000
15853 3677.0000000000
17188 3748.0000000000
100000 2479.0000000000
evaluations raw_y
1 2027.0000000000
2 2475.0000000000
3 3094.0000000000
110 3102.0000000000
176 3105.0000000000
230 3230.0000000000
412 3367.0000000000
416 3510.0000000000
1229 3523.0000000000
6025 3539.0000000000
14807 3659.0000000000
19247 3669.0000000000
63058 3681.0000000000
65506 3733.0000000000
95827 3763.0000000000
100000 1989.0000000000
evaluations raw_y
1 2592.0000000000
6 2724.0000000000
15 2815.0000000000
16 3196.0000000000
333 3225.0000000000
336 3232.0000000000
682 3267.0000000000
826 3326.0000000000
974 3333.0000000000
1563 3343.0000000000
1729 3362.0000000000
2283 3468.0000000000
3658 3492.0000000000
4889 3558.0000000000
8122 3672.0000000000
63789 3741.0000000000
70437 3802.0000000000
100000 2605.0000000000
